Step,AgentID,Battery,State,Tasks_Completed,Distance_Traveled
0,shelf_0,,,,
0,shelf_1,,,,
0,shelf_2,,,,
0,shelf_3,,,,
0,shelf_4,,,,
0,shelf_5,,,,
0,shelf_6,,,,
0,shelf_7,,,,
0,shelf_8,,,,
0,shelf_9,,,,
0,shelf_10,,,,
0,shelf_11,,,,
0,shelf_12,,,,
0,shelf_13,,,,
0,shelf_14,,,,
0,shelf_15,,,,
0,shelf_16,,,,
0,shelf_17,,,,
0,shelf_18,,,,
0,shelf_19,,,,
0,shelf_20,,,,
0,shelf_21,,,,
0,shelf_22,,,,
0,shelf_23,,,,
0,shelf_24,,,,
0,shelf_25,,,,
0,shelf_26,,,,
0,shelf_27,,,,
0,shelf_28,,,,
0,shelf_29,,,,
0,shelf_30,,,,
0,shelf_31,,,,
0,shelf_32,,,,
0,shelf_33,,,,
0,shelf_34,,,,
0,shelf_35,,,,
0,shelf_36,,,,
0,shelf_37,,,,
0,shelf_38,,,,
0,shelf_39,,,,
0,shelf_40,,,,
0,shelf_41,,,,
0,shelf_42,,,,
0,shelf_43,,,,
0,shelf_44,,,,
0,shelf_45,,,,
0,shelf_46,,,,
0,shelf_47,,,,
0,shelf_48,,,,
0,shelf_49,,,,
0,shelf_50,,,,
0,shelf_51,,,,
0,shelf_52,,,,
0,shelf_53,,,,
0,shelf_54,,,,
0,shelf_55,,,,
0,shelf_56,,,,
0,shelf_57,,,,
0,shelf_58,,,,
0,shelf_59,,,,
0,shelf_60,,,,
0,shelf_61,,,,
0,shelf_62,,,,
0,shelf_63,,,,
0,shelf_64,,,,
0,shelf_65,,,,
0,station_0,,,,
0,station_1,,,,
0,station_2,,,,
0,station_3,,,,
0,manager,,,,
0,0,100.0,idle,0.0,0.0
0,1,100.0,idle,0.0,0.0
0,2,100.0,idle,0.0,0.0
0,3,100.0,idle,0.0,0.0
0,4,100.0,idle,0.0,0.0
1,shelf_17,,,,
1,3,100.0,idle,0.0,0.0
1,shelf_39,,,,
1,shelf_27,,,,
1,shelf_65,,,,
1,shelf_40,,,,
1,shelf_55,,,,
1,shelf_1,,,,
1,0,100.0,idle,0.0,0.0
1,shelf_18,,,,
1,shelf_49,,,,
1,shelf_37,,,,
1,shelf_26,,,,
1,4,100.0,idle,0.0,0.0
1,shelf_62,,,,
1,shelf_16,,,,
1,shelf_47,,,,
1,shelf_35,,,,
1,shelf_4,,,,
1,shelf_13,,,,
1,station_1,,,,
1,shelf_64,,,,
1,shelf_48,,,,
1,shelf_5,,,,
1,shelf_9,,,,
1,shelf_46,,,,
1,shelf_20,,,,
1,shelf_58,,,,
1,shelf_41,,,,
1,shelf_7,,,,
1,shelf_25,,,,
1,1,100.0,idle,0.0,0.0
1,shelf_28,,,,
1,shelf_44,,,,
1,shelf_8,,,,
1,shelf_52,,,,
1,shelf_56,,,,
1,shelf_50,,,,
1,shelf_63,,,,
1,shelf_19,,,,
1,shelf_10,,,,
1,2,100.0,idle,0.0,0.0
1,shelf_24,,,,
1,station_0,,,,
1,shelf_23,,,,
1,shelf_3,,,,
1,shelf_6,,,,
1,shelf_22,,,,
1,shelf_29,,,,
1,shelf_34,,,,
1,shelf_0,,,,
1,shelf_36,,,,
1,shelf_38,,,,
1,shelf_32,,,,
1,shelf_43,,,,
1,station_2,,,,
1,shelf_51,,,,
1,shelf_15,,,,
1,shelf_21,,,,
1,shelf_42,,,,
1,shelf_30,,,,
1,manager,,,,
1,shelf_53,,,,
1,shelf_60,,,,
1,shelf_59,,,,
1,shelf_11,,,,
1,shelf_54,,,,
1,shelf_57,,,,
1,shelf_61,,,,
1,shelf_45,,,,
1,shelf_33,,,,
1,shelf_12,,,,
1,shelf_2,,,,
1,shelf_31,,,,
1,station_3,,,,
1,shelf_14,,,,
2,shelf_31,,,,
2,shelf_60,,,,
2,station_3,,,,
2,shelf_63,,,,
2,shelf_56,,,,
2,shelf_17,,,,
2,shelf_19,,,,
2,shelf_15,,,,
2,shelf_44,,,,
2,shelf_13,,,,
2,station_1,,,,
2,station_0,,,,
2,shelf_3,,,,
2,shelf_16,,,,
2,shelf_50,,,,
2,shelf_47,,,,
2,shelf_27,,,,
2,shelf_23,,,,
2,shelf_58,,,,
2,shelf_18,,,,
2,shelf_61,,,,
2,shelf_30,,,,
2,shelf_6,,,,
2,shelf_24,,,,
2,1,100.0,idle,0.0,0.0
2,shelf_64,,,,
2,shelf_10,,,,
2,2,100.0,idle,0.0,0.0
2,shelf_37,,,,
2,shelf_59,,,,
2,shelf_0,,,,
2,shelf_39,,,,
2,0,100.0,idle,0.0,0.0
2,shelf_32,,,,
2,shelf_36,,,,
2,station_2,,,,
2,shelf_8,,,,
2,shelf_4,,,,
2,shelf_14,,,,
2,shelf_34,,,,
2,shelf_2,,,,
2,shelf_26,,,,
2,shelf_7,,,,
2,shelf_25,,,,
2,shelf_55,,,,
2,shelf_51,,,,
2,shelf_35,,,,
2,shelf_46,,,,
2,shelf_43,,,,
2,shelf_57,,,,
2,shelf_21,,,,
2,shelf_11,,,,
2,shelf_65,,,,
2,shelf_20,,,,
2,shelf_52,,,,
2,shelf_41,,,,
2,shelf_62,,,,
2,shelf_54,,,,
2,manager,,,,
2,shelf_53,,,,
2,3,100.0,idle,0.0,0.0
2,shelf_29,,,,
2,shelf_33,,,,
2,shelf_5,,,,
2,shelf_12,,,,
2,shelf_22,,,,
2,shelf_45,,,,
2,4,100.0,idle,0.0,0.0
2,shelf_49,,,,
2,shelf_28,,,,
2,shelf_1,,,,
2,shelf_48,,,,
2,shelf_9,,,,
2,shelf_40,,,,
2,shelf_42,,,,
2,shelf_38,,,,
3,manager,,,,
3,shelf_43,,,,
3,1,100.0,idle,0.0,0.0
3,shelf_23,,,,
3,shelf_9,,,,
3,shelf_26,,,,
3,shelf_56,,,,
3,shelf_55,,,,
3,shelf_39,,,,
3,shelf_21,,,,
3,shelf_53,,,,
3,shelf_20,,,,
3,shelf_46,,,,
3,shelf_15,,,,
3,shelf_19,,,,
3,shelf_31,,,,
3,shelf_29,,,,
3,shelf_60,,,,
3,0,100.0,idle,0.0,0.0
3,3,100.0,idle,0.0,0.0
3,shelf_25,,,,
3,shelf_47,,,,
3,shelf_10,,,,
3,shelf_40,,,,
3,shelf_4,,,,
3,station_0,,,,
3,shelf_7,,,,
3,shelf_65,,,,
3,shelf_16,,,,
3,station_3,,,,
3,shelf_1,,,,
3,shelf_33,,,,
3,station_1,,,,
3,shelf_51,,,,
3,shelf_42,,,,
3,shelf_49,,,,
3,shelf_63,,,,
3,shelf_52,,,,
3,shelf_12,,,,
3,station_2,,,,
3,shelf_57,,,,
3,shelf_41,,,,
3,shelf_44,,,,
3,shelf_14,,,,
3,shelf_24,,,,
3,shelf_48,,,,
3,shelf_5,,,,
3,shelf_59,,,,
3,shelf_50,,,,
3,shelf_38,,,,
3,shelf_45,,,,
3,shelf_8,,,,
3,shelf_64,,,,
3,shelf_3,,,,
3,shelf_28,,,,
3,shelf_17,,,,
3,4,100.0,idle,0.0,0.0
3,shelf_0,,,,
3,shelf_32,,,,
3,shelf_30,,,,
3,shelf_22,,,,
3,shelf_61,,,,
3,shelf_35,,,,
3,shelf_36,,,,
3,shelf_27,,,,
3,shelf_11,,,,
3,shelf_37,,,,
3,shelf_34,,,,
3,2,100.0,idle,0.0,0.0
3,shelf_18,,,,
3,shelf_54,,,,
3,shelf_2,,,,
3,shelf_13,,,,
3,shelf_58,,,,
3,shelf_6,,,,
