,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,99.9,1,0,0
2,0,3,4,0,99.8,2,0,0
3,0,4,2,0,99.6,4,0,0
4,0,5,2,0,99.3,7,0,0
5,0,6,0,0,98.9,11,0,0
6,0,7,0,0,98.4,16,0,0
7,0,8,0,0,97.9,21,0,0
8,0,9,0,0,97.4,26,0,0
9,0,10,0,0,96.9,31,0,0
10,0,11,0,0,96.4,36,0,0
11,0,12,0,0,95.9,41,0,0
12,0,13,0,0,95.4,46,0,0
13,0,14,0,0,94.9,51,0,0
14,0,15,0,0,94.4,56,0,0
15,0,16,0,0,93.9,61,0,0
16,0,17,0,0,93.4,66,0,0
17,0,18,0,0,92.9,71,0,0
18,0,19,0,0,92.4,76,0,0
19,0,20,0,0,91.9,81,0,0
20,0,21,0,0,91.4,86,0,0
21,0,22,0,0,90.9,91,0,0
22,0,23,0,0,90.4,96,0,0
23,0,24,0,0,89.9,101,0,0
24,0,25,0,0,89.4,106,0,0
25,0,26,0,0,88.9,111,0,0
26,0,27,0,0,88.4,116,0,0
27,0,28,0,0,87.9,121,0,0
28,1,28,1,0,87.4,126,0,0
29,1,29,0,0,87.0,130,0,0
30,1,29,0,0,86.5,135,0,0
31,3,27,1,0,86.0,140,0,0
32,3,27,1,0,85.6,144,0,0
33,3,27,0,0,85.1,149,0,0
34,4,26,1,0,84.6,154,0,0
35,4,26,0,0,84.2,158,0,0
36,4,26,0,0,83.7,163,0,0
37,4,26,0,0,83.2,168,0,0
38,4,26,0,0,82.7,173,0,0
39,4,26,0,0,82.2,178,0,0
40,5,25,1,0,81.7,183,0,0
41,5,25,0,0,81.3,187,0,0
42,5,25,0,0,80.8,192,0,0
43,5,25,0,0,80.3,197,0,0
44,5,25,0,0,79.8,202,0,0
45,5,25,0,0,79.3,207,0,0
46,5,25,0,0,78.8,212,0,0
47,5,25,0,0,78.3,217,0,0
48,5,25,0,0,77.8,222,0,0
49,5,25,0,0,77.3,227,0,0
50,5,25,0,0,76.8,232,0,0
51,5,25,0,0,76.3,237,0,0
52,5,25,0,0,75.8,242,0,0
53,5,25,0,0,75.3,247,0,0
54,5,25,0,0,74.8,252,0,0
55,5,25,0,0,74.3,257,0,0
56,5,25,0,0,73.8,262,0,0
57,6,24,1,0,73.3,267,0,0
58,6,24,1,0,72.9,271,0,0
59,6,24,0,0,72.4,276,0,0
60,6,24,0,0,71.9,281,0,0
61,6,24,0,0,71.4,286,0,0
62,7,23,1,0,70.9,291,0,0
63,8,22,0,0,70.5,295,0,0
64,8,22,0,0,70.0,300,0,0
65,8,22,0,0,69.5,305,0,0
66,8,22,0,0,69.0,310,0,0
67,8,22,0,0,68.5,315,0,0
68,8,22,0,0,68.0,320,0,0
69,9,21,0,0,67.5,325,0,0
70,9,21,0,0,67.0,330,0,0
71,9,21,0,0,66.5,335,0,0
72,9,21,0,0,66.0,340,0,0
73,9,21,0,0,65.5,345,0,0
74,9,21,0,0,65.0,350,0,0
75,9,21,0,0,64.5,355,0,0
76,9,21,0,0,64.0,360,0,0
77,9,21,0,0,63.5,365,0,0
78,9,21,0,0,63.0,370,0,0
79,9,21,0,0,62.5,375,0,0
80,9,21,0,0,62.0,380,0,0
81,9,21,0,0,61.5,385,0,0
82,9,21,0,0,61.0,390,0,0
83,9,21,0,0,60.5,395,0,0
84,9,21,0,0,60.0,400,0,0
85,10,20,1,0,59.5,405,0,0
86,10,20,1,0,59.1,409,0,0
87,10,20,0,0,58.6,414,0,0
88,11,19,1,0,58.1,419,0,0
89,11,19,0,0,57.6,424,0,0
90,11,19,0,0,57.1,429,0,0
91,11,19,0,0,56.6,434,0,0
92,11,19,0,0,56.1,439,0,0
93,11,19,0,0,55.6,444,0,0
94,11,19,0,0,55.1,449,0,0
95,11,19,0,0,54.6,454,0,0
96,12,18,1,0,54.1,459,0,0
97,12,18,0,0,53.7,463,0,0
98,12,18,0,0,53.2,468,0,0
99,12,18,0,0,52.7,473,0,0
100,12,18,0,0,52.2,478,0,0
101,12,18,0,0,51.7,483,0,0
102,12,18,0,0,51.2,488,0,0
103,13,17,0,0,50.7,493,0,0
104,13,17,0,0,50.2,498,0,0
105,13,17,0,0,49.7,503,0,0
106,13,17,0,0,49.2,508,0,0
107,13,17,0,0,48.7,513,0,0
108,13,17,0,0,48.2,518,0,0
109,13,17,0,0,47.7,523,0,0
110,13,17,0,0,47.2,528,0,0
111,13,17,0,0,46.7,533,0,0
112,13,17,0,0,46.2,538,0,0
113,13,17,0,0,45.7,543,0,0
114,14,16,1,0,45.2,548,0,0
115,14,16,0,0,44.7,553,0,0
116,14,16,0,0,44.2,558,0,0
117,14,16,0,0,43.7,563,0,0
118,14,16,0,0,43.2,568,0,0
119,14,16,0,0,42.7,573,0,0
120,14,16,0,0,42.2,578,0,0
121,14,16,0,0,41.7,583,0,0
122,15,15,1,0,41.2,588,0,0
123,16,14,0,0,40.7,593,0,0
124,16,14,0,0,40.2,598,0,0
125,16,14,0,0,39.7,603,0,0
126,16,14,0,0,39.2,608,0,0
127,16,14,0,0,38.7,613,0,0
128,16,14,0,0,38.2,618,0,0
129,17,13,0,0,37.7,623,0,0
130,17,13,0,0,37.2,628,0,0
131,17,13,0,0,36.7,633,0,0
132,17,13,0,0,36.2,638,0,0
133,17,13,0,0,35.7,643,0,0
134,17,13,0,0,35.2,648,0,0
135,17,13,0,0,34.7,653,0,0
136,17,13,0,0,34.2,658,0,0
137,17,13,0,0,33.7,663,0,0
138,18,12,1,0,33.2,668,0,0
139,18,12,0,0,32.7,673,0,0
140,18,12,0,0,32.2,678,0,0
141,18,12,0,0,31.7,683,0,0
142,18,12,0,0,31.2,688,0,0
143,18,12,0,0,30.7,693,0,0
144,18,12,0,0,30.2,698,0,0
145,18,12,0,0,29.7,703,0,0
146,18,12,0,0,29.2,708,0,0
147,18,12,0,0,28.7,713,0,0
148,19,11,1,0,28.2,718,0,0
149,19,11,0,0,27.8,722,0,0
150,19,11,0,0,27.3,727,0,0
151,19,11,0,0,26.8,732,0,0
152,19,11,0,0,26.3,737,0,0
153,20,10,1,0,25.8,742,0,0
154,20,10,1,0,25.4,746,0,0
155,20,10,0,0,24.9,751,0,0
156,20,10,0,0,24.4,756,0,0
157,20,10,0,0,23.9,761,0,0
158,20,10,0,0,23.4,766,0,0
159,20,10,0,0,22.9,771,0,0
160,21,9,1,0,22.4,776,0,0
161,21,9,0,0,21.9,781,0,0
162,21,9,0,0,21.4,786,0,0
163,22,8,0,0,20.9,791,0,0
164,22,8,0,0,20.4,796,0,0
165,22,8,0,0,22.1,799,0,0
166,22,8,0,0,24.9,801,0,0
167,22,8,0,0,27.7,803,0,0
168,22,8,0,0,30.5,805,0,0
169,22,8,0,0,35.5,805,0,0
170,22,8,0,0,40.5,805,0,0
171,22,8,0,0,45.5,805,0,0
172,22,8,0,0,50.5,805,0,0
173,22,8,0,0,55.5,805,0,0
174,22,8,0,0,60.5,805,0,0
175,22,8,0,0,65.5,805,0,0
176,22,8,0,0,70.5,805,0,0
177,22,8,0,0,75.5,805,0,0
178,22,8,1,0,78.3,807,0,0
179,22,8,0,0,80.1,809,0,0
180,22,8,0,0,81.8,812,0,0
181,22,8,0,0,83.5,815,0,0
182,22,8,0,0,83.0,820,0,0
183,22,8,0,0,82.5,825,0,0
184,22,8,0,0,82.0,830,0,0
185,22,8,0,0,81.5,835,0,0
186,22,8,0,0,81.0,840,0,0
187,22,8,0,0,80.5,845,0,0
188,22,8,0,0,80.0,850,0,0
189,22,8,0,0,79.5,855,0,0
190,22,8,0,0,79.0,860,0,0
191,22,8,0,0,78.5,865,0,0
192,22,8,0,0,78.0,870,0,0
193,22,8,0,0,77.5,875,0,0
194,22,8,0,0,77.0,880,0,0
195,23,7,0,0,76.5,885,0,0
196,23,7,0,0,76.0,890,0,0
197,23,7,0,0,75.5,895,0,0
198,23,7,0,0,75.0,900,0,0
199,23,7,0,0,74.5,905,0,0
