,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,99.9,1,0,0
2,0,3,4,0,99.8,2,0,0
3,0,4,2,0,99.6,4,0,0
4,0,5,2,0,99.3,7,0,0
5,0,6,0,0,98.8,12,0,0
6,0,7,0,0,98.3,17,0,0
7,0,8,0,0,97.8,22,0,0
8,0,9,0,0,97.3,27,0,0
9,0,10,0,0,96.8,32,0,0
10,0,11,0,0,96.3,37,0,0
11,0,12,0,0,95.8,42,0,0
12,0,13,0,0,95.3,47,0,0
13,0,14,0,0,94.8,52,0,0
14,0,15,0,0,94.3,57,0,0
15,0,16,0,0,93.8,62,0,0
16,0,17,0,0,93.3,67,0,0
17,0,18,0,0,92.8,72,0,0
18,1,18,1,0,92.3,77,0,0
19,2,18,0,0,91.8,82,0,0
20,2,19,0,0,91.3,87,0,0
21,2,20,0,0,90.8,92,0,0
22,2,21,0,0,90.3,97,0,0
23,2,22,0,0,89.8,102,0,0
24,2,23,0,0,89.3,107,0,0
25,2,24,0,0,88.8,112,0,0
26,2,25,0,0,88.3,117,0,0
27,3,25,0,0,87.8,122,0,0
28,4,25,1,0,87.3,127,0,0
29,4,26,0,0,86.9,131,0,0
30,4,26,0,0,86.4,136,0,0
31,4,26,0,0,85.9,141,0,0
32,4,26,0,0,85.4,146,0,0
33,4,26,0,0,84.9,151,0,0
34,4,26,0,0,84.4,156,0,0
35,4,26,0,0,83.9,161,0,0
36,4,26,0,0,83.4,166,0,0
37,4,26,0,0,82.9,171,0,0
38,4,26,0,0,82.4,176,0,0
39,4,26,0,0,81.9,181,0,0
40,4,26,0,0,81.4,186,0,0
41,5,25,0,0,80.9,191,0,0
42,5,25,0,0,80.4,196,0,0
43,5,25,0,0,79.9,201,0,0
44,5,25,0,0,79.4,206,0,0
45,6,24,0,0,78.9,211,0,0
46,6,24,0,0,78.4,216,0,0
47,6,24,0,0,77.9,221,0,0
48,6,24,0,0,77.4,226,0,0
49,7,23,1,0,76.9,231,0,0
50,7,23,1,0,76.5,235,0,0
51,7,23,0,0,76.1,239,0,0
52,7,23,0,0,75.6,244,0,0
53,7,23,0,0,75.1,249,0,0
54,7,23,0,0,74.6,254,0,0
55,7,23,0,0,74.1,259,0,0
56,8,22,1,0,73.6,264,0,0
57,8,22,0,0,73.2,268,0,0
58,8,22,0,0,72.7,273,0,0
59,8,22,0,0,72.2,278,0,0
60,8,22,0,0,71.7,283,0,0
61,9,21,0,0,71.2,288,0,0
62,9,21,0,0,70.7,293,0,0
63,9,21,0,0,70.2,298,0,0
64,9,21,0,0,69.7,303,0,0
65,9,21,0,0,69.2,308,0,0
66,9,21,0,0,68.7,313,0,0
67,9,21,0,0,68.2,318,0,0
68,9,21,0,0,67.7,323,0,0
69,9,21,0,0,67.2,328,0,0
70,9,21,0,0,66.7,333,0,0
71,9,21,0,0,66.2,338,0,0
72,9,21,0,0,65.7,343,0,0
73,9,21,0,0,65.2,348,0,0
74,9,21,0,0,64.7,353,0,0
75,10,20,1,0,64.2,358,0,0
76,10,20,1,0,63.8,362,0,0
77,10,20,0,0,63.4,366,0,0
78,10,20,0,0,62.9,371,0,0
79,10,20,0,0,62.4,376,0,0
80,10,20,0,0,61.9,381,0,0
81,10,20,0,0,61.4,386,0,0
82,11,19,1,0,60.9,391,0,0
83,11,19,0,0,60.4,396,0,0
84,11,19,0,0,59.9,401,0,0
85,11,19,0,0,59.4,406,0,0
86,11,19,0,0,58.9,411,0,0
87,12,18,0,0,58.4,416,0,0
88,12,18,0,0,57.9,421,0,0
89,12,18,0,0,57.4,426,0,0
90,12,18,0,0,56.9,431,0,0
91,12,18,0,0,56.4,436,0,0
92,12,18,0,0,55.9,441,0,0
93,12,18,0,0,55.4,446,0,0
94,12,18,0,0,54.9,451,0,0
95,13,17,1,0,54.4,456,0,0
96,13,17,1,0,54.0,460,0,0
97,13,17,0,0,53.6,464,0,0
98,13,17,0,0,53.1,469,0,0
99,13,17,0,0,52.6,474,0,0
100,13,17,0,0,52.1,479,0,0
101,13,17,0,0,51.6,484,0,0
102,13,17,0,0,51.1,489,0,0
103,13,17,0,0,50.6,494,0,0
104,13,17,0,0,50.1,499,0,0
105,14,16,0,0,49.6,504,0,0
106,14,16,0,0,49.1,509,0,0
107,15,15,1,0,48.6,514,0,0
108,15,15,1,0,48.2,518,0,0
109,15,15,0,0,47.7,523,0,0
110,15,15,0,0,47.2,528,0,0
111,16,14,0,0,46.7,533,0,0
112,16,14,0,0,46.2,538,0,0
113,16,14,0,0,45.7,543,0,0
114,16,14,0,0,45.2,548,0,0
115,16,14,0,0,44.7,553,0,0
116,16,14,0,0,44.2,558,0,0
117,16,14,0,0,43.7,563,0,0
118,16,14,0,0,43.2,568,0,0
119,16,14,0,0,42.7,573,0,0
120,17,13,1,0,42.2,578,0,0
121,17,13,0,0,41.8,582,0,0
122,18,12,1,0,41.3,587,0,0
123,18,12,0,0,40.8,592,0,0
124,18,12,0,0,40.3,597,0,0
125,18,12,0,0,39.8,602,0,0
126,18,12,0,0,39.3,607,0,0
127,18,12,0,0,38.8,612,0,0
128,18,12,0,0,38.3,617,0,0
129,18,12,0,0,37.8,622,0,0
130,19,11,1,0,37.3,627,0,0
131,19,11,0,0,36.9,631,0,0
132,19,11,0,0,36.4,636,0,0
133,19,11,0,0,35.9,641,0,0
134,19,11,0,0,35.4,646,0,0
135,19,11,0,0,34.9,651,0,0
136,19,11,0,0,34.4,656,0,0
137,19,11,0,0,33.9,661,0,0
138,19,11,0,0,33.4,666,0,0
139,19,11,0,0,32.9,671,0,0
140,19,11,0,0,32.4,676,0,0
141,19,11,0,0,31.9,681,0,0
142,20,10,1,0,31.4,686,0,0
143,20,10,0,0,30.9,691,0,0
144,20,10,0,0,30.4,696,0,0
145,20,10,0,0,29.9,701,0,0
146,20,10,0,0,29.4,706,0,0
147,20,10,0,0,28.9,711,0,0
148,20,10,0,0,28.4,716,0,0
149,20,10,0,0,27.9,721,0,0
150,20,10,0,0,27.4,726,0,0
151,20,10,0,0,26.9,731,0,0
152,20,10,0,0,26.4,736,0,0
153,20,10,0,0,25.9,741,0,0
154,20,10,0,0,25.4,746,0,0
155,21,9,1,0,24.9,751,0,0
156,22,8,2,0,24.5,755,0,0
157,22,8,2,0,24.2,758,0,0
158,22,8,2,0,23.9,761,0,0
159,22,8,2,0,23.6,764,0,0
160,22,8,2,0,23.3,767,0,0
161,22,8,2,0,23.0,770,0,0
162,23,7,3,0,22.7,773,0,0
163,23,7,3,0,22.5,775,0,0
164,23,7,3,0,22.3,777,0,0
165,23,7,3,0,22.1,779,0,0
166,23,7,3,0,21.9,781,0,0
167,23,7,3,0,23.9,781,0,0
168,23,7,3,0,25.9,781,0,0
169,23,7,3,0,27.9,781,0,0
170,23,7,3,0,29.9,781,0,0
171,23,7,3,0,31.9,781,0,0
172,23,7,3,0,33.9,781,0,0
173,23,7,3,0,35.9,781,0,0
174,23,7,3,0,37.9,781,0,0
175,23,7,3,0,39.9,781,0,0
176,23,7,3,0,41.9,781,0,0
177,23,7,3,0,43.9,781,0,0
178,23,7,3,0,45.9,781,0,0
179,23,7,3,0,47.9,781,0,0
180,23,7,3,0,47.7,783,0,0
181,23,7,3,0,47.5,785,0,0
182,23,7,3,0,47.3,787,0,0
183,23,7,3,0,47.1,789,0,0
184,23,7,3,0,46.9,791,0,0
185,23,7,3,0,46.7,793,0,0
186,23,7,3,0,46.5,795,0,0
187,23,7,3,0,46.3,797,0,0
188,23,7,3,0,46.1,799,0,0
189,23,7,3,0,45.9,801,0,0
190,23,7,3,0,45.7,803,0,0
191,23,7,3,0,45.5,805,0,0
192,23,7,3,0,45.3,807,0,0
193,23,7,3,0,45.1,809,0,0
194,23,7,3,0,44.9,811,0,0
195,23,7,3,0,44.7,813,0,0
196,23,7,3,0,44.5,815,0,0
197,23,7,3,0,44.3,817,0,0
198,23,7,3,0,44.1,819,0,0
199,23,7,3,0,43.9,821,0,0
