,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,3,0,99.9,1,0,0
3,0,4,2,0,99.7,3,0,0
4,0,5,1,0,99.4,6,0,0
5,0,6,0,0,99.0,10,0,0
6,0,7,0,0,98.5,15,0,0
7,0,8,0,0,98.0,20,0,0
8,0,9,0,0,97.5,25,0,0
9,0,10,0,0,97.0,30,0,0
10,0,11,0,0,96.5,35,0,0
11,0,12,0,0,96.0,40,0,0
12,0,13,0,0,95.5,45,0,0
13,0,14,0,0,95.0,50,0,0
14,0,15,0,0,94.5,55,0,0
15,1,15,1,0,94.0,60,0,0
16,1,16,0,0,93.6,64,0,0
17,1,17,0,0,93.1,69,0,0
18,1,18,0,0,92.6,74,0,0
19,1,19,0,0,92.1,79,0,0
20,1,20,0,0,91.6,84,0,0
21,1,21,0,0,91.1,89,0,0
22,1,22,0,0,90.6,94,0,0
23,2,22,1,0,90.1,99,0,0
24,2,23,0,0,89.7,103,0,0
25,2,24,0,0,89.2,108,0,0
26,2,25,0,0,88.7,113,0,0
27,2,26,0,0,88.2,118,0,0
28,3,26,1,0,87.7,123,0,0
29,3,27,0,0,87.3,127,0,0
30,3,27,0,0,86.8,132,0,0
31,3,27,0,0,86.3,137,0,0
32,3,27,0,0,85.8,142,0,0
33,3,27,0,0,85.3,147,0,0
34,3,27,0,0,84.8,152,0,0
35,4,26,1,0,84.3,157,0,0
36,4,26,0,0,83.9,161,0,0
37,4,26,0,0,83.4,166,0,0
38,4,26,0,0,82.9,171,0,0
39,4,26,0,0,82.4,176,0,0
40,5,25,1,0,81.9,181,0,0
41,5,25,0,0,81.5,185,0,0
42,5,25,0,0,81.0,190,0,0
43,5,25,0,0,80.5,195,0,0
44,5,25,0,0,80.0,200,0,0
45,5,25,0,0,79.5,205,0,0
46,5,25,0,0,79.0,210,0,0
47,5,25,0,0,78.5,215,0,0
48,5,25,0,0,78.0,220,0,0
49,5,25,0,0,77.5,225,0,0
50,6,24,1,0,77.0,230,0,0
51,6,24,0,0,76.6,234,0,0
52,6,24,0,0,76.1,239,0,0
53,6,24,0,0,75.6,244,0,0
54,6,24,0,0,75.1,249,0,0
55,6,24,0,0,74.6,254,0,0
56,6,24,0,0,74.1,259,0,0
57,6,24,0,0,73.6,264,0,0
58,7,23,1,0,73.1,269,0,0
59,7,23,0,0,72.7,273,0,0
60,7,23,0,0,72.2,278,0,0
61,8,22,1,0,71.7,283,0,0
62,8,22,0,0,71.3,287,0,0
63,9,21,1,0,70.8,292,0,0
64,9,21,0,0,70.4,296,0,0
65,9,21,0,0,69.9,301,0,0
66,9,21,0,0,69.4,306,0,0
67,9,21,0,0,68.9,311,0,0
68,10,20,1,0,68.4,316,0,0
69,10,20,0,0,68.0,320,0,0
70,10,20,0,0,67.5,325,0,0
71,10,20,0,0,67.0,330,0,0
72,10,20,0,0,66.5,335,0,0
73,10,20,0,0,66.0,340,0,0
74,10,20,0,0,65.5,345,0,0
75,10,20,0,0,65.0,350,0,0
76,11,19,1,0,64.5,355,0,0
77,11,19,0,0,64.1,359,0,0
78,11,19,0,0,63.6,364,0,0
79,11,19,0,0,63.1,369,0,0
80,11,19,0,0,62.6,374,0,0
81,11,19,0,0,62.1,379,0,0
82,11,19,0,0,61.6,384,0,0
83,11,19,0,0,61.1,389,0,0
84,11,19,0,0,60.6,394,0,0
85,11,19,0,0,60.1,399,0,0
86,11,19,0,0,59.6,404,0,0
87,11,19,0,0,59.1,409,0,0
88,12,18,1,0,58.6,414,0,0
89,12,18,0,0,58.2,418,0,0
90,12,18,0,0,57.7,423,0,0
91,12,18,0,0,57.2,428,0,0
92,12,18,0,0,56.7,433,0,0
93,13,17,1,0,56.2,438,0,0
94,13,17,0,0,55.8,442,0,0
95,14,16,1,0,55.3,447,0,0
96,14,16,0,0,54.9,451,0,0
97,14,16,0,0,54.4,456,0,0
98,14,16,0,0,53.9,461,0,0
99,14,16,0,0,53.4,466,0,0
100,15,15,1,0,52.9,471,0,0
101,15,15,0,0,52.5,475,0,0
102,16,14,1,0,52.0,480,0,0
103,16,14,0,0,51.6,484,0,0
104,16,14,0,0,51.1,489,0,0
105,16,14,0,0,50.6,494,0,0
106,16,14,0,0,50.1,499,0,0
107,16,14,0,0,49.6,504,0,0
108,16,14,0,0,49.1,509,0,0
109,16,14,0,0,48.6,514,0,0
110,16,14,0,0,48.1,519,0,0
111,16,14,0,0,47.6,524,0,0
112,16,14,0,0,47.1,529,0,0
113,16,14,0,0,46.6,534,0,0
114,16,14,0,0,46.1,539,0,0
115,16,14,0,0,45.6,544,0,0
116,16,14,0,0,45.1,549,0,0
117,16,14,0,0,44.6,554,0,0
118,16,14,0,0,44.1,559,0,0
119,16,14,0,0,43.6,564,0,0
120,17,13,1,0,43.1,569,0,0
121,17,13,0,0,42.7,573,0,0
122,17,13,0,0,42.2,578,0,0
123,17,13,0,0,41.7,583,0,0
124,17,13,0,0,41.2,588,0,0
125,17,13,0,0,40.7,593,0,0
126,18,12,1,0,40.2,598,0,0
127,18,12,0,0,39.8,602,0,0
128,20,10,2,0,39.3,607,0,0
129,20,10,0,0,39.0,610,0,0
130,20,10,0,0,38.5,615,0,0
131,20,10,0,0,38.0,620,0,0
132,20,10,0,0,37.5,625,0,0
133,20,10,0,0,37.0,630,0,0
134,20,10,0,0,36.5,635,0,0
135,21,9,1,0,36.0,640,0,0
136,21,9,0,0,35.6,644,0,0
137,21,9,0,0,35.1,649,0,0
138,21,9,0,0,34.6,654,0,0
139,21,9,0,0,34.1,659,0,0
140,21,9,0,0,33.6,664,0,0
141,21,9,0,0,33.1,669,0,0
142,21,9,0,0,32.6,674,0,0
143,21,9,0,0,32.1,679,0,0
144,21,9,0,0,31.6,684,0,0
145,21,9,0,0,31.1,689,0,0
146,21,9,0,0,30.6,694,0,0
147,21,9,0,0,30.1,699,0,0
148,21,9,0,0,29.6,704,0,0
149,21,9,0,0,29.1,709,0,0
150,21,9,0,0,28.6,714,0,0
151,21,9,0,0,28.1,719,0,0
152,22,8,1,0,27.6,724,0,0
153,22,8,0,0,27.2,728,0,0
154,22,8,0,0,26.7,733,0,0
155,22,8,0,0,26.2,738,0,0
156,22,8,0,0,25.7,743,0,0
157,22,8,0,0,25.2,748,0,0
158,23,7,1,0,24.7,753,0,0
159,24,6,1,0,24.3,757,0,0
160,24,6,0,0,23.9,761,0,0
161,24,6,0,0,23.4,766,0,0
162,25,5,1,0,22.9,771,0,0
163,25,5,0,0,22.5,775,0,0
164,25,5,0,0,22.0,780,0,0
165,25,5,0,0,21.5,785,0,0
166,25,5,0,0,21.0,790,0,0
167,25,5,0,0,21.6,794,0,0
168,25,5,0,0,22.2,798,0,0
169,25,5,0,0,22.8,802,0,0
170,25,5,0,0,25.6,804,0,0
171,25,5,0,0,29.5,805,0,0
172,25,5,0,0,34.5,805,0,0
173,25,5,0,0,39.5,805,0,0
174,25,5,0,0,44.5,805,0,0
175,25,5,0,0,49.5,805,0,0
176,25,5,0,0,54.5,805,0,0
177,25,5,0,0,59.5,805,0,0
178,25,5,0,0,64.5,805,0,0
179,25,5,0,0,69.5,805,0,0
180,25,5,0,0,73.4,806,0,0
181,25,5,0,0,77.3,807,0,0
182,25,5,0,0,81.2,808,0,0
183,25,5,0,0,82.9,811,0,0
184,25,5,0,0,83.5,815,0,0
185,25,5,0,0,83.0,820,0,0
186,25,5,0,0,82.5,825,0,0
187,25,5,0,0,82.0,830,0,0
188,25,5,0,0,81.5,835,0,0
189,25,5,0,0,81.0,840,0,0
190,25,5,0,0,80.5,845,0,0
191,25,5,0,0,80.0,850,0,0
192,25,5,0,0,79.5,855,0,0
193,25,5,0,0,79.0,860,0,0
194,25,5,0,0,78.5,865,0,0
195,25,5,0,0,78.0,870,0,0
196,25,5,0,0,77.5,875,0,0
197,25,5,0,0,77.0,880,0,0
198,25,5,0,0,76.5,885,0,0
199,25,5,0,0,76.0,890,0,0
