,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,0,5,0,100.0,0,0,0
1,0,0,5,0,100.0,0,0,0
2,0,0,5,0,100.0,0,0,0
3,0,1,5,0,100.0,0,0,0
4,0,1,5,0,100.0,0,0,0
5,0,2,4,0,99.9,1,0,0
6,0,2,4,0,99.8,2,0,0
7,0,2,3,0,99.7,3,0,0
8,0,2,3,0,99.5,5,0,0
9,0,2,3,0,99.3,7,0,0
10,0,3,3,0,99.1,9,0,0
11,0,3,2,0,98.9,11,0,0
12,0,4,2,0,98.6,14,0,0
13,0,5,1,0,98.3,17,0,0
14,0,6,1,0,97.9,21,0,0
15,0,6,0,0,97.5,25,0,0
16,0,6,0,0,97.0,30,0,0
17,0,6,0,0,96.5,35,0,0
18,0,7,0,0,96.0,40,0,0
19,0,8,0,0,95.5,45,0,0
20,0,8,0,0,95.0,50,0,0
21,0,8,0,0,94.5,55,0,0
22,1,8,1,0,94.0,60,0,0
23,1,8,0,0,93.6,64,0,0
24,1,9,0,0,93.1,69,0,0
25,1,9,0,0,92.6,74,0,0
26,1,10,0,0,92.1,79,0,0
27,1,11,0,0,91.6,84,0,0
28,1,12,0,0,91.1,89,0,0
29,1,13,0,0,90.6,94,0,0
30,1,13,0,0,90.1,99,0,0
31,1,14,0,0,89.6,104,0,0
32,1,14,0,0,89.1,109,0,0
33,1,15,0,0,88.6,114,0,0
34,1,15,0,0,88.1,119,0,0
35,1,16,0,0,87.6,124,0,0
36,2,15,1,0,87.1,129,0,0
37,2,15,0,0,86.7,133,0,0
38,2,15,0,0,86.2,138,0,0
39,2,15,0,0,85.7,143,0,0
40,2,15,0,0,85.2,148,0,0
41,2,16,0,0,84.7,153,0,0
42,2,16,0,0,84.2,158,0,0
43,2,16,0,0,83.7,163,0,0
44,3,16,1,0,83.2,168,0,0
45,3,17,0,0,82.7,173,0,0
46,4,17,1,0,82.2,178,0,0
47,4,17,0,0,81.7,183,0,0
48,4,17,0,0,81.2,188,0,0
49,5,17,0,0,80.7,193,0,0
50,5,18,0,0,80.2,198,0,0
51,5,19,0,0,79.7,203,0,0
52,5,19,0,0,79.2,208,0,0
53,5,19,0,0,78.7,213,0,0
54,5,19,0,0,78.2,218,0,0
55,5,20,0,0,77.7,223,0,0
56,5,21,0,0,77.2,228,0,0
57,6,20,0,0,76.7,233,0,0
58,6,21,0,0,76.2,238,0,0
59,6,22,0,0,75.7,243,0,0
60,6,22,0,0,75.2,248,0,0
61,6,22,0,0,74.7,253,0,0
62,6,22,0,0,74.2,258,0,0
63,6,22,0,0,73.7,263,0,0
64,6,22,0,0,73.2,268,0,0
65,6,22,0,0,72.7,273,0,0
66,6,23,0,0,72.2,278,0,0
67,6,24,0,0,71.7,283,0,0
68,6,24,0,0,71.2,288,0,0
69,7,23,1,0,70.7,293,0,0
70,8,22,2,0,70.3,297,0,0
71,8,23,0,0,69.9,301,0,0
72,8,23,0,0,69.4,306,0,0
73,8,24,0,0,68.9,311,0,0
74,9,23,1,0,68.4,316,0,0
75,9,24,0,0,68.0,320,0,0
76,9,25,0,0,67.5,325,0,0
77,9,25,0,0,67.0,330,0,0
78,9,25,0,0,66.5,335,0,0
79,9,25,0,0,66.0,340,0,0
80,9,26,0,0,65.5,345,0,0
81,9,27,0,0,65.0,350,0,0
82,9,27,0,0,64.5,355,0,0
83,9,27,0,0,64.0,360,0,0
84,9,27,0,0,63.5,365,0,0
85,9,28,0,0,63.0,370,0,0
86,9,29,0,0,62.5,375,0,0
87,9,29,0,0,62.0,380,0,0
88,9,30,0,0,61.5,385,0,0
89,10,29,0,0,61.0,390,0,0
90,10,29,0,0,60.5,395,0,0
91,10,30,0,0,60.0,400,0,0
92,11,29,1,0,59.5,405,0,0
93,11,30,0,0,59.0,410,0,0
94,11,31,0,0,58.5,415,0,0
95,11,31,0,0,58.0,420,0,0
96,11,32,0,0,57.5,425,0,0
97,11,33,0,0,57.0,430,0,0
98,11,33,0,0,56.5,435,0,0
99,11,34,0,0,56.0,440,0,0
100,11,35,0,0,55.5,445,0,0
101,11,35,0,0,55.0,450,0,0
102,12,35,1,0,54.5,455,0,0
103,12,36,0,0,54.1,459,0,0
104,14,35,2,0,53.6,464,0,0
105,14,35,0,0,53.3,467,0,0
106,14,36,0,0,52.8,472,0,0
107,14,37,0,0,52.3,477,0,0
108,14,37,0,0,51.8,482,0,0
109,14,37,0,0,51.3,487,0,0
110,14,37,0,0,50.8,492,0,0
111,14,37,0,0,50.3,497,0,0
112,14,38,0,0,49.8,502,0,0
113,15,38,1,0,49.3,507,0,0
114,15,39,1,0,48.9,511,0,0
