,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,0,5,0,100.0,0,0,0
1,0,0,5,0,100.0,0,0,0
2,0,0,5,0,100.0,0,0,0
3,0,1,5,0,100.0,0,0,0
4,0,2,4,0,100.0,0,0,0
5,0,2,3,0,99.9,1,0,0
6,0,2,3,0,99.7,3,0,0
7,0,2,3,0,99.5,5,0,0
8,0,3,3,0,99.3,7,0,0
9,0,4,2,0,99.1,9,0,0
10,0,5,1,0,98.8,12,0,0
11,0,6,0,0,98.4,16,0,0
12,0,6,0,0,97.9,21,0,0
13,0,7,0,0,97.4,26,0,0
14,0,7,0,0,96.9,31,0,0
15,0,7,0,0,96.4,36,0,0
16,0,7,0,0,95.9,41,0,0
17,0,8,0,0,95.4,46,0,0
18,0,8,0,0,94.9,51,0,0
19,0,8,0,0,94.4,56,0,0
20,0,8,0,0,93.9,61,0,0
21,0,8,0,0,93.4,66,0,0
22,0,9,0,0,92.9,71,0,0
23,0,9,0,0,92.4,76,0,0
24,0,9,0,0,91.9,81,0,0
25,0,10,0,0,91.4,86,0,0
26,1,10,1,0,90.9,91,0,0
27,1,11,0,0,90.5,95,0,0
28,1,11,0,0,90.0,100,0,0
29,1,11,0,0,89.5,105,0,0
30,1,11,0,0,89.0,110,0,0
31,1,12,0,0,88.5,115,0,0
32,1,13,0,0,88.0,120,0,0
33,2,12,1,0,87.5,125,0,0
34,2,12,0,0,87.1,129,0,0
35,2,12,0,0,86.6,134,0,0
36,2,12,0,0,86.1,139,0,0
37,2,12,0,0,85.6,144,0,0
38,2,12,0,0,85.1,149,0,0
39,3,12,1,0,84.6,154,0,0
40,4,12,1,0,84.2,158,0,0
41,4,12,0,0,83.8,162,0,0
42,5,11,1,0,83.3,167,0,0
43,5,11,0,0,82.9,171,0,0
44,5,11,0,0,82.4,176,0,0
45,5,11,0,0,81.9,181,0,0
46,5,11,0,0,81.4,186,0,0
47,6,10,1,0,80.9,191,0,0
48,6,11,0,0,80.5,195,0,0
49,6,11,0,0,80.0,200,0,0
50,6,12,0,0,79.5,205,0,0
51,6,13,0,0,79.0,210,0,0
52,6,13,0,0,78.5,215,0,0
53,6,13,0,0,78.0,220,0,0
54,6,14,0,0,77.5,225,0,0
55,6,15,0,0,77.0,230,0,0
56,6,16,0,0,76.5,235,0,0
57,6,16,0,0,76.0,240,0,0
58,6,17,0,0,75.5,245,0,0
59,6,17,0,0,75.0,250,0,0
60,7,16,1,0,74.5,255,0,0
61,7,17,0,0,74.1,259,0,0
62,7,18,0,0,73.6,264,0,0
63,7,18,0,0,73.1,269,0,0
64,7,18,0,0,72.6,274,0,0
65,7,18,0,0,72.1,279,0,0
66,7,18,0,0,71.6,284,0,0
67,7,18,0,0,71.1,289,0,0
68,7,19,0,0,70.6,294,0,0
69,7,19,0,0,70.1,299,0,0
70,8,18,1,0,69.6,304,0,0
71,9,17,1,0,69.2,308,0,0
72,9,17,0,0,68.8,312,0,0
73,9,17,0,0,68.3,317,0,0
74,9,17,0,0,67.8,322,0,0
75,9,18,0,0,67.3,327,0,0
76,9,19,0,0,66.8,332,0,0
77,10,19,1,0,66.3,337,0,0
78,10,19,0,0,65.9,341,0,0
79,10,19,0,0,65.4,346,0,0
80,10,19,0,0,64.9,351,0,0
81,10,19,0,0,64.4,356,0,0
82,10,20,0,0,63.9,361,0,0
83,10,20,0,0,63.4,366,0,0
84,10,20,0,0,62.9,371,0,0
85,10,20,0,0,62.4,376,0,0
86,10,21,0,0,61.9,381,0,0
87,10,22,0,0,61.4,386,0,0
88,10,23,0,0,60.9,391,0,0
89,10,23,0,0,60.4,396,0,0
90,10,23,0,0,59.9,401,0,0
91,11,23,1,0,59.4,406,0,0
92,11,24,0,0,59.0,410,0,0
93,11,25,0,0,58.5,415,0,0
94,11,26,0,0,58.0,420,0,0
95,12,26,1,0,57.5,425,0,0
96,12,26,0,0,57.1,429,0,0
97,12,27,0,0,56.6,434,0,0
98,12,27,0,0,56.1,439,0,0
99,12,27,0,0,55.6,444,0,0
100,12,28,0,0,55.1,449,0,0
101,12,28,0,0,54.6,454,0,0
102,13,27,1,0,54.1,459,0,0
103,14,27,1,0,53.7,463,0,0
104,14,27,0,0,53.3,467,0,0
105,14,28,0,0,52.8,472,0,0
106,15,28,1,0,52.3,477,0,0
107,15,29,0,0,51.9,481,0,0
108,15,29,0,0,51.4,486,0,0
109,15,30,0,0,50.9,491,0,0
110,15,30,0,0,50.4,496,0,0
111,15,30,0,0,49.9,501,0,0
112,15,31,0,0,49.4,506,0,0
113,15,32,0,0,48.9,511,0,0
114,15,32,0,0,48.4,516,0,0
