,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,4,0,99.9,1,0,0
3,0,4,2,0,99.8,2,0,0
4,0,5,2,0,99.5,5,0,0
5,0,6,0,0,99.2,8,0,0
6,0,7,0,0,98.7,13,0,0
7,0,8,0,0,98.2,18,0,0
8,0,9,0,0,97.7,23,0,0
9,0,10,0,0,97.2,28,0,0
10,0,11,0,0,96.7,33,0,0
11,0,12,0,0,96.2,38,0,0
12,0,13,0,0,95.7,43,0,0
13,0,14,0,0,95.2,48,0,0
14,0,15,0,0,94.7,53,0,0
15,0,16,0,0,94.2,58,0,0
16,0,17,0,0,93.7,63,0,0
17,0,18,0,0,93.2,68,0,0
18,0,19,0,0,92.7,73,0,0
19,0,20,0,0,92.2,78,0,0
20,0,21,0,0,91.7,83,0,0
21,0,22,0,0,91.2,88,0,0
22,0,23,0,0,90.7,93,0,0
23,0,24,0,0,90.2,98,0,0
24,0,25,0,0,89.7,103,0,0
25,0,26,0,0,89.2,108,0,0
26,0,27,0,0,88.7,113,0,0
27,0,28,0,0,88.2,118,0,0
28,0,29,0,0,87.7,123,0,0
29,0,30,0,0,87.2,128,0,0
30,0,31,0,0,86.7,133,0,0
31,0,32,0,0,86.2,138,0,0
32,2,31,2,0,85.7,143,0,0
33,2,32,0,0,85.3,147,0,0
34,2,33,0,0,84.8,152,0,0
35,3,33,0,0,84.3,157,0,0
36,3,34,0,0,83.8,162,0,0
37,3,35,0,0,83.3,167,0,0
38,3,36,0,0,82.8,172,0,0
39,3,37,0,0,82.3,177,0,0
40,3,38,0,0,81.8,182,0,0
41,4,38,0,0,81.3,187,0,0
42,4,39,0,0,80.8,192,0,0
43,5,39,0,0,80.3,197,0,0
44,5,40,0,0,79.8,202,0,0
45,5,41,0,0,79.3,207,0,0
46,5,42,0,0,78.8,212,0,0
47,5,43,0,0,78.3,217,0,0
48,5,44,0,0,77.8,222,0,0
49,5,45,0,0,77.3,227,0,0
50,5,45,0,0,76.8,232,0,0
51,5,45,0,0,76.3,237,0,0
52,5,45,0,0,75.8,242,0,0
53,5,45,0,0,75.3,247,0,0
54,6,44,1,0,74.8,252,0,0
55,6,44,0,0,74.3,257,0,0
56,6,44,0,0,73.8,262,0,0
57,6,44,0,0,73.3,267,0,0
58,6,44,0,0,72.8,272,0,0
59,6,44,0,0,72.3,277,0,0
60,6,44,0,0,71.8,282,0,0
61,6,44,0,0,71.3,287,0,0
62,7,43,1,0,70.8,292,0,0
63,7,43,0,0,70.4,296,0,0
64,7,43,0,0,69.9,301,0,0
65,7,43,0,0,69.4,306,0,0
66,7,43,0,0,68.9,311,0,0
67,8,42,1,0,68.4,316,0,0
68,8,42,1,0,68.0,320,0,0
69,8,42,0,0,67.5,325,0,0
70,8,42,0,0,67.0,330,0,0
71,8,42,0,0,66.5,335,0,0
72,9,41,1,0,66.0,340,0,0
73,9,41,0,0,65.6,344,0,0
74,9,41,0,0,65.1,349,0,0
75,9,41,0,0,64.6,354,0,0
76,9,41,0,0,64.1,359,0,0
77,9,41,0,0,63.6,364,0,0
78,9,41,0,0,63.1,369,0,0
79,9,41,0,0,62.6,374,0,0
80,9,41,0,0,62.1,379,0,0
81,9,41,0,0,61.6,384,0,0
82,9,41,0,0,61.1,389,0,0
83,9,41,0,0,60.6,394,0,0
84,9,41,0,0,60.1,399,0,0
85,9,41,0,0,59.6,404,0,0
86,9,41,0,0,59.1,409,0,0
87,9,41,0,0,58.6,414,0,0
88,10,40,1,0,58.1,419,0,0
89,10,40,0,0,57.7,423,0,0
90,10,40,0,0,57.2,428,0,0
91,10,40,0,0,56.7,433,0,0
92,11,39,1,0,56.2,438,0,0
93,11,39,0,0,55.7,443,0,0
94,11,39,0,0,55.2,448,0,0
95,11,39,0,0,54.7,453,0,0
96,12,38,1,0,54.2,458,0,0
97,12,38,0,0,53.7,463,0,0
98,12,38,0,0,53.2,468,0,0
99,12,38,0,0,52.7,473,0,0
100,12,38,0,0,52.2,478,0,0
101,12,38,0,0,51.7,483,0,0
102,12,38,0,0,51.2,488,0,0
103,13,37,0,0,50.7,493,0,0
104,13,37,0,0,50.2,498,0,0
105,13,37,0,0,49.7,503,0,0
106,13,37,0,0,49.2,508,0,0
107,13,37,0,0,48.7,513,0,0
108,13,37,0,0,48.2,518,0,0
109,13,37,0,0,47.7,523,0,0
110,14,36,1,0,47.2,528,0,0
111,14,36,0,0,46.7,533,0,0
112,14,36,0,0,46.2,538,0,0
113,14,36,0,0,45.7,543,0,0
114,14,36,0,0,45.2,548,0,0
115,14,36,0,0,44.7,553,0,0
116,14,36,0,0,44.2,558,0,0
117,15,35,0,0,43.7,563,0,0
118,16,34,1,0,43.2,568,0,0
119,16,34,0,0,42.7,573,0,0
120,16,34,0,0,42.2,578,0,0
121,16,34,0,0,41.7,583,0,0
122,17,33,1,0,41.2,588,0,0
123,17,33,0,0,40.7,593,0,0
124,17,33,0,0,40.2,598,0,0
125,17,33,0,0,39.7,603,0,0
126,17,33,0,0,39.2,608,0,0
127,17,33,0,0,38.7,613,0,0
128,17,33,0,0,38.2,618,0,0
129,17,33,0,0,37.7,623,0,0
130,17,33,0,0,37.2,628,0,0
131,18,32,1,0,36.7,633,0,0
132,18,32,1,0,36.3,637,0,0
133,18,32,0,0,35.8,642,0,0
134,18,32,0,0,35.3,647,0,0
135,18,32,0,0,34.8,652,0,0
136,18,32,0,0,34.3,657,0,0
137,18,32,0,0,33.8,662,0,0
138,18,32,0,0,33.3,667,0,0
139,18,32,0,0,32.8,672,0,0
140,18,32,0,0,32.3,677,0,0
141,18,32,0,0,31.8,682,0,0
142,18,32,0,0,31.3,687,0,0
143,18,32,0,0,30.8,692,0,0
144,18,32,0,0,30.3,697,0,0
145,18,32,0,0,29.8,702,0,0
146,18,32,0,0,29.3,707,0,0
147,18,32,0,0,28.8,712,0,0
148,18,32,0,0,28.3,717,0,0
149,18,32,0,0,27.8,722,0,0
150,18,32,0,0,27.3,727,0,0
151,18,32,0,0,26.8,732,0,0
152,19,31,1,0,26.3,737,0,0
153,19,31,0,0,25.8,742,0,0
154,19,31,0,0,25.3,747,0,0
155,19,31,0,0,24.8,752,0,0
156,19,31,0,0,24.3,757,0,0
157,19,31,0,0,23.8,762,0,0
158,19,31,0,0,23.3,767,0,0
159,19,31,0,0,22.8,772,0,0
160,20,30,1,0,22.3,777,0,0
161,20,30,0,0,21.9,781,0,0
162,20,30,0,0,21.4,786,0,0
163,20,30,0,0,22.0,790,0,0
164,20,30,0,0,22.6,794,0,0
165,20,30,0,0,23.2,798,0,0
166,20,30,0,0,24.9,801,0,0
167,20,30,0,0,26.6,804,0,0
168,20,30,0,0,30.5,805,0,0
169,20,30,0,0,35.5,805,0,0
170,20,30,0,0,40.5,805,0,0
171,20,30,0,0,45.5,805,0,0
172,20,30,0,0,50.5,805,0,0
173,20,30,0,0,55.5,805,0,0
174,20,30,0,0,60.5,805,0,0
175,20,30,1,0,65.5,805,0,0
176,20,30,1,0,69.5,805,0,0
177,20,30,0,0,73.5,805,0,0
178,20,30,1,0,77.4,806,0,0
179,20,30,0,0,80.2,808,0,0
180,20,30,2,0,83.0,810,0,0
181,20,30,1,0,83.6,814,0,0
182,20,30,1,0,83.2,818,0,0
183,20,30,0,0,82.7,823,0,0
184,20,30,0,0,82.2,828,0,0
185,20,30,0,0,81.7,833,0,0
186,20,30,0,0,81.2,838,0,0
187,20,30,0,0,80.7,843,0,0
188,20,30,0,0,80.2,848,0,0
189,20,30,0,0,79.7,853,0,0
190,20,30,0,0,79.2,858,0,0
191,20,30,0,0,78.7,863,0,0
192,20,30,0,0,78.2,868,0,0
193,20,30,0,0,77.7,873,0,0
194,20,30,0,0,77.2,878,0,0
195,20,30,0,0,76.7,883,0,0
196,20,30,0,0,76.2,888,0,0
197,20,30,0,0,75.7,893,0,0
198,20,30,0,0,75.2,898,0,0
199,20,30,0,0,74.7,903,0,0
