,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,4,0,99.9,1,0,0
3,0,4,2,0,99.6,4,0,0
4,0,5,2,0,99.3,7,0,0
5,0,6,0,0,98.9,11,0,0
6,0,7,0,0,98.4,16,0,0
7,0,8,0,0,97.9,21,0,0
8,0,9,0,0,97.4,26,0,0
9,0,10,0,0,96.9,31,0,0
10,0,11,0,0,96.4,36,0,0
11,0,12,0,0,95.9,41,0,0
12,0,13,0,0,95.4,46,0,0
13,0,14,0,0,94.9,51,0,0
14,0,15,0,0,94.4,56,0,0
15,0,16,0,0,93.9,61,0,0
16,0,17,0,0,93.4,66,0,0
17,0,18,0,0,92.9,71,0,0
18,0,19,0,0,92.4,76,0,0
19,0,20,0,0,91.9,81,0,0
20,0,21,0,0,91.4,86,0,0
21,1,21,0,0,90.9,91,0,0
22,1,22,0,0,90.4,96,0,0
23,1,23,0,0,89.9,101,0,0
24,2,23,1,0,89.4,106,0,0
25,2,24,0,0,88.9,111,0,0
26,2,25,0,0,88.4,116,0,0
27,2,26,0,0,87.9,121,0,0
28,3,26,1,0,87.4,126,0,0
29,3,27,0,0,87.0,130,0,0
30,4,27,1,0,86.5,135,0,0
31,4,28,0,0,86.0,140,0,0
32,4,29,0,0,85.5,145,0,0
33,4,30,0,0,85.0,150,0,0
34,4,31,0,0,84.5,155,0,0
35,4,32,0,0,84.0,160,0,0
36,4,33,0,0,83.5,165,0,0
37,4,34,0,0,83.0,170,0,0
38,4,35,0,0,82.5,175,0,0
39,4,36,0,0,82.0,180,0,0
40,4,37,0,0,81.5,185,0,0
41,5,37,1,0,81.0,190,0,0
42,5,38,1,0,80.6,194,0,0
43,5,39,0,0,80.1,199,0,0
44,5,40,0,0,79.6,204,0,0
45,5,41,0,0,79.1,209,0,0
46,5,42,0,0,78.6,214,0,0
47,5,43,0,0,78.1,219,0,0
48,5,44,0,0,77.6,224,0,0
49,5,45,0,0,77.1,229,0,0
50,5,45,0,0,76.6,234,0,0
51,6,44,0,0,76.1,239,0,0
52,7,43,1,0,75.6,244,0,0
53,7,43,0,0,75.2,248,0,0
54,7,43,0,0,74.7,253,0,0
55,8,42,0,0,74.2,258,0,0
56,8,42,0,0,73.7,263,0,0
57,8,42,0,0,73.2,268,0,0
58,9,41,1,0,72.7,273,0,0
59,9,41,0,0,72.3,277,0,0
60,9,41,0,0,71.8,282,0,0
61,9,41,0,0,71.3,287,0,0
62,9,41,0,0,70.8,292,0,0
63,9,41,0,0,70.3,297,0,0
64,9,41,0,0,69.8,302,0,0
65,9,41,0,0,69.3,307,0,0
66,9,41,0,0,68.8,312,0,0
67,9,41,0,0,68.3,317,0,0
68,9,41,0,0,67.8,322,0,0
69,9,41,0,0,67.3,327,0,0
70,9,41,0,0,66.8,332,0,0
71,9,41,0,0,66.3,337,0,0
72,10,40,1,0,65.8,342,0,0
73,10,40,0,0,65.3,347,0,0
74,11,39,1,0,64.8,352,0,0
75,11,39,0,0,64.4,356,0,0
76,13,37,2,0,63.9,361,0,0
77,13,37,0,0,63.4,366,0,0
78,13,37,0,0,62.9,371,0,0
79,13,37,0,0,62.4,376,0,0
80,13,37,0,0,61.9,381,0,0
81,13,37,0,0,61.4,386,0,0
82,13,37,0,0,60.9,391,0,0
83,13,37,0,0,60.4,396,0,0
84,13,37,0,0,59.9,401,0,0
85,13,37,0,0,59.4,406,0,0
86,13,37,0,0,58.9,411,0,0
87,13,37,0,0,58.4,416,0,0
88,13,37,0,0,57.9,421,0,0
89,13,37,0,0,57.4,426,0,0
90,13,37,0,0,56.9,431,0,0
91,13,37,0,0,56.4,436,0,0
92,13,37,0,0,55.9,441,0,0
93,13,37,0,0,55.4,446,0,0
94,13,37,0,0,54.9,451,0,0
95,13,37,0,0,54.4,456,0,0
96,13,37,0,0,53.9,461,0,0
97,15,35,1,0,53.4,466,0,0
98,15,35,1,0,53.0,470,0,0
99,15,35,0,0,52.6,474,0,0
100,16,34,1,0,52.1,479,0,0
101,16,34,0,0,51.6,484,0,0
102,16,34,0,0,51.1,489,0,0
103,16,34,0,0,50.6,494,0,0
104,16,34,0,0,50.1,499,0,0
105,16,34,0,0,49.6,504,0,0
106,17,33,1,0,49.1,509,0,0
107,17,33,0,0,48.6,514,0,0
108,17,33,0,0,48.1,519,0,0
109,17,33,0,0,47.6,524,0,0
110,17,33,0,0,47.1,529,0,0
111,17,33,0,0,46.6,534,0,0
112,18,32,1,0,46.1,539,0,0
113,18,32,0,0,45.6,544,0,0
114,18,32,0,0,45.1,549,0,0
115,18,32,0,0,44.6,554,0,0
116,18,32,0,0,44.1,559,0,0
117,18,32,0,0,43.6,564,0,0
118,19,31,1,0,43.1,569,0,0
119,19,31,0,0,42.7,573,0,0
120,19,31,0,0,42.2,578,0,0
121,19,31,0,0,41.7,583,0,0
122,20,30,1,0,41.2,588,0,0
123,20,30,0,0,40.8,592,0,0
124,20,30,0,0,40.3,597,0,0
125,20,30,0,0,39.8,602,0,0
126,20,30,0,0,39.3,607,0,0
127,20,30,0,0,38.8,612,0,0
128,20,30,0,0,38.3,617,0,0
129,20,30,0,0,37.8,622,0,0
130,20,30,0,0,37.3,627,0,0
131,20,30,0,0,36.8,632,0,0
132,20,30,0,0,36.3,637,0,0
133,20,30,0,0,35.8,642,0,0
134,20,30,0,0,35.3,647,0,0
135,20,30,0,0,34.8,652,0,0
136,20,30,0,0,34.3,657,0,0
137,20,30,0,0,33.8,662,0,0
138,20,30,0,0,33.3,667,0,0
139,20,30,0,0,32.8,672,0,0
140,20,30,0,0,32.3,677,0,0
141,20,30,0,0,31.8,682,0,0
142,20,30,0,0,31.3,687,0,0
143,21,29,1,0,30.8,692,0,0
144,21,29,1,0,30.4,696,0,0
145,21,29,0,0,29.9,701,0,0
146,21,29,0,0,29.4,706,0,0
147,21,29,0,0,28.9,711,0,0
148,21,29,0,0,28.4,716,0,0
149,21,29,0,0,27.9,721,0,0
150,22,28,1,0,27.4,726,0,0
151,22,28,1,0,27.0,730,0,0
152,23,27,2,0,26.6,734,0,0
153,23,27,2,0,26.3,737,0,0
154,23,27,2,0,26.0,740,0,0
155,23,27,2,0,25.7,743,0,0
156,23,27,2,0,25.4,746,0,0
157,23,27,2,0,25.1,749,0,0
158,23,27,2,0,24.8,752,0,0
159,23,27,2,0,24.5,755,0,0
160,23,27,2,0,24.2,758,0,0
161,23,27,2,0,23.9,761,0,0
162,23,27,2,0,23.6,764,0,0
163,23,27,2,0,23.3,767,0,0
164,23,27,2,0,23.0,770,0,0
165,24,26,3,0,22.7,773,0,0
166,24,26,3,0,22.5,775,0,0
167,24,26,3,0,23.4,776,0,0
168,24,26,3,0,24.3,777,0,0
169,24,26,3,0,26.3,777,0,0
170,24,26,3,0,28.3,777,0,0
171,24,26,3,0,30.3,777,0,0
172,24,26,3,0,32.3,777,0,0
173,24,26,3,0,34.3,777,0,0
174,24,26,3,0,36.3,777,0,0
175,24,26,3,0,38.3,777,0,0
176,24,26,3,0,40.3,777,0,0
177,24,26,3,0,42.3,777,0,0
178,24,26,3,0,44.3,777,0,0
179,24,26,3,0,46.3,777,0,0
180,24,26,3,0,47.2,778,0,0
181,24,26,3,0,48.1,779,0,0
182,24,26,3,0,47.9,781,0,0
183,24,26,3,0,47.7,783,0,0
184,24,26,3,0,47.5,785,0,0
185,24,26,3,0,47.3,787,0,0
186,24,26,3,0,47.1,789,0,0
187,24,26,3,0,46.9,791,0,0
188,24,26,3,0,46.7,793,0,0
189,24,26,3,0,46.5,795,0,0
190,24,26,3,0,46.3,797,0,0
191,24,26,3,0,46.1,799,0,0
192,24,26,3,0,45.9,801,0,0
193,24,26,3,0,45.7,803,0,0
194,24,26,3,0,45.5,805,0,0
195,24,26,3,0,45.3,807,0,0
196,24,26,3,0,45.1,809,0,0
197,24,26,3,0,44.9,811,0,0
198,24,26,3,0,44.7,813,0,0
199,24,26,3,0,44.5,815,0,0
