,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,3,0,99.9,1,0,0
3,0,4,2,0,99.7,3,0,0
4,0,5,1,0,99.4,6,0,0
5,0,6,0,0,99.0,10,0,0
6,0,7,0,0,98.5,15,0,0
7,0,8,0,0,98.0,20,0,0
8,0,9,0,0,97.5,25,0,0
9,0,10,0,0,97.0,30,0,0
10,0,11,0,0,96.5,35,0,0
11,0,12,0,0,96.0,40,0,0
12,0,13,0,0,95.5,45,0,0
13,0,14,0,0,95.0,50,0,0
14,0,15,0,0,94.5,55,0,0
15,0,16,0,0,94.0,60,0,0
16,0,17,0,0,93.5,65,0,0
17,0,18,0,0,93.0,70,0,0
18,0,19,0,0,92.5,75,0,0
19,0,20,0,0,92.0,80,0,0
20,0,21,0,0,91.5,85,0,0
21,0,22,0,0,91.0,90,0,0
22,0,23,0,0,90.5,95,0,0
23,0,24,0,0,90.0,100,0,0
24,1,24,1,0,89.5,105,0,0
25,1,25,0,0,89.1,109,0,0
26,1,26,0,0,88.6,114,0,0
27,2,26,1,0,88.1,119,0,0
28,2,27,0,0,87.7,123,0,0
29,2,28,0,0,87.2,128,0,0
30,2,29,0,0,86.7,133,0,0
31,2,30,0,0,86.2,138,0,0
32,2,31,0,0,85.7,143,0,0
33,2,32,0,0,85.2,148,0,0
34,3,32,1,0,84.7,153,0,0
35,3,33,0,0,84.3,157,0,0
36,3,34,0,0,83.8,162,0,0
37,3,35,0,0,83.3,167,0,0
38,3,36,0,0,82.8,172,0,0
39,3,37,0,0,82.3,177,0,0
40,3,38,0,0,81.8,182,0,0
41,4,38,1,0,81.3,187,0,0
42,4,39,0,0,80.9,191,0,0
43,4,40,0,0,80.4,196,0,0
44,4,41,0,0,79.9,201,0,0
45,4,42,0,0,79.4,206,0,0
46,5,42,1,0,78.9,211,0,0
47,6,42,1,0,78.5,215,0,0
48,6,43,0,0,78.1,219,0,0
49,6,44,0,0,77.6,224,0,0
50,7,43,1,0,77.1,229,0,0
51,7,43,0,0,76.7,233,0,0
52,7,43,0,0,76.2,238,0,0
53,7,43,0,0,75.7,243,0,0
54,8,42,1,0,75.2,248,0,0
55,9,41,1,0,74.8,252,0,0
56,9,41,0,0,74.4,256,0,0
57,9,41,0,0,73.9,261,0,0
58,9,41,0,0,73.4,266,0,0
59,9,41,0,0,72.9,271,0,0
60,9,41,0,0,72.4,276,0,0
61,9,41,0,0,71.9,281,0,0
62,9,41,0,0,71.4,286,0,0
63,10,40,1,0,70.9,291,0,0
64,10,40,0,0,70.5,295,0,0
65,10,40,0,0,70.0,300,0,0
66,10,40,0,0,69.5,305,0,0
67,10,40,0,0,69.0,310,0,0
68,10,40,0,0,68.5,315,0,0
69,10,40,0,0,68.0,320,0,0
70,10,40,0,0,67.5,325,0,0
71,10,40,0,0,67.0,330,0,0
72,11,39,1,0,66.5,335,0,0
73,11,39,0,0,66.1,339,0,0
74,11,39,0,0,65.6,344,0,0
75,11,39,0,0,65.1,349,0,0
76,11,39,0,0,64.6,354,0,0
77,11,39,0,0,64.1,359,0,0
78,11,39,0,0,63.6,364,0,0
79,12,38,1,0,63.1,369,0,0
80,13,37,1,0,62.7,373,0,0
81,13,37,0,0,62.3,377,0,0
82,13,37,0,0,61.8,382,0,0
83,13,37,0,0,61.3,387,0,0
84,13,37,0,0,60.8,392,0,0
85,13,37,0,0,60.3,397,0,0
86,14,36,1,0,59.8,402,0,0
87,15,35,1,0,59.4,406,0,0
88,15,35,0,0,59.0,410,0,0
89,15,35,0,0,58.5,415,0,0
90,15,35,0,0,58.0,420,0,0
91,15,35,0,0,57.5,425,0,0
92,15,35,0,0,57.0,430,0,0
93,15,35,0,0,56.5,435,0,0
94,15,35,0,0,56.0,440,0,0
95,15,35,0,0,55.5,445,0,0
96,15,35,0,0,55.0,450,0,0
97,15,35,0,0,54.5,455,0,0
98,15,35,0,0,54.0,460,0,0
99,15,35,0,0,53.5,465,0,0
100,15,35,0,0,53.0,470,0,0
101,17,33,2,0,52.5,475,0,0
102,17,33,0,0,52.2,478,0,0
103,17,33,0,0,51.7,483,0,0
104,17,33,0,0,51.2,488,0,0
105,17,33,0,0,50.7,493,0,0
106,17,33,0,0,50.2,498,0,0
107,18,32,1,0,49.7,503,0,0
108,18,32,0,0,49.3,507,0,0
109,18,32,0,0,48.8,512,0,0
110,18,32,0,0,48.3,517,0,0
111,18,32,0,0,47.8,522,0,0
112,18,32,0,0,47.3,527,0,0
113,18,32,0,0,46.8,532,0,0
114,18,32,0,0,46.3,537,0,0
115,18,32,0,0,45.8,542,0,0
116,18,32,0,0,45.3,547,0,0
117,18,32,0,0,44.8,552,0,0
118,18,32,0,0,44.3,557,0,0
119,18,32,0,0,43.8,562,0,0
120,18,32,0,0,43.3,567,0,0
121,20,30,2,0,42.8,572,0,0
122,21,29,1,0,42.5,575,0,0
123,21,29,0,0,42.1,579,0,0
124,21,29,0,0,41.6,584,0,0
125,21,29,0,0,41.1,589,0,0
126,21,29,0,0,40.6,594,0,0
127,21,29,0,0,40.1,599,0,0
128,21,29,0,0,39.6,604,0,0
129,21,29,0,0,39.1,609,0,0
130,21,29,0,0,38.6,614,0,0
131,21,29,0,0,38.1,619,0,0
132,21,29,0,0,37.6,624,0,0
133,22,28,1,0,37.1,629,0,0
134,22,28,0,0,36.7,633,0,0
135,22,28,0,0,36.2,638,0,0
136,22,28,0,0,35.7,643,0,0
137,23,27,1,0,35.2,648,0,0
138,23,27,0,0,34.8,652,0,0
139,23,27,0,0,34.3,657,0,0
140,23,27,0,0,33.8,662,0,0
141,23,27,0,0,33.3,667,0,0
142,23,27,0,0,32.8,672,0,0
143,23,27,0,0,32.3,677,0,0
144,23,27,0,0,31.8,682,0,0
145,23,27,0,0,31.3,687,0,0
146,23,27,0,0,30.8,692,0,0
147,23,27,0,0,30.3,697,0,0
148,23,27,0,0,29.8,702,0,0
149,23,27,0,0,29.3,707,0,0
150,23,27,0,0,28.8,712,0,0
151,23,27,0,0,28.3,717,0,0
152,23,27,0,0,27.8,722,0,0
153,23,27,0,0,27.3,727,0,0
154,23,27,0,0,26.8,732,0,0
155,23,27,0,0,26.3,737,0,0
156,24,26,1,0,25.8,742,0,0
157,25,25,1,0,25.4,746,0,0
158,26,24,1,0,25.0,750,0,0
159,27,23,1,0,24.6,754,0,0
160,27,23,0,0,24.2,758,0,0
161,27,23,0,0,23.7,763,0,0
162,27,23,0,0,23.2,768,0,0
163,27,23,0,0,22.7,773,0,0
164,27,23,0,0,22.2,778,0,0
165,27,23,0,0,21.7,783,0,0
166,27,23,0,0,21.2,788,0,0
167,27,23,0,0,20.7,793,0,0
168,27,23,0,0,21.3,797,0,0
169,27,23,0,0,21.9,801,0,0
170,27,23,0,0,23.6,804,0,0
171,27,23,0,0,27.5,805,0,0
172,27,23,0,0,32.5,805,0,0
173,27,23,0,0,37.5,805,0,0
174,27,23,0,0,42.5,805,0,0
175,27,23,0,0,47.5,805,0,0
176,27,23,0,0,52.5,805,0,0
177,27,23,0,0,57.5,805,0,0
178,27,23,0,0,62.5,805,0,0
179,27,23,0,0,67.5,805,0,0
180,27,23,0,0,72.5,805,0,0
181,27,23,0,0,76.4,806,0,0
182,27,23,0,0,80.3,807,0,0
183,27,23,0,0,83.1,809,0,0
184,27,23,0,0,83.7,813,0,0
185,27,23,0,0,83.3,817,0,0
186,27,23,0,0,82.8,822,0,0
187,27,23,0,0,82.3,827,0,0
188,27,23,0,0,81.8,832,0,0
189,27,23,0,0,81.3,837,0,0
190,28,22,1,0,80.8,842,0,0
191,28,22,0,0,80.4,846,0,0
192,28,22,0,0,79.9,851,0,0
193,28,22,0,0,79.4,856,0,0
194,29,21,1,0,78.9,861,0,0
195,29,21,0,0,78.5,865,0,0
196,29,21,0,0,78.0,870,0,0
197,29,21,0,0,77.5,875,0,0
198,29,21,0,0,77.0,880,0,0
199,29,21,0,0,76.5,885,0,0
