,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,4,0,99.9,1,0,0
3,0,4,2,0,99.8,2,0,0
4,0,5,2,0,99.5,5,0,0
5,0,6,0,0,99.0,10,0,0
6,0,7,0,0,98.5,15,0,0
7,0,8,0,0,98.0,20,0,0
8,0,9,0,0,97.5,25,0,0
9,0,10,0,0,97.0,30,0,0
10,0,10,0,0,96.5,35,0,0
11,0,10,0,0,96.0,40,0,0
12,0,10,0,0,95.5,45,0,0
13,0,10,0,0,95.0,50,0,0
14,0,10,0,0,94.5,55,0,0
15,0,10,0,0,94.0,60,0,0
16,0,10,0,0,93.5,65,0,0
17,1,9,1,0,93.0,70,0,0
18,1,9,1,0,92.6,74,0,0
19,1,9,0,0,92.1,79,0,0
20,1,9,0,0,91.6,84,0,0
21,1,9,0,0,91.1,89,0,0
22,1,9,0,0,90.6,94,0,0
23,1,9,0,0,90.1,99,0,0
24,2,8,1,0,89.6,104,0,0
25,2,8,0,0,89.1,109,0,0
26,2,8,0,0,88.6,114,0,0
27,2,8,0,0,88.1,119,0,0
28,3,7,1,0,87.6,124,0,0
29,3,7,0,0,87.2,128,0,0
30,3,7,0,0,86.7,133,0,0
31,4,6,1,0,86.2,138,0,0
32,4,6,1,0,85.8,142,0,0
33,4,6,0,0,85.3,147,0,0
34,4,6,0,0,84.8,152,0,0
35,4,6,0,0,84.3,157,0,0
36,4,6,0,0,83.8,162,0,0
37,4,6,0,0,83.3,167,0,0
38,4,6,0,0,82.8,172,0,0
39,5,5,0,0,82.3,177,0,0
40,5,5,0,0,81.8,182,0,0
41,5,5,0,0,81.3,187,0,0
42,5,5,0,0,80.8,192,0,0
43,5,5,0,0,80.3,197,0,0
44,5,5,0,0,79.8,202,0,0
45,5,5,0,0,79.3,207,0,0
46,5,5,0,0,78.8,212,0,0
47,5,5,0,0,78.3,217,0,0
48,5,5,0,0,77.8,222,0,0
49,5,5,0,0,77.3,227,0,0
50,5,5,0,0,76.8,232,0,0
51,5,5,0,0,76.3,237,0,0
52,5,5,0,0,75.8,242,0,0
53,5,5,0,0,75.3,247,0,0
54,5,5,0,0,74.8,252,0,0
55,5,5,0,0,74.3,257,0,0
56,5,5,0,0,73.8,262,0,0
57,5,5,0,0,73.3,267,0,0
58,6,4,1,0,72.8,272,0,0
59,6,4,1,0,72.4,276,0,0
60,6,4,1,0,72.0,280,0,0
61,6,4,1,0,71.6,284,0,0
62,6,4,1,0,71.2,288,0,0
63,8,2,3,0,70.8,292,0,0
64,8,2,3,0,70.6,294,0,0
65,8,2,3,0,70.4,296,0,0
66,9,1,4,0,70.2,298,0,0
67,9,1,4,0,70.1,299,0,0
68,9,1,4,0,70.0,300,0,0
69,9,1,4,0,69.9,301,0,0
70,10,0,5,0,69.8,302,0,0
71,10,0,5,0,69.8,302,0,0
72,10,0,5,0,69.8,302,0,0
73,10,0,5,0,69.8,302,0,0
74,10,0,5,0,69.8,302,0,0
75,10,0,5,0,69.8,302,0,0
76,10,0,5,0,69.8,302,0,0
77,10,0,5,0,69.8,302,0,0
78,10,0,5,0,69.8,302,0,0
79,10,0,5,0,69.8,302,0,0
80,10,0,5,0,69.8,302,0,0
81,10,0,5,0,69.8,302,0,0
82,10,0,5,0,69.8,302,0,0
83,10,0,5,0,69.8,302,0,0
84,10,0,5,0,69.8,302,0,0
85,10,0,5,0,69.8,302,0,0
86,10,0,5,0,69.8,302,0,0
87,10,0,5,0,69.8,302,0,0
88,10,0,5,0,69.8,302,0,0
89,10,0,5,0,69.8,302,0,0
90,10,0,5,0,69.8,302,0,0
91,10,0,5,0,69.8,302,0,0
92,10,0,5,0,69.8,302,0,0
93,10,0,5,0,69.8,302,0,0
94,10,0,5,0,69.8,302,0,0
95,10,0,5,0,69.8,302,0,0
96,10,0,5,0,69.8,302,0,0
97,10,0,5,0,69.8,302,0,0
98,10,0,5,0,69.8,302,0,0
99,10,0,5,0,69.8,302,0,0
100,10,0,5,0,69.8,302,0,0
101,10,0,5,0,69.8,302,0,0
102,10,0,5,0,69.8,302,0,0
103,10,0,5,0,69.8,302,0,0
104,10,0,5,0,69.8,302,0,0
105,10,0,5,0,69.8,302,0,0
106,10,0,5,0,69.8,302,0,0
107,10,0,5,0,69.8,302,0,0
108,10,0,5,0,69.8,302,0,0
109,10,0,5,0,69.8,302,0,0
110,10,0,5,0,69.8,302,0,0
111,10,0,5,0,69.8,302,0,0
112,10,0,5,0,69.8,302,0,0
113,10,0,5,0,69.8,302,0,0
114,10,0,5,0,69.8,302,0,0
115,10,0,5,0,69.8,302,0,0
116,10,0,5,0,69.8,302,0,0
117,10,0,5,0,69.8,302,0,0
118,10,0,5,0,69.8,302,0,0
119,10,0,5,0,69.8,302,0,0
120,10,0,5,0,69.8,302,0,0
121,10,0,5,0,69.8,302,0,0
122,10,0,5,0,69.8,302,0,0
123,10,0,5,0,69.8,302,0,0
124,10,0,5,0,69.8,302,0,0
125,10,0,5,0,69.8,302,0,0
126,10,0,5,0,69.8,302,0,0
127,10,0,5,0,69.8,302,0,0
128,10,0,5,0,69.8,302,0,0
129,10,0,5,0,69.8,302,0,0
130,10,0,5,0,69.8,302,0,0
131,10,0,5,0,69.8,302,0,0
132,10,0,5,0,69.8,302,0,0
133,10,0,5,0,69.8,302,0,0
134,10,0,5,0,69.8,302,0,0
135,10,0,5,0,69.8,302,0,0
136,10,0,5,0,69.8,302,0,0
137,10,0,5,0,69.8,302,0,0
138,10,0,5,0,69.8,302,0,0
139,10,0,5,0,69.8,302,0,0
140,10,0,5,0,69.8,302,0,0
141,10,0,5,0,69.8,302,0,0
142,10,0,5,0,69.8,302,0,0
143,10,0,5,0,69.8,302,0,0
144,10,0,5,0,69.8,302,0,0
145,10,0,5,0,69.8,302,0,0
146,10,0,5,0,69.8,302,0,0
147,10,0,5,0,69.8,302,0,0
148,10,0,5,0,69.8,302,0,0
149,10,0,5,0,69.8,302,0,0
150,10,0,5,0,69.8,302,0,0
151,10,0,5,0,69.8,302,0,0
152,10,0,5,0,69.8,302,0,0
153,10,0,5,0,69.8,302,0,0
154,10,0,5,0,69.8,302,0,0
155,10,0,5,0,69.8,302,0,0
156,10,0,5,0,69.8,302,0,0
157,10,0,5,0,69.8,302,0,0
158,10,0,5,0,69.8,302,0,0
159,10,0,5,0,69.8,302,0,0
160,10,0,5,0,69.8,302,0,0
161,10,0,5,0,69.8,302,0,0
162,10,0,5,0,69.8,302,0,0
163,10,0,5,0,69.8,302,0,0
164,10,0,5,0,69.8,302,0,0
165,10,0,5,0,69.8,302,0,0
166,10,0,5,0,69.8,302,0,0
167,10,0,5,0,69.8,302,0,0
168,10,0,5,0,69.8,302,0,0
169,10,0,5,0,69.8,302,0,0
170,10,0,5,0,69.8,302,0,0
171,10,0,5,0,69.8,302,0,0
172,10,0,5,0,69.8,302,0,0
173,10,0,5,0,69.8,302,0,0
174,10,0,5,0,69.8,302,0,0
175,10,0,5,0,69.8,302,0,0
176,10,0,5,0,69.8,302,0,0
177,10,0,5,0,69.8,302,0,0
178,10,0,5,0,69.8,302,0,0
179,10,0,5,0,69.8,302,0,0
180,10,0,5,0,69.8,302,0,0
181,10,0,5,0,69.8,302,0,0
182,10,0,5,0,69.8,302,0,0
183,10,0,5,0,69.8,302,0,0
184,10,0,5,0,69.8,302,0,0
185,10,0,5,0,69.8,302,0,0
186,10,0,5,0,69.8,302,0,0
187,10,0,5,0,69.8,302,0,0
188,10,0,5,0,69.8,302,0,0
189,10,0,5,0,69.8,302,0,0
190,10,0,5,0,69.8,302,0,0
191,10,0,5,0,69.8,302,0,0
192,10,0,5,0,69.8,302,0,0
193,10,0,5,0,69.8,302,0,0
194,10,0,5,0,69.8,302,0,0
195,10,0,5,0,69.8,302,0,0
196,10,0,5,0,69.8,302,0,0
197,10,0,5,0,69.8,302,0,0
198,10,0,5,0,69.8,302,0,0
199,10,0,5,0,69.8,302,0,0
