,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,4,0,99.9,1,0,0
3,0,4,2,0,99.8,2,0,0
4,0,5,2,0,99.5,5,0,0
5,0,6,0,0,99.1,9,0,0
6,0,7,0,0,98.6,14,0,0
7,0,8,0,0,98.1,19,0,0
8,0,9,0,0,97.6,24,0,0
9,0,10,0,0,97.1,29,0,0
10,0,11,0,0,96.6,34,0,0
11,0,12,0,0,96.1,39,0,0
12,0,13,0,0,95.6,44,0,0
13,0,14,0,0,95.1,49,0,0
14,0,15,0,0,94.6,54,0,0
15,0,16,0,0,94.1,59,0,0
16,0,17,0,0,93.6,64,0,0
17,0,18,0,0,93.1,69,0,0
18,0,19,0,0,92.6,74,0,0
19,0,20,0,0,92.1,79,0,0
20,0,21,0,0,91.6,84,0,0
21,0,22,0,0,91.1,89,0,0
22,1,22,1,0,90.6,94,0,0
23,2,22,1,0,90.2,98,0,0
24,2,23,1,0,89.8,102,0,0
25,2,24,0,0,89.3,107,0,0
26,2,25,0,0,88.8,112,0,0
27,2,26,0,0,88.3,117,0,0
28,2,27,0,0,87.8,122,0,0
29,3,27,0,0,87.3,127,0,0
30,3,27,0,0,86.8,132,0,0
31,3,27,0,0,86.3,137,0,0
32,3,27,0,0,85.8,142,0,0
33,4,26,0,0,85.3,147,0,0
34,4,26,0,0,84.8,152,0,0
35,6,24,0,0,84.3,157,0,0
36,6,24,0,0,83.8,162,0,0
37,6,24,0,0,83.3,167,0,0
38,6,24,0,0,82.8,172,0,0
39,6,24,0,0,82.3,177,0,0
40,6,24,0,0,81.8,182,0,0
41,6,24,0,0,81.3,187,0,0
42,6,24,0,0,80.8,192,0,0
43,6,24,0,0,80.3,197,0,0
44,6,24,0,0,79.8,202,0,0
45,6,24,0,0,79.3,207,0,0
46,6,24,0,0,78.8,212,0,0
47,6,24,0,0,78.3,217,0,0
48,6,24,0,0,77.8,222,0,0
49,6,24,0,0,77.3,227,0,0
50,6,24,0,0,76.8,232,0,0
51,6,24,0,0,76.3,237,0,0
52,6,24,0,0,75.8,242,0,0
53,6,24,0,0,75.3,247,0,0
54,6,24,0,0,74.8,252,0,0
55,7,23,0,0,74.3,257,0,0
56,7,23,0,0,73.8,262,0,0
57,7,23,0,0,73.3,267,0,0
58,7,23,0,0,72.8,272,0,0
59,7,23,0,0,72.3,277,0,0
60,7,23,0,0,71.8,282,0,0
61,7,23,0,0,71.3,287,0,0
62,7,23,0,0,70.8,292,0,0
63,7,23,0,0,70.3,297,0,0
64,7,23,0,0,69.8,302,0,0
65,7,23,0,0,69.3,307,0,0
66,8,22,1,0,68.8,312,0,0
67,8,22,0,0,68.4,316,0,0
68,8,22,0,0,67.9,321,0,0
69,9,21,1,0,67.4,326,0,0
70,10,20,2,0,67.0,330,0,0
71,10,20,0,0,66.6,334,0,0
72,10,20,0,0,66.1,339,0,0
73,10,20,0,0,65.6,344,0,0
74,11,19,1,0,65.1,349,0,0
75,11,19,0,0,64.7,353,0,0
76,11,19,0,0,64.2,358,0,0
77,11,19,0,0,63.7,363,0,0
78,11,19,0,0,63.2,368,0,0
79,11,19,0,0,62.7,373,0,0
80,11,19,0,0,62.2,378,0,0
81,11,19,0,0,61.7,383,0,0
82,11,19,0,0,61.2,388,0,0
83,11,19,0,0,60.7,393,0,0
84,11,19,0,0,60.2,398,0,0
85,11,19,0,0,59.7,403,0,0
86,11,19,0,0,59.2,408,0,0
87,11,19,0,0,58.7,413,0,0
88,11,19,0,0,58.2,418,0,0
89,12,18,0,0,57.7,423,0,0
90,12,18,0,0,57.2,428,0,0
91,12,18,0,0,56.7,433,0,0
92,12,18,0,0,56.2,438,0,0
93,12,18,0,0,55.7,443,0,0
94,12,18,0,0,55.2,448,0,0
95,12,18,0,0,54.7,453,0,0
96,12,18,0,0,54.2,458,0,0
97,12,18,0,0,53.7,463,0,0
98,12,18,0,0,53.2,468,0,0
99,12,18,0,0,52.7,473,0,0
100,12,18,0,0,52.2,478,0,0
101,12,18,0,0,51.7,483,0,0
102,13,17,1,0,51.2,488,0,0
103,13,17,0,0,50.8,492,0,0
104,14,16,1,0,50.3,497,0,0
105,14,16,0,0,49.9,501,0,0
106,14,16,0,0,49.4,506,0,0
107,14,16,0,0,48.9,511,0,0
108,16,14,2,0,48.4,516,0,0
109,16,14,0,0,48.0,520,0,0
110,16,14,0,0,47.5,525,0,0
111,16,14,0,0,47.0,530,0,0
112,16,14,0,0,46.5,535,0,0
113,16,14,0,0,46.0,540,0,0
114,16,14,0,0,45.5,545,0,0
115,16,14,0,0,45.0,550,0,0
116,16,14,0,0,44.5,555,0,0
117,16,14,0,0,44.0,560,0,0
118,17,13,1,0,43.5,565,0,0
119,17,13,0,0,43.1,569,0,0
120,17,13,0,0,42.6,574,0,0
121,17,13,0,0,42.1,579,0,0
122,17,13,0,0,41.6,584,0,0
123,18,12,0,0,41.1,589,0,0
124,18,12,0,0,40.6,594,0,0
125,18,12,0,0,40.1,599,0,0
126,18,12,0,0,39.6,604,0,0
127,18,12,0,0,39.1,609,0,0
128,18,12,0,0,38.6,614,0,0
129,18,12,0,0,38.1,619,0,0
130,18,12,0,0,37.6,624,0,0
131,18,12,0,0,37.1,629,0,0
132,18,12,0,0,36.6,634,0,0
133,18,12,0,0,36.1,639,0,0
134,18,12,0,0,35.6,644,0,0
135,18,12,0,0,35.1,649,0,0
136,18,12,0,0,34.6,654,0,0
137,18,12,0,0,34.1,659,0,0
138,18,12,0,0,33.6,664,0,0
139,18,12,0,0,33.1,669,0,0
140,19,11,1,0,32.6,674,0,0
141,19,11,0,0,32.2,678,0,0
142,19,11,0,0,31.7,683,0,0
143,19,11,0,0,31.2,688,0,0
144,20,10,1,0,30.7,693,0,0
145,20,10,0,0,30.2,698,0,0
146,20,10,0,0,29.7,703,0,0
147,20,10,0,0,29.2,708,0,0
148,21,9,1,0,28.7,713,0,0
149,21,9,0,0,28.2,718,0,0
150,21,9,0,0,27.7,723,0,0
151,21,9,0,0,27.2,728,0,0
152,21,9,0,0,26.7,733,0,0
153,21,9,0,0,26.2,738,0,0
154,22,8,1,0,25.7,743,0,0
155,23,7,0,0,25.3,747,0,0
156,23,7,0,0,24.8,752,0,0
157,23,7,0,0,24.3,757,0,0
158,23,7,0,0,23.8,762,0,0
159,23,7,0,0,23.3,767,0,0
160,23,7,0,0,22.8,772,0,0
161,23,7,0,0,22.3,777,0,0
162,23,7,0,0,21.8,782,0,0
163,23,7,0,0,21.3,787,0,0
164,23,7,0,0,20.8,792,0,0
165,23,7,0,0,21.4,796,0,0
166,23,7,0,0,23.1,799,0,0
167,23,7,0,0,24.8,802,0,0
168,23,7,0,0,27.6,804,0,0
169,23,7,0,0,31.5,805,0,0
170,23,7,0,0,36.5,805,0,0
171,23,7,0,0,41.5,805,0,0
172,23,7,0,0,46.5,805,0,0
173,23,7,0,0,51.5,805,0,0
174,23,7,0,0,56.5,805,0,0
175,23,7,0,0,61.5,805,0,0
176,23,7,0,0,66.5,805,0,0
177,23,7,0,0,71.5,805,0,0
178,23,7,1,0,75.4,806,0,0
179,23,7,0,0,78.3,807,0,0
180,23,7,1,0,81.1,809,0,0
181,23,7,1,0,82.8,812,0,0
182,23,7,2,0,83.5,815,0,0
183,23,7,0,0,83.2,818,0,0
184,23,7,0,0,82.7,823,0,0
185,23,7,0,0,82.2,828,0,0
186,23,7,0,0,81.7,833,0,0
187,23,7,0,0,81.2,838,0,0
188,23,7,0,0,80.7,843,0,0
189,23,7,0,0,80.2,848,0,0
190,23,7,0,0,79.7,853,0,0
191,23,7,0,0,79.2,858,0,0
192,23,7,0,0,78.7,863,0,0
193,23,7,0,0,78.2,868,0,0
194,23,7,0,0,77.7,873,0,0
195,23,7,0,0,77.2,878,0,0
196,23,7,0,0,76.7,883,0,0
197,23,7,0,0,76.2,888,0,0
198,23,7,0,0,75.7,893,0,0
199,24,6,1,0,75.2,898,0,0
