,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,4,0,99.9,1,0,0
3,0,4,2,0,99.6,4,0,0
4,0,5,2,0,99.3,7,0,0
5,0,6,0,0,98.8,12,0,0
6,0,7,0,0,98.3,17,0,0
7,0,8,0,0,97.8,22,0,0
8,0,9,0,0,97.3,27,0,0
9,0,10,0,0,96.8,32,0,0
10,0,11,0,0,96.3,37,0,0
11,0,12,0,0,95.8,42,0,0
12,0,13,0,0,95.3,47,0,0
13,0,14,0,0,94.8,52,0,0
14,0,15,0,0,94.3,57,0,0
15,0,16,0,0,93.8,62,0,0
16,0,17,0,0,93.3,67,0,0
17,0,18,0,0,92.8,72,0,0
18,0,19,0,0,92.3,77,0,0
19,0,20,0,0,91.8,82,0,0
20,0,21,0,0,91.3,87,0,0
21,1,21,0,0,90.8,92,0,0
22,2,21,1,0,90.3,97,0,0
23,3,21,0,0,89.9,101,0,0
24,3,22,0,0,89.4,106,0,0
25,3,23,0,0,88.9,111,0,0
26,3,24,0,0,88.4,116,0,0
27,3,25,0,0,87.9,121,0,0
28,3,26,0,0,87.4,126,0,0
29,4,26,0,0,86.9,131,0,0
30,4,26,0,0,86.4,136,0,0
31,4,26,0,0,85.9,141,0,0
32,5,25,1,0,85.4,146,0,0
33,5,25,0,0,84.9,151,0,0
34,5,25,0,0,84.4,156,0,0
35,5,25,0,0,83.9,161,0,0
36,5,25,0,0,83.4,166,0,0
37,5,25,0,0,82.9,171,0,0
38,5,25,0,0,82.4,176,0,0
39,5,25,0,0,81.9,181,0,0
40,5,25,0,0,81.4,186,0,0
41,5,25,0,0,80.9,191,0,0
42,7,23,2,0,80.4,196,0,0
43,7,23,0,0,79.9,201,0,0
44,7,23,0,0,79.4,206,0,0
45,7,23,0,0,78.9,211,0,0
46,7,23,0,0,78.4,216,0,0
47,7,23,0,0,77.9,221,0,0
48,8,22,1,0,77.4,226,0,0
49,8,22,0,0,77.0,230,0,0
50,8,22,0,0,76.5,235,0,0
51,8,22,0,0,76.0,240,0,0
52,8,22,0,0,75.5,245,0,0
53,8,22,0,0,75.0,250,0,0
54,8,22,0,0,74.5,255,0,0
55,8,22,0,0,74.0,260,0,0
56,8,22,0,0,73.5,265,0,0
57,8,22,0,0,73.0,270,0,0
58,8,22,0,0,72.5,275,0,0
59,8,22,0,0,72.0,280,0,0
60,8,22,0,0,71.5,285,0,0
61,8,22,0,0,71.0,290,0,0
62,8,22,0,0,70.5,295,0,0
63,8,22,0,0,70.0,300,0,0
64,8,22,0,0,69.5,305,0,0
65,8,22,0,0,69.0,310,0,0
66,8,22,0,0,68.5,315,0,0
67,10,20,1,0,68.0,320,0,0
68,10,20,1,0,67.6,324,0,0
69,10,20,0,0,67.2,328,0,0
70,10,20,0,0,66.7,333,0,0
71,10,20,0,0,66.2,338,0,0
72,10,20,0,0,65.7,343,0,0
73,10,20,0,0,65.2,348,0,0
74,10,20,0,0,64.7,353,0,0
75,10,20,0,0,64.2,358,0,0
76,11,19,1,0,63.7,363,0,0
77,11,19,0,0,63.3,367,0,0
78,11,19,0,0,62.8,372,0,0
79,11,19,0,0,62.3,377,0,0
80,11,19,0,0,61.8,382,0,0
81,11,19,0,0,61.3,387,0,0
82,11,19,0,0,60.8,392,0,0
83,11,19,0,0,60.3,397,0,0
84,11,19,0,0,59.8,402,0,0
85,11,19,0,0,59.3,407,0,0
86,12,18,1,0,58.8,412,0,0
87,12,18,0,0,58.4,416,0,0
88,12,18,0,0,57.9,421,0,0
89,12,18,0,0,57.4,426,0,0
90,12,18,0,0,56.9,431,0,0
91,13,17,1,0,56.4,436,0,0
92,13,17,1,0,56.0,440,0,0
93,13,17,0,0,55.6,444,0,0
94,13,17,0,0,55.1,449,0,0
95,13,17,0,0,54.6,454,0,0
96,13,17,0,0,54.1,459,0,0
97,13,17,0,0,53.6,464,0,0
98,13,17,0,0,53.1,469,0,0
99,13,17,0,0,52.6,474,0,0
100,13,17,0,0,52.1,479,0,0
101,13,17,0,0,51.6,484,0,0
102,13,17,0,0,51.1,489,0,0
103,13,17,0,0,50.6,494,0,0
104,13,17,0,0,50.1,499,0,0
105,13,17,0,0,49.6,504,0,0
106,13,17,0,0,49.1,509,0,0
107,13,17,0,0,48.6,514,0,0
108,13,17,0,0,48.1,519,0,0
109,13,17,0,0,47.6,524,0,0
110,13,17,0,0,47.1,529,0,0
111,13,17,0,0,46.6,534,0,0
112,13,17,0,0,46.1,539,0,0
113,13,17,0,0,45.6,544,0,0
114,13,17,0,0,45.1,549,0,0
115,13,17,0,0,44.6,554,0,0
116,14,16,1,0,44.1,559,0,0
117,14,16,0,0,43.7,563,0,0
118,15,15,1,0,43.2,568,0,0
119,15,15,0,0,42.7,573,0,0
120,16,14,1,0,42.2,578,0,0
121,16,14,0,0,41.8,582,0,0
122,16,14,0,0,41.3,587,0,0
123,16,14,0,0,40.8,592,0,0
124,16,14,0,0,40.3,597,0,0
125,16,14,0,0,39.8,602,0,0
126,17,13,1,0,39.3,607,0,0
127,18,12,0,0,38.9,611,0,0
128,18,12,0,0,38.4,616,0,0
129,18,12,0,0,37.9,621,0,0
130,18,12,0,0,37.4,626,0,0
131,18,12,0,0,36.9,631,0,0
132,18,12,0,0,36.4,636,0,0
133,18,12,0,0,35.9,641,0,0
134,18,12,0,0,35.4,646,0,0
135,18,12,0,0,34.9,651,0,0
136,18,12,0,0,34.4,656,0,0
137,18,12,0,0,33.9,661,0,0
138,18,12,0,0,33.4,666,0,0
139,18,12,0,0,32.9,671,0,0
140,18,12,0,0,32.4,676,0,0
141,18,12,0,0,31.9,681,0,0
142,18,12,0,0,31.4,686,0,0
143,18,12,0,0,30.9,691,0,0
144,18,12,0,0,30.4,696,0,0
145,18,12,0,0,29.9,701,0,0
146,18,12,0,0,29.4,706,0,0
147,18,12,0,0,28.9,711,0,0
148,18,12,0,0,28.4,716,0,0
149,18,12,0,0,27.9,721,0,0
150,18,12,0,0,27.4,726,0,0
151,18,12,0,0,26.9,731,0,0
152,18,12,0,0,26.4,736,0,0
153,18,12,0,0,25.9,741,0,0
154,19,11,1,0,25.4,746,0,0
155,19,11,1,0,25.0,750,0,0
156,19,11,1,0,24.6,754,0,0
157,20,10,2,0,24.2,758,0,0
158,21,9,3,0,23.9,761,0,0
159,22,8,4,0,23.7,763,0,0
160,22,8,4,0,23.6,764,0,0
161,23,7,5,0,23.5,765,0,0
162,23,7,5,0,23.5,765,0,0
163,23,7,5,0,23.5,765,0,0
164,23,7,5,0,23.5,765,0,0
165,23,7,5,0,23.5,765,0,0
166,23,7,5,0,23.5,765,0,0
167,23,7,5,0,23.5,765,0,0
168,23,7,5,0,23.5,765,0,0
169,23,7,5,0,23.5,765,0,0
170,23,7,5,0,23.5,765,0,0
171,23,7,5,0,23.5,765,0,0
172,23,7,5,0,23.5,765,0,0
173,23,7,5,0,23.5,765,0,0
174,23,7,5,0,23.5,765,0,0
175,23,7,5,0,23.5,765,0,0
176,23,7,5,0,23.5,765,0,0
177,23,7,5,0,23.5,765,0,0
178,23,7,5,0,23.5,765,0,0
179,23,7,5,0,23.5,765,0,0
180,23,7,5,0,23.5,765,0,0
181,23,7,5,0,23.5,765,0,0
182,23,7,5,0,23.5,765,0,0
183,23,7,5,0,23.5,765,0,0
184,23,7,5,0,23.5,765,0,0
185,23,7,5,0,23.5,765,0,0
186,23,7,5,0,23.5,765,0,0
187,23,7,5,0,23.5,765,0,0
188,23,7,5,0,23.5,765,0,0
189,23,7,5,0,23.5,765,0,0
190,23,7,5,0,23.5,765,0,0
191,23,7,5,0,23.5,765,0,0
192,23,7,5,0,23.5,765,0,0
193,23,7,5,0,23.5,765,0,0
194,23,7,5,0,23.5,765,0,0
195,23,7,5,0,23.5,765,0,0
196,23,7,5,0,23.5,765,0,0
197,23,7,5,0,23.5,765,0,0
198,23,7,5,0,23.5,765,0,0
199,23,7,5,0,23.5,765,0,0
