,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,3,0,99.9,1,0,0
3,0,4,2,0,99.7,3,0,0
4,0,5,1,0,99.4,6,0,0
5,0,6,0,0,99.0,10,0,0
6,0,7,0,0,98.5,15,0,0
7,0,8,0,0,98.0,20,0,0
8,0,9,0,0,97.5,25,0,0
9,0,10,0,0,97.0,30,0,0
10,0,11,0,0,96.5,35,0,0
11,0,12,0,0,96.0,40,0,0
12,0,13,0,0,95.5,45,0,0
13,0,14,0,0,95.0,50,0,0
14,0,15,0,0,94.5,55,0,0
15,0,16,0,0,94.0,60,0,0
16,0,17,0,0,93.5,65,0,0
17,0,18,0,0,93.0,70,0,0
18,0,19,0,0,92.5,75,0,0
19,0,20,0,0,92.0,80,0,0
20,0,21,0,0,91.5,85,0,0
21,0,22,0,0,91.0,90,0,0
22,0,23,0,0,90.5,95,0,0
23,0,24,0,0,90.0,100,0,0
24,0,25,0,0,89.5,105,0,0
25,0,26,0,0,89.0,110,0,0
26,0,27,0,0,88.5,115,0,0
27,0,28,0,0,88.0,120,0,0
28,1,28,1,0,87.5,125,0,0
29,3,27,2,0,87.1,129,0,0
30,3,27,0,0,86.8,132,0,0
31,3,27,0,0,86.3,137,0,0
32,3,27,0,0,85.8,142,0,0
33,3,27,0,0,85.3,147,0,0
34,4,26,1,0,84.8,152,0,0
35,4,26,0,0,84.4,156,0,0
36,5,25,1,0,83.9,161,0,0
37,5,25,0,0,83.5,165,0,0
38,5,25,0,0,83.0,170,0,0
39,6,24,1,0,82.5,175,0,0
40,6,24,0,0,82.1,179,0,0
41,6,24,0,0,81.6,184,0,0
42,6,24,0,0,81.1,189,0,0
43,6,24,0,0,80.6,194,0,0
44,6,24,0,0,80.1,199,0,0
45,6,24,0,0,79.6,204,0,0
46,6,24,0,0,79.1,209,0,0
47,6,24,0,0,78.6,214,0,0
48,6,24,0,0,78.1,219,0,0
49,7,23,1,0,77.6,224,0,0
50,7,23,0,0,77.2,228,0,0
51,7,23,0,0,76.7,233,0,0
52,7,23,0,0,76.2,238,0,0
53,7,23,0,0,75.7,243,0,0
54,7,23,0,0,75.2,248,0,0
55,7,23,0,0,74.7,253,0,0
56,7,23,0,0,74.2,258,0,0
57,7,23,0,0,73.7,263,0,0
58,7,23,0,0,73.2,268,0,0
59,7,23,0,0,72.7,273,0,0
60,7,23,0,0,72.2,278,0,0
61,7,23,0,0,71.7,283,0,0
62,7,23,0,0,71.2,288,0,0
63,8,22,1,0,70.7,293,0,0
64,8,22,0,0,70.3,297,0,0
65,8,22,0,0,69.8,302,0,0
66,9,21,1,0,69.3,307,0,0
67,9,21,0,0,68.9,311,0,0
68,9,21,0,0,68.4,316,0,0
69,9,21,0,0,67.9,321,0,0
70,9,21,0,0,67.4,326,0,0
71,9,21,0,0,66.9,331,0,0
72,9,21,0,0,66.4,336,0,0
73,10,20,1,0,65.9,341,0,0
74,11,19,1,0,65.5,345,0,0
75,11,19,0,0,65.1,349,0,0
76,11,19,0,0,64.6,354,0,0
77,11,19,0,0,64.1,359,0,0
78,11,19,0,0,63.6,364,0,0
79,11,19,0,0,63.1,369,0,0
80,11,19,0,0,62.6,374,0,0
81,11,19,0,0,62.1,379,0,0
82,11,19,0,0,61.6,384,0,0
83,11,19,0,0,61.1,389,0,0
84,12,18,1,0,60.6,394,0,0
85,12,18,0,0,60.2,398,0,0
86,12,18,0,0,59.7,403,0,0
87,12,18,0,0,59.2,408,0,0
88,12,18,0,0,58.7,413,0,0
89,12,18,0,0,58.2,418,0,0
90,12,18,0,0,57.7,423,0,0
91,12,18,0,0,57.2,428,0,0
92,13,17,1,0,56.7,433,0,0
93,13,17,0,0,56.3,437,0,0
94,13,17,0,0,55.8,442,0,0
95,13,17,0,0,55.3,447,0,0
96,13,17,0,0,54.8,452,0,0
97,13,17,0,0,54.3,457,0,0
98,14,16,1,0,53.8,462,0,0
99,14,16,0,0,53.4,466,0,0
100,15,15,1,0,52.9,471,0,0
101,15,15,0,0,52.5,475,0,0
102,15,15,0,0,52.0,480,0,0
103,15,15,0,0,51.5,485,0,0
104,15,15,0,0,51.0,490,0,0
105,15,15,0,0,50.5,495,0,0
106,15,15,0,0,50.0,500,0,0
107,15,15,0,0,49.5,505,0,0
108,15,15,0,0,49.0,510,0,0
109,15,15,0,0,48.5,515,0,0
110,15,15,0,0,48.0,520,0,0
111,16,14,1,0,47.5,525,0,0
112,16,14,0,0,47.1,529,0,0
113,16,14,0,0,46.6,534,0,0
114,16,14,0,0,46.1,539,0,0
115,16,14,0,0,45.6,544,0,0
116,16,14,0,0,45.1,549,0,0
117,16,14,0,0,44.6,554,0,0
118,16,14,0,0,44.1,559,0,0
119,16,14,0,0,43.6,564,0,0
120,16,14,0,0,43.1,569,0,0
121,17,13,1,0,42.6,574,0,0
122,18,12,1,0,42.2,578,0,0
123,18,12,0,0,41.8,582,0,0
124,18,12,0,0,41.3,587,0,0
125,18,12,0,0,40.8,592,0,0
126,18,12,0,0,40.3,597,0,0
127,19,11,1,0,39.8,602,0,0
128,19,11,0,0,39.4,606,0,0
129,19,11,0,0,38.9,611,0,0
130,19,11,0,0,38.4,616,0,0
131,19,11,0,0,37.9,621,0,0
132,20,10,1,0,37.4,626,0,0
133,20,10,0,0,37.0,630,0,0
134,20,10,0,0,36.5,635,0,0
135,20,10,0,0,36.0,640,0,0
136,20,10,0,0,35.5,645,0,0
137,20,10,0,0,35.0,650,0,0
138,20,10,0,0,34.5,655,0,0
139,20,10,0,0,34.0,660,0,0
140,20,10,0,0,33.5,665,0,0
141,20,10,0,0,33.0,670,0,0
142,21,9,1,0,32.5,675,0,0
143,21,9,0,0,32.1,679,0,0
144,21,9,0,0,31.6,684,0,0
145,21,9,0,0,31.1,689,0,0
146,21,9,0,0,30.6,694,0,0
147,22,8,1,0,30.1,699,0,0
148,22,8,0,0,29.7,703,0,0
149,22,8,0,0,29.2,708,0,0
150,22,8,0,0,28.7,713,0,0
151,22,8,0,0,28.2,718,0,0
152,22,8,0,0,27.7,723,0,0
153,22,8,0,0,27.2,728,0,0
154,22,8,0,0,26.7,733,0,0
155,22,8,0,0,26.2,738,0,0
156,23,7,1,0,25.7,743,0,0
157,23,7,0,0,25.3,747,0,0
158,23,7,0,0,24.8,752,0,0
159,24,6,1,0,24.3,757,0,0
160,24,6,0,0,23.9,761,0,0
161,24,6,0,0,23.4,766,0,0
162,24,6,0,0,22.9,771,0,0
163,24,6,0,0,22.4,776,0,0
164,24,6,0,0,21.9,781,0,0
165,24,6,0,0,21.4,786,0,0
166,24,6,0,0,20.9,791,0,0
167,24,6,0,0,21.5,795,0,0
168,24,6,0,0,22.1,799,0,0
169,25,5,1,0,23.8,802,0,0
170,25,5,0,0,27.7,803,0,0
171,25,5,0,0,31.6,804,0,0
172,25,5,0,0,35.5,805,0,0
173,25,5,0,0,40.5,805,0,0
174,25,5,0,0,45.5,805,0,0
175,25,5,0,0,50.5,805,0,0
176,25,5,0,0,55.5,805,0,0
177,25,5,0,0,60.5,805,0,0
178,25,5,0,0,65.5,805,0,0
179,25,5,0,0,70.5,805,0,0
180,25,5,0,0,74.4,806,0,0
181,25,5,0,0,78.3,807,0,0
182,25,5,0,0,81.1,809,0,0
183,25,5,0,0,81.7,813,0,0
184,25,5,0,0,82.3,817,0,0
185,25,5,0,0,82.9,821,0,0
186,25,5,0,0,82.4,826,0,0
187,25,5,0,0,81.9,831,0,0
188,25,5,0,0,81.4,836,0,0
189,25,5,0,0,80.9,841,0,0
190,25,5,0,0,80.4,846,0,0
191,25,5,0,0,79.9,851,0,0
192,25,5,0,0,79.4,856,0,0
193,25,5,0,0,78.9,861,0,0
194,25,5,0,0,78.4,866,0,0
195,25,5,0,0,77.9,871,0,0
196,25,5,0,0,77.4,876,0,0
197,25,5,0,0,76.9,881,0,0
198,25,5,0,0,76.4,886,0,0
199,26,4,1,0,75.9,891,0,0
