,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,99.9,1,0,0
2,0,3,4,0,99.8,2,0,0
3,0,4,2,0,99.6,4,0,0
4,0,5,2,0,99.3,7,0,0
5,0,6,0,0,98.8,12,0,0
6,0,7,0,0,98.3,17,0,0
7,0,8,0,0,97.8,22,0,0
8,0,9,0,0,97.3,27,0,0
9,0,10,0,0,96.8,32,0,0
10,0,11,0,0,96.3,37,0,0
11,0,12,0,0,95.8,42,0,0
12,0,13,0,0,95.3,47,0,0
13,0,14,0,0,94.8,52,0,0
14,0,15,0,0,94.3,57,0,0
15,0,16,0,0,93.8,62,0,0
16,0,17,0,0,93.3,67,0,0
17,0,18,0,0,92.8,72,0,0
18,0,19,0,0,92.3,77,0,0
19,0,20,0,0,91.8,82,0,0
20,0,21,0,0,91.3,87,0,0
21,0,22,0,0,90.8,92,0,0
22,1,22,1,0,90.3,97,0,0
23,2,22,1,0,89.8,102,0,0
24,2,23,1,0,89.4,106,0,0
25,2,24,0,0,88.9,111,0,0
26,2,25,0,0,88.4,116,0,0
27,2,26,0,0,87.9,121,0,0
28,2,27,0,0,87.4,126,0,0
29,2,28,0,0,86.9,131,0,0
30,2,28,0,0,86.4,136,0,0
31,2,28,0,0,85.9,141,0,0
32,2,28,0,0,85.4,146,0,0
33,3,27,0,0,84.9,151,0,0
34,3,27,0,0,84.4,156,0,0
35,3,27,0,0,83.9,161,0,0
36,3,27,0,0,83.4,166,0,0
37,4,26,1,0,82.9,171,0,0
38,4,26,1,0,82.5,175,0,0
39,4,26,0,0,82.0,180,0,0
40,5,25,1,0,81.5,185,0,0
41,6,24,0,0,81.0,190,0,0
42,6,24,0,0,80.5,195,0,0
43,6,24,0,0,80.0,200,0,0
44,6,24,0,0,79.5,205,0,0
45,6,24,0,0,79.0,210,0,0
46,6,24,0,0,78.5,215,0,0
47,6,24,0,0,78.0,220,0,0
48,6,24,0,0,77.5,225,0,0
49,6,24,0,0,77.0,230,0,0
50,6,24,0,0,76.5,235,0,0
51,6,24,0,0,76.0,240,0,0
52,6,24,0,0,75.5,245,0,0
53,6,24,0,0,75.0,250,0,0
54,6,24,0,0,74.5,255,0,0
55,7,23,0,0,74.0,260,0,0
56,7,23,0,0,73.5,265,0,0
57,7,23,0,0,73.0,270,0,0
58,7,23,0,0,72.5,275,0,0
59,8,22,0,0,72.0,280,0,0
60,9,21,1,0,71.5,285,0,0
61,9,21,0,0,71.0,290,0,0
62,9,21,0,0,70.5,295,0,0
63,9,21,0,0,70.0,300,0,0
64,9,21,0,0,69.5,305,0,0
65,9,21,0,0,69.0,310,0,0
66,9,21,0,0,68.5,315,0,0
67,9,21,0,0,68.0,320,0,0
68,9,21,0,0,67.5,325,0,0
69,9,21,0,0,67.0,330,0,0
70,9,21,0,0,66.5,335,0,0
71,9,21,0,0,66.0,340,0,0
72,9,21,0,0,65.5,345,0,0
73,9,21,0,0,65.0,350,0,0
74,9,21,0,0,64.5,355,0,0
75,9,21,0,0,64.0,360,0,0
76,10,20,1,0,63.5,365,0,0
77,10,20,0,0,63.1,369,0,0
78,10,20,0,0,62.6,374,0,0
79,10,20,0,0,62.1,379,0,0
80,10,20,0,1,61.6,384,0,0
81,11,19,0,1,61.2,388,0,0
82,11,19,0,1,60.8,392,0,0
83,11,19,0,1,60.4,396,0,0
84,11,19,0,1,60.0,400,0,0
85,11,19,0,1,59.6,404,0,0
86,11,19,0,1,59.2,408,0,0
87,11,19,0,1,58.8,412,0,0
88,11,19,0,1,58.4,416,0,0
89,12,18,1,1,58.0,420,0,0
90,12,18,1,1,57.7,423,0,0
91,12,18,0,1,57.4,426,0,0
92,13,17,1,1,57.0,430,0,0
93,13,17,0,1,56.7,433,0,0
94,13,17,0,1,56.3,437,0,0
95,13,17,0,1,55.9,441,0,0
96,14,16,1,1,55.5,445,0,0
97,14,16,0,1,55.1,449,0,0
98,14,16,0,1,54.7,453,0,0
99,14,16,0,1,54.3,457,0,0
100,14,16,0,1,53.9,461,0,0
101,14,16,0,1,53.5,465,0,0
102,14,16,0,1,53.1,469,0,0
103,14,16,0,1,52.7,473,0,0
104,14,16,0,1,52.3,477,0,0
105,14,16,0,1,51.9,481,0,0
106,14,16,0,1,51.5,485,0,0
107,14,16,0,1,51.1,489,0,0
108,14,16,0,1,50.7,493,0,0
109,14,16,0,1,50.3,497,0,0
110,14,16,0,1,49.9,501,0,0
111,14,16,0,1,49.5,505,0,0
112,14,16,0,1,49.1,509,0,0
113,14,16,0,1,48.7,513,0,0
114,14,16,0,1,48.3,517,0,0
115,14,16,0,1,47.9,521,0,0
116,14,16,0,1,47.5,525,0,0
117,14,16,0,1,47.1,529,0,0
118,14,16,0,1,46.7,533,0,0
119,14,16,0,1,46.3,537,0,0
120,14,16,0,1,45.9,541,0,0
121,14,16,0,1,45.5,545,0,0
122,14,16,0,1,45.1,549,0,0
123,14,16,0,1,44.7,553,0,0
124,14,16,0,1,44.3,557,0,0
125,14,16,0,1,43.9,561,0,0
126,14,16,0,1,43.5,565,0,0
127,14,16,0,1,43.1,569,0,0
128,14,16,0,1,42.7,573,0,0
129,14,16,0,1,42.3,577,0,0
130,14,16,0,1,41.9,581,0,0
131,14,16,0,1,41.5,585,0,0
132,14,16,0,1,41.1,589,0,0
133,15,15,1,1,40.7,593,0,0
134,15,15,1,1,40.4,596,0,0
135,15,15,0,1,40.1,599,0,0
136,15,15,0,1,39.7,603,0,0
137,15,15,0,1,39.3,607,0,0
138,15,15,0,1,38.9,611,0,0
139,15,15,0,1,38.5,615,0,0
140,15,15,0,1,38.1,619,0,0
141,15,15,0,1,37.7,623,0,0
142,15,15,0,1,37.3,627,0,0
143,15,15,0,1,36.9,631,0,0
144,16,14,1,1,36.5,635,0,0
145,16,14,1,1,36.2,638,0,0
146,16,14,1,1,35.9,641,0,0
147,16,14,1,1,35.6,644,0,0
148,16,14,1,1,35.3,647,0,0
149,16,14,1,1,35.0,650,0,0
150,16,14,1,1,34.7,653,0,0
151,16,14,1,1,34.4,656,0,0
152,16,14,1,1,34.1,659,0,0
153,17,13,2,1,33.8,662,0,0
154,17,13,2,1,33.6,664,0,0
155,17,13,2,1,33.4,666,0,0
156,17,13,2,1,33.2,668,0,0
157,17,13,2,1,33.0,670,0,0
158,17,13,2,1,32.8,672,0,0
159,17,13,2,1,32.6,674,0,0
160,18,12,3,1,32.4,676,0,0
161,18,12,3,1,32.3,677,0,0
162,18,12,3,1,32.2,678,0,0
163,18,12,3,1,32.1,679,0,0
164,18,12,3,1,32.0,680,0,0
165,18,12,3,1,31.9,681,0,0
166,18,12,3,1,31.8,682,0,0
167,18,12,3,1,32.8,682,0,0
168,18,12,3,1,33.8,682,0,0
169,18,12,3,1,34.8,682,0,0
170,18,12,3,1,35.8,682,0,0
171,18,12,3,1,36.8,682,0,0
172,18,12,3,1,37.8,682,0,0
173,18,12,3,1,38.8,682,0,0
174,18,12,3,1,39.8,682,0,0
175,18,12,3,1,40.8,682,0,0
176,18,12,3,1,41.8,682,0,0
177,18,12,3,1,42.8,682,0,0
178,18,12,3,1,43.8,682,0,0
179,18,12,4,1,44.8,682,0,0
180,18,12,4,1,44.8,682,0,0
181,18,12,3,1,44.8,682,0,0
182,18,12,3,1,44.7,683,0,0
183,18,12,3,1,44.6,684,0,0
184,18,12,3,1,44.5,685,0,0
185,18,12,3,1,44.4,686,0,0
186,18,12,3,1,44.3,687,0,0
187,18,12,3,1,44.2,688,0,0
188,18,12,3,1,44.1,689,0,0
189,18,12,3,1,44.0,690,0,0
190,18,12,3,1,43.9,691,0,0
191,18,12,3,1,43.8,692,0,0
192,18,12,3,1,43.7,693,0,0
193,18,12,3,1,43.6,694,0,0
194,18,12,3,1,43.5,695,0,0
195,18,12,3,1,43.4,696,0,0
196,18,12,3,1,43.3,697,0,0
197,18,12,3,1,43.2,698,0,0
198,18,12,3,1,43.1,699,0,0
199,18,12,3,1,43.0,700,0,0
