,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,99.9,1,0,0
2,0,3,4,0,99.8,2,0,0
3,0,4,2,0,99.6,4,0,0
4,0,5,2,0,99.3,7,0,0
5,0,6,0,0,98.8,12,0,0
6,0,7,0,0,98.3,17,0,0
7,0,8,0,0,97.8,22,0,0
8,0,9,0,0,97.3,27,0,0
9,0,10,0,0,96.8,32,0,0
10,0,11,0,0,96.3,37,0,0
11,0,12,0,0,95.8,42,0,0
12,0,13,0,0,95.3,47,0,0
13,0,14,0,0,94.8,52,0,0
14,0,15,0,0,94.3,57,0,0
15,0,16,0,0,93.8,62,0,0
16,0,17,0,0,93.3,67,0,0
17,0,18,0,0,92.8,72,0,0
18,0,19,0,0,92.3,77,0,0
19,0,20,0,0,91.8,82,0,0
20,0,21,0,0,91.3,87,0,0
21,0,22,0,0,90.8,92,0,0
22,0,23,0,0,90.3,97,0,0
23,0,24,0,0,89.8,102,0,0
24,2,23,2,0,89.3,107,0,0
25,2,24,0,0,88.9,111,0,0
26,2,25,0,0,88.4,116,0,0
27,2,26,0,0,87.9,121,0,0
28,2,27,0,0,87.4,126,0,0
29,2,28,0,0,86.9,131,0,0
30,2,28,0,0,86.4,136,0,0
31,2,28,0,0,85.9,141,0,0
32,3,27,1,0,85.4,146,0,0
33,3,27,0,0,84.9,151,0,0
34,4,26,1,0,84.4,156,0,0
35,4,26,0,0,83.9,161,0,0
36,4,26,0,0,83.4,166,0,0
37,4,26,0,0,82.9,171,0,0
38,4,26,0,0,82.4,176,0,0
39,4,26,0,0,81.9,181,0,0
40,4,26,0,0,81.4,186,0,0
41,4,26,0,0,80.9,191,0,0
42,4,26,0,0,80.4,196,0,0
43,4,26,0,0,79.9,201,0,0
44,4,26,0,0,79.4,206,0,0
45,4,26,0,0,78.9,211,0,0
46,5,25,1,0,78.4,216,0,0
47,5,25,0,0,78.0,220,0,0
48,5,25,0,0,77.5,225,0,0
49,5,25,0,0,77.0,230,0,0
50,5,25,0,0,76.5,235,0,0
51,5,25,0,0,76.0,240,0,0
52,5,25,0,0,75.5,245,0,0
53,5,25,0,0,75.0,250,0,0
54,5,25,0,0,74.5,255,0,0
55,5,25,0,0,74.0,260,0,0
56,5,25,0,0,73.5,265,0,0
57,5,25,0,0,73.0,270,0,0
58,6,24,1,0,72.5,275,0,0
59,7,23,0,0,72.0,280,0,0
60,7,23,0,0,71.5,285,0,0
61,7,23,0,0,71.0,290,0,0
62,7,23,0,0,70.5,295,0,0
63,7,23,0,0,70.0,300,0,0
64,7,23,0,0,69.5,305,0,0
65,7,23,0,0,69.0,310,0,0
66,7,23,0,0,68.5,315,0,0
67,7,23,0,0,68.0,320,0,0
68,7,23,0,0,67.5,325,0,0
69,7,23,0,0,67.0,330,0,0
70,7,23,0,0,66.5,335,0,0
71,7,23,0,0,66.0,340,0,0
72,7,23,0,0,65.5,345,0,0
73,7,23,0,0,65.0,350,0,0
74,7,23,0,0,64.5,355,0,0
75,7,23,0,0,64.0,360,0,0
76,8,22,1,0,63.5,365,0,0
77,8,22,0,0,63.0,370,0,0
78,9,21,1,0,62.5,375,0,0
79,10,20,0,0,62.0,380,0,0
80,10,20,0,0,61.5,385,0,0
81,10,20,0,0,61.0,390,0,0
82,10,20,0,0,60.5,395,0,0
83,10,20,0,0,60.0,400,0,0
84,10,20,0,0,59.5,405,0,0
85,10,20,0,0,59.0,410,0,0
86,11,19,1,0,58.5,415,0,0
87,11,19,0,0,58.0,420,0,0
88,11,19,0,0,57.5,425,0,0
89,11,19,0,0,57.0,430,0,0
90,11,19,0,0,56.5,435,0,0
91,11,19,0,0,56.0,440,0,0
92,12,18,1,0,55.5,445,0,0
93,12,18,0,0,55.1,449,0,0
94,12,18,0,0,54.6,454,0,0
95,12,18,0,0,54.1,459,0,0
96,12,18,0,0,53.6,464,0,0
97,12,18,0,0,53.1,469,0,0
98,12,18,0,0,52.6,474,0,0
99,12,18,0,0,52.1,479,0,0
100,12,18,0,0,51.6,484,0,0
101,12,18,0,0,51.1,489,0,0
102,12,18,0,0,50.6,494,0,0
103,12,18,0,0,50.1,499,0,0
104,12,18,0,0,49.6,504,0,0
105,12,18,0,0,49.1,509,0,0
106,12,18,0,0,48.6,514,0,0
107,12,18,0,0,48.1,519,0,0
108,12,18,0,0,47.6,524,0,0
109,13,17,1,0,47.1,529,0,0
110,13,17,1,0,46.7,533,0,0
111,13,17,0,0,46.2,538,0,0
112,13,17,0,0,45.7,543,0,0
113,14,16,1,0,45.2,548,0,0
114,14,16,1,0,44.8,552,0,0
115,14,16,0,0,44.3,557,0,0
116,14,16,0,0,43.8,562,0,0
117,15,15,1,0,43.3,567,0,0
118,15,15,1,0,42.9,571,0,0
119,15,15,0,0,42.5,575,0,0
120,15,15,0,0,42.0,580,0,0
121,15,15,0,0,41.5,585,0,0
122,15,15,0,0,41.0,590,0,0
123,15,15,0,0,40.5,595,0,0
124,15,15,0,0,40.0,600,0,0
125,15,15,0,0,39.5,605,0,0
126,15,15,0,0,39.0,610,0,0
127,15,15,0,0,38.5,615,0,0
128,15,15,0,0,38.0,620,0,0
129,16,14,0,0,37.5,625,0,0
130,16,14,0,0,37.0,630,0,0
131,16,14,0,0,36.5,635,0,0
132,17,13,1,0,36.0,640,0,0
133,17,13,0,0,35.5,645,0,0
134,17,13,0,0,35.0,650,0,0
135,17,13,0,0,34.5,655,0,0
136,17,13,0,0,34.0,660,0,0
137,17,13,0,0,33.5,665,0,0
138,17,13,0,0,33.0,670,0,0
139,17,13,0,0,32.5,675,0,0
140,17,13,0,0,32.0,680,0,0
141,17,13,0,0,31.5,685,0,0
142,17,13,0,0,31.0,690,0,0
143,17,13,0,0,30.5,695,0,0
144,17,13,0,0,30.0,700,0,0
145,17,13,0,0,29.5,705,0,0
146,17,13,0,0,29.0,710,0,0
147,17,13,0,0,28.5,715,0,0
148,17,13,0,0,28.0,720,0,0
149,17,13,0,0,27.5,725,0,0
150,17,13,0,0,27.0,730,0,0
151,17,13,0,0,26.5,735,0,0
152,17,13,0,0,26.0,740,0,0
153,17,13,0,0,25.5,745,0,0
154,17,13,0,0,25.0,750,0,0
155,18,12,1,0,24.5,755,0,0
156,18,12,1,0,24.1,759,0,0
157,18,12,0,0,23.6,764,0,0
158,18,12,0,0,23.1,769,0,0
159,19,11,1,0,22.6,774,0,0
160,19,11,1,0,22.2,778,0,0
161,19,11,0,0,21.8,782,0,0
162,19,11,0,0,21.3,787,0,0
163,19,11,0,0,21.9,791,0,0
164,19,11,0,0,22.5,795,0,0
165,20,10,1,0,23.1,799,0,0
166,20,10,0,0,25.9,801,0,0
167,20,10,0,0,28.7,803,0,0
168,20,10,0,0,31.5,805,0,0
169,20,10,0,0,36.5,805,0,0
170,20,10,0,0,41.5,805,0,0
171,20,10,0,0,46.5,805,0,0
172,20,10,0,0,51.5,805,0,0
173,20,10,0,0,56.5,805,0,0
174,20,10,0,0,61.5,805,0,0
175,20,10,0,0,66.5,805,0,0
176,20,10,0,0,70.4,806,0,0
177,20,10,0,0,74.3,807,0,0
178,20,10,2,0,78.2,808,0,0
179,20,10,0,0,79.9,811,0,0
180,20,10,0,0,81.6,814,0,0
181,20,10,2,0,83.3,817,0,0
182,20,10,2,0,83.0,820,0,0
183,20,10,0,0,82.7,823,0,0
184,20,10,0,0,82.2,828,0,0
185,20,10,0,0,81.7,833,0,0
186,20,10,0,0,81.2,838,0,0
187,20,10,0,0,80.7,843,0,0
188,20,10,0,0,80.2,848,0,0
189,20,10,0,0,79.7,853,0,0
190,20,10,0,0,79.2,858,0,0
191,20,10,0,0,78.7,863,0,0
192,20,10,0,0,78.2,868,0,0
193,20,10,0,0,77.7,873,0,0
194,20,10,0,0,77.2,878,0,0
195,20,10,0,0,76.7,883,0,0
196,20,10,0,0,76.2,888,0,0
197,20,10,0,0,75.7,893,0,0
198,20,10,0,0,75.2,898,0,0
199,20,10,0,0,74.7,903,0,0
