,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,4,0,99.9,1,0,0
3,0,4,2,0,99.8,2,0,0
4,0,5,2,0,99.5,5,0,0
5,0,6,0,0,99.2,8,0,0
6,0,7,0,0,98.7,13,0,0
7,0,8,0,0,98.2,18,0,0
8,0,9,0,0,97.7,23,0,0
9,0,10,0,0,97.2,28,0,0
10,0,11,0,0,96.7,33,0,0
11,0,12,0,0,96.2,38,0,0
12,0,13,0,0,95.7,43,0,0
13,0,14,0,0,95.2,48,0,0
14,0,15,0,0,94.7,53,0,0
15,0,16,0,0,94.2,58,0,0
16,1,16,1,0,93.7,63,0,0
17,1,17,0,0,93.2,68,0,0
18,1,18,0,0,92.7,73,0,0
19,1,19,0,0,92.2,78,0,0
20,1,20,0,0,91.7,83,0,0
21,1,21,0,0,91.2,88,0,0
22,1,22,0,0,90.7,93,0,0
23,1,23,0,0,90.2,98,0,0
24,2,23,1,0,89.7,103,0,0
25,2,24,0,0,89.2,108,0,0
26,2,25,0,0,88.7,113,0,0
27,2,26,0,0,88.2,118,0,0
28,2,27,0,0,87.7,123,0,0
29,3,27,0,0,87.2,128,0,0
30,3,27,0,0,86.7,133,0,0
31,3,27,0,0,86.2,138,0,0
32,3,27,0,0,85.7,143,0,0
33,4,26,0,0,85.2,148,0,0
34,4,26,0,0,84.7,153,0,0
35,4,26,0,0,84.2,158,0,0
36,5,25,1,0,83.7,163,0,0
37,5,25,0,0,83.3,167,0,0
38,5,25,0,0,82.8,172,0,0
39,5,25,0,0,82.3,177,0,0
40,5,25,0,0,81.8,182,0,0
41,5,25,0,0,81.3,187,0,0
42,5,25,0,0,80.8,192,0,0
43,5,25,0,0,80.3,197,0,0
44,5,25,0,0,79.8,202,0,0
45,5,25,0,0,79.3,207,0,0
46,5,25,0,0,78.8,212,0,0
47,5,25,0,0,78.3,217,0,0
48,5,25,0,0,77.8,222,0,0
49,5,25,0,0,77.3,227,0,0
50,6,24,1,0,76.8,232,0,0
51,6,24,0,0,76.4,236,0,0
52,6,24,0,0,75.9,241,0,0
53,6,24,0,0,75.4,246,0,0
54,6,24,0,0,74.9,251,0,0
55,6,24,0,0,74.4,256,0,0
56,6,24,0,0,73.9,261,0,0
57,6,24,0,0,73.4,266,0,0
58,7,23,1,0,72.9,271,0,0
59,7,23,0,0,72.4,276,0,0
60,7,23,0,0,71.9,281,0,0
61,7,23,0,0,71.4,286,0,0
62,7,23,0,0,70.9,291,0,0
63,7,23,0,0,70.4,296,0,0
64,7,23,0,0,69.9,301,0,0
65,7,23,0,0,69.4,306,0,0
66,7,23,0,0,68.9,311,0,0
67,7,23,0,0,68.4,316,0,0
68,8,22,1,0,67.9,321,0,0
69,8,22,0,0,67.5,325,0,0
70,8,22,0,0,67.0,330,0,0
71,8,22,0,0,66.5,335,0,0
72,8,22,0,0,66.0,340,0,0
73,9,21,0,0,65.5,345,0,0
74,9,21,0,0,65.0,350,0,0
75,9,21,0,0,64.5,355,0,0
76,9,21,0,0,64.0,360,0,0
77,10,20,1,0,63.5,365,0,0
78,10,20,1,0,63.1,369,0,0
79,10,20,0,0,62.7,373,0,0
80,10,20,0,0,62.2,378,0,0
81,10,20,0,0,61.7,383,0,0
82,11,19,1,0,61.2,388,0,0
83,11,19,0,0,60.7,393,0,0
84,11,19,0,0,60.2,398,0,0
85,11,19,0,0,59.7,403,0,0
86,11,19,0,0,59.2,408,0,0
87,11,19,0,0,58.7,413,0,0
88,11,19,0,0,58.2,418,0,0
89,11,19,0,0,57.7,423,0,0
90,11,19,0,0,57.2,428,0,0
91,11,19,0,0,56.7,433,0,0
92,11,19,0,0,56.2,438,0,0
93,11,19,0,0,55.7,443,0,0
94,11,19,0,0,55.2,448,0,0
95,11,19,0,0,54.7,453,0,0
96,11,19,0,0,54.2,458,0,0
97,11,19,0,0,53.7,463,0,0
98,11,19,0,0,53.2,468,0,0
99,12,18,0,0,52.7,473,0,0
100,12,18,0,0,52.2,478,0,0
101,12,18,0,0,51.7,483,0,0
102,12,18,0,0,51.2,488,0,0
103,13,17,0,0,50.7,493,0,0
104,13,17,0,0,50.2,498,0,0
105,13,17,0,0,49.7,503,0,0
106,13,17,0,0,49.2,508,0,0
107,13,17,0,0,48.7,513,0,0
108,13,17,0,0,48.2,518,0,0
109,13,17,0,0,47.7,523,0,0
110,13,17,0,0,47.2,528,0,0
111,13,17,0,0,46.7,533,0,0
112,13,17,0,0,46.2,538,0,0
113,13,17,0,0,45.7,543,0,0
114,13,17,0,0,45.2,548,0,0
115,13,17,0,0,44.7,553,0,0
116,14,16,1,0,44.2,558,0,0
117,14,16,0,0,43.8,562,0,0
118,15,15,1,0,43.3,567,0,0
119,15,15,0,0,42.8,572,0,0
120,15,15,0,0,42.3,577,0,0
121,16,14,0,0,41.8,582,0,0
122,16,14,0,0,41.3,587,0,0
123,16,14,0,0,40.8,592,0,0
124,16,14,0,0,40.3,597,0,0
125,16,14,0,0,39.8,602,0,0
126,16,14,0,0,39.3,607,0,0
127,16,14,0,0,38.8,612,0,0
128,17,13,1,0,38.3,617,0,0
129,17,13,0,0,37.8,622,0,0
130,17,13,0,0,37.3,627,0,0
131,17,13,0,0,36.8,632,0,0
132,17,13,0,0,36.3,637,0,0
133,17,13,0,0,35.8,642,0,0
134,17,13,0,0,35.3,647,0,0
135,17,13,0,0,34.8,652,0,0
136,18,12,1,0,34.3,657,0,0
137,18,12,0,0,33.8,662,0,0
138,18,12,0,0,33.3,667,0,0
139,18,12,0,0,32.8,672,0,0
140,18,12,0,0,32.3,677,0,0
141,18,12,0,0,31.8,682,0,0
142,18,12,0,0,31.3,687,0,0
143,18,12,0,0,30.8,692,0,0
144,18,12,0,0,30.3,697,0,0
145,18,12,0,0,29.8,702,0,0
146,18,12,0,0,29.3,707,0,0
147,18,12,0,0,28.8,712,0,0
148,18,12,0,0,28.3,717,0,0
149,18,12,0,0,27.8,722,0,0
150,18,12,0,0,27.3,727,0,0
151,18,12,0,0,26.8,732,0,0
152,18,12,0,0,26.3,737,0,0
153,18,12,0,0,25.8,742,0,0
154,19,11,1,0,25.3,747,0,0
155,19,11,1,0,24.9,751,0,0
156,19,11,1,0,24.5,755,0,0
157,19,11,1,0,24.1,759,0,0
158,19,11,1,0,23.7,763,0,0
159,19,11,1,0,23.3,767,0,0
160,19,11,1,0,22.9,771,0,0
161,20,10,2,0,22.5,775,0,0
162,20,10,2,0,22.2,778,0,0
163,21,9,3,0,21.9,781,0,0
164,22,8,3,0,22.7,783,0,0
165,22,8,3,0,23.6,784,0,0
166,22,8,3,0,24.5,785,0,0
167,22,8,3,0,26.5,785,0,0
168,22,8,3,0,28.5,785,0,0
169,22,8,3,0,30.5,785,0,0
170,22,8,3,0,32.5,785,0,0
171,22,8,3,0,34.5,785,0,0
172,22,8,3,0,36.5,785,0,0
173,22,8,3,0,38.5,785,0,0
174,22,8,3,0,40.5,785,0,0
175,22,8,3,0,42.5,785,0,0
176,22,8,4,0,44.5,785,0,0
177,22,8,3,0,45.4,786,0,0
178,22,8,3,0,46.3,787,0,0
179,22,8,4,0,47.2,788,0,0
180,22,8,4,0,47.1,789,0,0
181,22,8,3,0,47.0,790,0,0
182,22,8,3,0,46.8,792,0,0
183,22,8,3,0,46.6,794,0,0
184,22,8,3,0,46.4,796,0,0
185,22,8,3,0,46.2,798,0,0
186,22,8,3,0,46.0,800,0,0
187,22,8,3,0,45.8,802,0,0
188,22,8,3,0,45.6,804,0,0
189,22,8,3,0,45.4,806,0,0
190,22,8,3,0,45.2,808,0,0
191,22,8,3,0,45.0,810,0,0
192,22,8,3,0,44.8,812,0,0
193,22,8,3,0,44.6,814,0,0
194,22,8,3,0,44.4,816,0,0
195,22,8,3,0,44.2,818,0,0
196,22,8,3,0,44.0,820,0,0
197,22,8,3,0,43.8,822,0,0
198,22,8,3,0,43.6,824,0,0
199,22,8,3,0,43.4,826,0,0
