,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,3,0,99.9,1,0,0
3,0,4,2,0,99.7,3,0,0
4,0,5,1,0,99.4,6,0,0
5,0,6,0,0,99.0,10,0,0
6,0,7,0,0,98.5,15,0,0
7,0,8,0,0,98.0,20,0,0
8,0,9,0,0,97.5,25,0,0
9,0,10,0,0,97.0,30,0,0
10,0,11,0,0,96.5,35,0,0
11,0,12,0,0,96.0,40,0,0
12,0,13,0,0,95.5,45,0,0
13,0,14,0,0,95.0,50,0,0
14,0,15,0,0,94.5,55,0,0
15,0,16,0,0,94.0,60,0,0
16,0,17,0,0,93.5,65,0,0
17,0,18,0,0,93.0,70,0,0
18,0,19,0,0,92.5,75,0,0
19,0,20,0,0,92.0,80,0,0
20,1,20,1,0,91.5,85,0,0
21,1,21,0,0,91.1,89,0,0
22,1,22,0,0,90.6,94,0,0
23,1,23,0,0,90.1,99,0,0
24,1,24,0,0,89.6,104,0,0
25,2,24,1,0,89.1,109,0,0
26,2,25,0,0,88.7,113,0,0
27,2,26,0,0,88.2,118,0,0
28,3,26,1,0,87.7,123,0,0
29,3,27,0,0,87.3,127,0,0
30,3,27,0,0,86.8,132,0,0
31,3,27,0,0,86.3,137,0,0
32,3,27,0,0,85.8,142,0,0
33,4,26,1,0,85.3,147,0,0
34,4,26,0,0,84.9,151,0,0
35,4,26,0,0,84.4,156,0,0
36,4,26,0,0,83.9,161,0,0
37,4,26,0,0,83.4,166,0,0
38,4,26,0,0,82.9,171,0,0
39,5,25,1,0,82.4,176,0,0
40,5,25,0,0,82.0,180,0,0
41,5,25,0,0,81.5,185,0,0
42,5,25,0,0,81.0,190,0,0
43,6,24,1,0,80.5,195,0,0
44,6,24,0,0,80.1,199,0,0
45,6,24,0,0,79.6,204,0,0
46,6,24,0,0,79.1,209,0,0
47,6,24,0,0,78.6,214,0,0
48,6,24,0,0,78.1,219,0,0
49,6,24,0,0,77.6,224,0,0
50,6,24,0,0,77.1,229,0,0
51,6,24,0,0,76.6,234,0,0
52,6,24,0,0,76.1,239,0,0
53,6,24,0,0,75.6,244,0,0
54,8,22,2,0,75.1,249,0,0
55,8,22,0,0,74.8,252,0,0
56,9,21,1,0,74.3,257,0,0
57,9,21,0,0,73.9,261,0,0
58,9,21,0,0,73.4,266,0,0
59,9,21,0,0,72.9,271,0,0
60,10,20,1,0,72.4,276,0,0
61,10,20,0,0,72.0,280,0,0
62,10,20,0,0,71.5,285,0,0
63,10,20,0,0,71.0,290,0,0
64,10,20,0,0,70.5,295,0,0
65,10,20,0,0,70.0,300,0,0
66,10,20,0,0,69.5,305,0,0
67,10,20,0,0,69.0,310,0,0
68,10,20,0,0,68.5,315,0,0
69,10,20,0,0,68.0,320,0,0
70,10,20,0,0,67.5,325,0,0
71,10,20,0,0,67.0,330,0,0
72,10,20,0,0,66.5,335,0,0
73,10,20,0,0,66.0,340,0,0
74,10,20,0,0,65.5,345,0,0
75,10,20,0,0,65.0,350,0,0
76,10,20,0,0,64.5,355,0,0
77,10,20,0,0,64.0,360,0,0
78,11,19,1,0,63.5,365,0,0
79,11,19,0,0,63.1,369,0,0
80,11,19,0,0,62.6,374,0,0
81,11,19,0,0,62.1,379,0,0
82,11,19,0,0,61.6,384,0,0
83,11,19,0,0,61.1,389,0,0
84,12,18,1,0,60.6,394,0,0
85,12,18,0,0,60.2,398,0,0
86,12,18,0,0,59.7,403,0,0
87,12,18,0,0,59.2,408,0,0
88,13,17,1,0,58.7,413,0,0
89,14,16,1,0,58.3,417,0,0
90,14,16,0,0,57.9,421,0,0
91,14,16,0,0,57.4,426,0,0
92,14,16,0,0,56.9,431,0,0
93,14,16,0,0,56.4,436,0,0
94,14,16,0,0,55.9,441,0,0
95,15,15,1,0,55.4,446,0,0
96,15,15,0,0,55.0,450,0,0
97,16,14,1,0,54.5,455,0,0
98,16,14,0,0,54.1,459,0,0
99,16,14,0,0,53.6,464,0,0
100,16,14,0,0,53.1,469,0,0
101,16,14,0,0,52.6,474,0,0
102,16,14,0,0,52.1,479,0,0
103,16,14,0,0,51.6,484,0,0
104,16,14,0,0,51.1,489,0,0
105,16,14,0,0,50.6,494,0,0
106,16,14,0,0,50.1,499,0,0
107,16,14,0,0,49.6,504,0,0
108,16,14,0,0,49.1,509,0,0
109,16,14,0,0,48.6,514,0,0
110,17,13,1,0,48.1,519,0,0
111,17,13,0,0,47.7,523,0,0
112,17,13,0,0,47.2,528,0,0
113,17,13,0,0,46.7,533,0,0
114,17,13,0,0,46.2,538,0,0
115,17,13,0,0,45.7,543,0,0
116,17,13,0,0,45.2,548,0,0
117,17,13,0,0,44.7,553,0,0
118,17,13,0,0,44.2,558,0,0
119,17,13,0,0,43.7,563,0,0
120,17,13,0,0,43.2,568,0,0
121,17,13,0,0,42.7,573,0,0
122,18,12,1,0,42.2,578,0,0
123,19,11,1,0,41.8,582,0,0
124,19,11,0,0,41.4,586,0,0
125,19,11,0,0,40.9,591,0,0
126,19,11,0,0,40.4,596,0,0
127,19,11,0,0,39.9,601,0,0
128,19,11,0,0,39.4,606,0,0
129,20,10,1,0,38.9,611,0,0
130,20,10,0,0,38.5,615,0,0
131,20,10,0,0,38.0,620,0,0
132,21,9,1,0,37.5,625,0,0
133,21,9,0,0,37.1,629,0,0
134,21,9,0,0,36.6,634,0,0
135,21,9,0,0,36.1,639,0,0
136,22,8,1,0,35.6,644,0,0
137,22,8,0,0,35.2,648,0,0
138,22,8,0,0,34.7,653,0,0
139,22,8,0,0,34.2,658,0,0
140,22,8,0,0,33.7,663,0,0
141,22,8,0,0,33.2,668,0,0
142,22,8,0,0,32.7,673,0,0
143,22,8,0,0,32.2,678,0,0
144,22,8,0,0,31.7,683,0,0
145,22,8,0,0,31.2,688,0,0
146,22,8,0,0,30.7,693,0,0
147,22,8,0,0,30.2,698,0,0
148,22,8,0,0,29.7,703,0,0
149,22,8,0,0,29.2,708,0,0
150,23,7,1,0,28.7,713,0,0
151,23,7,0,0,28.3,717,0,0
152,23,7,0,0,27.8,722,0,0
153,23,7,0,0,27.3,727,0,0
154,24,6,1,0,26.8,732,0,0
155,24,6,0,0,26.4,736,0,0
156,24,6,0,0,25.9,741,0,0
157,24,6,0,0,25.4,746,0,0
158,24,6,0,0,24.9,751,0,0
159,24,6,0,0,24.4,756,0,0
160,24,6,0,0,23.9,761,0,0
161,24,6,0,0,23.4,766,0,0
162,25,5,1,0,22.9,771,0,0
163,25,5,0,0,22.5,775,0,0
164,26,4,1,0,22.0,780,0,0
165,26,4,1,0,21.6,784,0,0
166,26,4,1,0,21.2,788,0,0
167,26,4,1,0,20.8,792,0,0
168,26,4,1,0,20.4,796,0,0
169,26,4,0,0,21.1,799,0,0
170,26,4,0,0,22.8,802,0,0
171,26,4,0,0,25.6,804,0,0
172,26,4,0,0,29.5,805,0,0
173,26,4,0,0,34.5,805,0,0
174,26,4,0,0,39.5,805,0,0
175,26,4,0,0,44.5,805,0,0
176,26,4,0,0,49.5,805,0,0
177,26,4,0,0,54.5,805,0,0
178,26,4,0,0,59.5,805,0,0
179,26,4,0,0,64.5,805,0,0
180,26,4,0,0,69.5,805,0,0
181,26,4,0,0,74.5,805,0,0
182,26,4,0,0,78.4,806,0,0
183,26,4,0,0,81.2,808,0,0
184,26,4,0,0,83.0,810,0,0
185,26,4,1,0,83.6,814,0,0
186,26,4,1,0,83.2,818,0,0
187,26,4,1,0,82.8,822,0,0
188,26,4,1,0,82.4,826,0,0
189,26,4,1,0,82.0,830,0,0
190,26,4,1,0,81.6,834,0,0
191,26,4,1,0,81.2,838,0,0
192,26,4,1,0,80.8,842,0,0
193,26,4,1,0,80.4,846,0,0
194,26,4,1,0,80.0,850,0,0
195,26,4,1,0,79.6,854,0,0
196,27,3,2,0,79.2,858,0,0
197,27,3,2,0,78.9,861,0,0
198,27,3,2,0,78.6,864,0,0
199,27,3,2,0,78.3,867,0,0
