,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,0,5,0,100.0,0,0,0
1,0,1,5,0,100.0,0,0,0
2,0,1,5,0,100.0,0,0,0
3,0,1,4,0,100.0,0,0,0
4,0,1,4,0,99.9,1,0,0
5,0,2,4,0,99.8,2,0,0
6,0,2,4,0,99.7,3,0,0
7,0,2,3,0,99.6,4,0,0
8,0,3,3,0,99.4,6,0,0
9,0,3,2,0,99.1,9,0,0
10,0,3,2,0,98.8,12,0,0
11,0,4,2,0,98.5,15,0,0
12,0,4,2,0,98.2,18,0,0
13,0,5,1,0,97.8,22,0,0
14,0,6,1,0,97.4,26,0,0
15,0,7,0,0,96.9,31,0,0
16,0,8,0,0,96.4,36,0,0
17,0,9,0,0,95.9,41,0,0
18,0,9,0,0,95.4,46,0,0
19,0,9,0,0,94.9,51,0,0
20,0,9,0,0,94.4,56,0,0
21,1,9,0,0,93.9,61,0,0
22,1,9,0,0,93.4,66,0,0
23,1,9,0,0,92.9,71,0,0
24,1,9,0,0,92.4,76,0,0
25,2,8,1,0,91.9,81,0,0
26,2,8,1,0,91.5,85,0,0
27,2,9,0,0,91.0,90,0,0
28,2,10,0,0,90.5,95,0,0
29,2,10,0,0,90.0,100,0,0
30,2,10,0,0,89.5,105,0,0
31,2,10,0,0,89.0,110,0,0
32,3,9,1,0,88.5,115,0,0
33,3,10,0,0,88.0,120,0,0
34,3,11,0,0,87.5,125,0,0
35,3,11,0,0,87.0,130,0,0
36,3,11,0,0,86.5,135,0,0
37,3,12,0,0,86.0,140,0,0
38,3,13,0,0,85.5,145,0,0
39,3,13,0,0,85.0,150,0,0
40,4,12,1,0,84.5,155,0,0
41,4,13,0,0,84.1,159,0,0
42,4,13,0,0,83.6,164,0,0
43,4,13,0,0,83.1,169,0,0
44,4,13,0,0,82.6,174,0,0
45,5,12,1,0,82.1,179,0,0
46,5,12,1,0,81.7,183,0,0
47,5,13,0,0,81.2,188,0,0
