,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,0,5,0,100.0,0,0,0
1,0,0,5,0,100.0,0,0,0
2,0,0,5,0,100.0,0,0,0
3,0,0,5,0,100.0,0,0,0
4,0,0,5,0,100.0,0,0,0
5,0,1,5,0,100.0,0,0,0
6,0,1,4,0,100.0,0,0,0
7,0,2,4,0,99.9,1,0,0
8,0,2,3,0,99.8,2,0,0
9,0,3,3,0,99.6,4,0,0
10,0,4,2,0,99.4,6,0,0
11,0,4,1,0,99.1,9,0,0
12,0,4,1,0,98.7,13,0,0
13,0,5,1,0,98.3,17,0,0
14,0,5,0,0,97.9,21,0,0
15,0,6,0,0,97.4,26,0,0
16,0,6,0,0,96.9,31,0,0
17,0,6,0,0,96.4,36,0,0
18,0,6,0,0,95.9,41,0,0
19,0,6,0,0,95.4,46,0,0
20,0,6,0,0,94.9,51,0,0
21,0,6,0,0,94.4,56,0,0
22,0,6,0,0,93.9,61,0,0
23,0,7,0,0,93.4,66,0,0
24,0,7,0,0,92.9,71,0,0
25,0,7,0,0,92.4,76,0,0
26,0,7,0,0,91.9,81,0,0
27,0,8,0,0,91.4,86,0,0
28,0,8,0,0,90.9,91,0,0
29,0,9,0,0,90.4,96,0,0
30,0,9,0,0,89.9,101,0,0
31,0,9,0,0,89.4,106,0,0
32,0,10,0,0,88.9,111,0,0
33,1,9,1,0,88.4,116,0,0
34,1,10,0,0,88.0,120,0,0
35,1,10,0,0,87.5,125,0,0
36,1,11,0,0,87.0,130,0,0
37,1,12,0,0,86.5,135,0,0
38,1,12,0,0,86.0,140,0,0
39,1,13,0,0,85.5,145,0,0
40,3,11,2,0,85.0,150,0,0
41,3,12,0,0,84.7,153,0,0
42,3,13,0,0,84.2,158,0,0
43,4,13,1,0,83.7,163,0,0
44,4,13,0,0,83.3,167,0,0
45,4,14,0,0,82.8,172,0,0
46,4,15,0,0,82.3,177,0,0
47,4,15,0,0,81.8,182,0,0
48,4,15,0,0,81.3,187,0,0
49,4,15,0,0,80.8,192,0,0
50,5,14,1,0,80.3,197,0,0
51,5,14,0,0,79.9,201,0,0
52,5,14,0,0,79.4,206,0,0
53,5,14,0,0,78.9,211,0,0
54,5,14,0,0,78.4,216,0,0
55,5,14,0,0,77.9,221,0,0
56,5,15,0,0,77.4,226,0,0
57,5,16,0,0,76.9,231,0,0
58,5,17,0,0,76.4,236,0,0
59,5,17,0,0,75.9,241,0,0
60,6,16,1,0,75.4,246,0,0
61,7,15,1,0,75.0,250,0,0
62,7,15,0,0,74.6,254,0,0
63,8,14,1,0,74.1,259,0,0
64,8,14,0,0,73.7,263,0,0
65,8,14,0,0,73.2,268,0,0
66,8,15,0,0,72.7,273,0,0
67,8,15,0,0,72.2,278,0,0
68,8,16,0,0,71.7,283,0,0
69,8,17,0,0,71.2,288,0,0
70,8,17,0,0,70.7,293,0,0
71,10,15,2,0,70.2,298,0,0
72,11,14,1,0,69.9,301,0,0
73,11,14,0,0,69.5,305,0,0
74,11,14,0,0,69.0,310,0,0
75,11,14,0,0,68.5,315,0,0
76,11,14,0,0,68.0,320,0,0
77,11,14,0,0,67.5,325,0,0
78,11,15,0,0,67.0,330,0,0
79,11,15,0,0,66.5,335,0,0
80,12,14,1,0,66.0,340,0,0
81,12,15,0,0,65.6,344,0,0
82,12,15,0,0,65.1,349,0,0
83,12,15,0,0,64.6,354,0,0
84,12,16,0,0,64.1,359,0,0
85,12,16,0,0,63.6,364,0,0
86,12,17,0,0,63.1,369,0,0
87,12,17,0,0,62.6,374,0,0
88,13,17,1,0,62.1,379,0,0
89,13,18,0,0,61.7,383,0,0
90,14,18,1,0,61.2,388,0,0
91,14,18,0,0,60.8,392,0,0
92,14,19,0,0,60.3,397,0,0
93,14,19,0,0,59.8,402,0,0
94,14,19,0,0,59.3,407,0,0
95,15,19,1,0,58.8,412,0,0
96,15,19,0,0,58.4,416,0,0
97,15,20,0,0,57.9,421,0,0
98,15,21,0,0,57.4,426,0,0
99,15,21,0,0,56.9,431,0,0
100,16,21,1,0,56.4,436,0,0
101,16,21,0,0,56.0,440,0,0
102,16,22,0,0,55.5,445,0,0
103,16,22,0,0,55.0,450,0,0
104,16,22,0,0,54.5,455,0,0
105,16,23,0,0,54.0,460,0,0
106,16,23,0,0,53.5,465,0,0
107,17,22,1,0,53.0,470,0,0
108,18,22,1,0,52.6,474,0,0
109,18,22,0,0,52.2,478,0,0
110,18,23,0,0,51.7,483,0,0
111,18,23,0,0,51.2,488,0,0
112,18,23,0,0,50.7,493,0,0
113,18,23,0,0,50.2,498,0,0
114,18,23,0,0,49.7,503,0,0
