,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,99.9,1,0,0
2,0,3,4,0,99.8,2,0,0
3,0,4,2,0,99.7,3,0,0
4,0,5,2,0,99.4,6,0,0
5,0,6,0,0,98.9,11,0,0
6,0,7,0,0,98.4,16,0,0
7,0,8,0,0,97.9,21,0,0
8,0,9,0,0,97.4,26,0,0
9,0,10,0,0,96.9,31,0,0
10,0,11,0,0,96.4,36,0,0
11,0,12,0,0,95.9,41,0,0
12,0,13,0,0,95.4,46,0,0
13,0,14,0,0,94.9,51,0,0
14,0,15,0,0,94.4,56,0,0
15,0,16,0,0,93.9,61,0,0
16,0,17,0,0,93.4,66,0,0
17,0,18,0,0,92.9,71,0,0
18,0,19,0,0,92.4,76,0,0
19,0,20,0,0,91.9,81,0,0
20,0,21,0,0,91.4,86,0,0
21,0,22,0,0,90.9,91,0,0
22,0,23,0,0,90.4,96,0,0
23,0,24,0,0,89.9,101,0,0
24,1,24,1,0,89.4,106,0,0
25,1,25,0,0,88.9,111,0,0
26,1,26,0,0,88.4,116,0,0
27,1,27,0,0,87.9,121,0,0
28,2,27,1,0,87.4,126,0,0
29,2,28,0,0,87.0,130,0,0
30,2,29,0,0,86.5,135,0,0
31,2,30,0,0,86.0,140,0,0
32,2,31,0,0,85.5,145,0,0
33,2,32,0,0,85.0,150,0,0
34,3,32,1,0,84.5,155,0,0
35,3,33,0,0,84.1,159,0,0
36,4,33,1,0,83.6,164,0,0
37,4,34,0,0,83.2,168,0,0
38,4,35,0,0,82.7,173,0,0
39,4,36,0,0,82.2,178,0,0
40,4,37,0,0,81.7,183,0,0
41,4,38,0,0,81.2,188,0,0
42,4,39,0,0,80.7,193,0,0
43,5,39,0,0,80.2,198,0,0
44,5,40,0,0,79.7,203,0,0
45,5,41,0,0,79.2,208,0,0
46,5,42,0,0,78.7,213,0,0
47,5,43,0,0,78.2,218,0,0
48,5,44,0,0,77.7,223,0,0
49,5,45,0,0,77.2,228,0,0
50,5,45,0,0,76.7,233,0,0
51,5,45,0,0,76.2,238,0,0
52,5,45,0,0,75.7,243,0,0
53,5,45,0,0,75.2,248,0,0
54,5,45,0,0,74.7,253,0,0
55,5,45,0,0,74.2,258,0,0
56,5,45,0,0,73.7,263,0,0
57,5,45,0,0,73.2,268,0,0
58,6,44,1,0,72.7,273,0,0
59,6,44,0,0,72.3,277,0,0
60,6,44,0,0,71.8,282,0,0
61,6,44,0,0,71.3,287,0,0
62,6,44,0,0,70.8,292,0,0
63,7,43,0,0,70.3,297,0,0
64,7,43,0,0,69.8,302,0,0
65,7,43,0,0,69.3,307,0,0
66,7,43,0,0,68.8,312,0,0
67,7,43,0,0,68.3,317,0,0
68,7,43,0,0,67.8,322,0,0
69,8,42,0,0,67.3,327,0,0
70,8,42,0,0,66.8,332,0,0
71,9,41,1,0,66.3,337,0,0
72,9,41,1,0,65.9,341,0,0
73,9,41,0,0,65.5,345,0,0
74,9,41,0,0,65.0,350,0,0
75,9,41,0,0,64.5,355,0,0
76,9,41,0,0,64.0,360,0,0
77,10,40,1,0,63.5,365,0,0
78,10,40,1,0,63.1,369,0,0
79,10,40,0,0,62.7,373,0,0
80,10,40,0,0,62.2,378,0,0
81,11,39,1,0,61.7,383,0,0
82,11,39,1,0,61.3,387,0,0
83,11,39,0,0,60.8,392,0,0
84,11,39,0,0,60.3,397,0,0
85,11,39,0,0,59.8,402,0,0
86,11,39,0,0,59.3,407,0,0
87,11,39,0,0,58.8,412,0,0
88,11,39,0,0,58.3,417,0,0
89,11,39,0,0,57.8,422,0,0
90,11,39,0,0,57.3,427,0,0
91,11,39,0,0,56.8,432,0,0
92,12,38,1,0,56.3,437,0,0
93,12,38,0,0,55.8,442,0,0
94,12,38,0,0,55.3,447,0,0
95,12,38,0,0,54.8,452,0,0
96,12,38,0,0,54.3,457,0,0
97,13,37,1,0,53.8,462,0,0
98,13,37,1,0,53.4,466,0,0
99,13,37,0,0,53.0,470,0,0
100,13,37,0,0,52.5,475,0,0
101,13,37,0,0,52.0,480,0,0
102,13,37,0,0,51.5,485,0,0
103,13,37,0,0,51.0,490,0,0
104,13,37,0,0,50.5,495,0,0
105,13,37,0,0,50.0,500,0,0
106,13,37,0,0,49.5,505,0,0
107,13,37,0,0,49.0,510,0,0
108,13,37,0,0,48.5,515,0,0
109,13,37,0,0,48.0,520,0,0
110,13,37,0,0,47.5,525,0,0
111,14,36,0,0,47.0,530,0,0
112,14,36,0,0,46.5,535,0,0
113,14,36,0,0,46.0,540,0,0
114,15,35,1,0,45.5,545,0,0
115,16,34,0,0,45.1,549,0,0
116,16,34,0,0,44.6,554,0,0
117,16,34,0,0,44.1,559,0,0
118,16,34,0,0,43.6,564,0,0
119,16,34,0,0,43.1,569,0,0
120,16,34,0,0,42.6,574,0,0
121,16,34,0,0,42.1,579,0,0
122,17,33,1,0,41.6,584,0,0
123,17,33,0,0,41.1,589,0,0
124,17,33,0,0,40.6,594,0,0
125,17,33,0,0,40.1,599,0,0
126,17,33,0,0,39.6,604,0,0
127,17,33,0,0,39.1,609,0,0
128,17,33,0,0,38.6,614,0,0
129,17,33,0,0,38.1,619,0,0
130,17,33,0,0,37.6,624,0,0
131,17,33,0,0,37.1,629,0,0
132,17,33,0,0,36.6,634,0,0
133,17,33,0,0,36.1,639,0,0
134,17,33,0,0,35.6,644,0,0
135,17,33,0,0,35.1,649,0,0
136,17,33,0,0,34.6,654,0,0
137,17,33,0,0,34.1,659,0,0
138,17,33,0,0,33.6,664,0,0
139,17,33,0,0,33.1,669,0,0
140,17,33,0,0,32.6,674,0,0
141,17,33,0,0,32.1,679,0,0
142,17,33,0,0,31.6,684,0,0
143,18,32,0,0,31.1,689,0,0
144,18,32,0,0,30.6,694,0,0
145,19,31,1,0,30.1,699,0,0
146,20,30,2,0,29.7,703,0,0
147,20,30,0,0,29.3,707,0,0
148,20,30,0,0,28.8,712,0,0
149,20,30,0,0,28.3,717,0,0
150,20,30,0,0,27.8,722,0,0
151,20,30,0,0,27.3,727,0,0
152,21,29,1,0,26.8,732,0,0
153,21,29,0,0,26.3,737,0,0
154,21,29,0,0,25.8,742,0,0
155,21,29,0,0,25.3,747,0,0
156,21,29,0,0,24.8,752,0,0
157,21,29,0,0,24.3,757,0,0
158,21,29,0,0,23.8,762,0,0
159,21,29,0,0,23.3,767,0,0
160,21,29,0,0,22.8,772,0,0
161,22,28,1,0,22.3,777,0,0
162,22,28,1,0,21.9,781,0,0
163,22,28,0,0,21.4,786,0,0
164,22,28,0,0,22.0,790,0,0
165,22,28,0,0,22.6,794,0,0
166,22,28,0,0,23.2,798,0,0
167,22,28,0,0,23.8,802,0,0
168,22,28,0,0,26.6,804,0,0
169,22,28,0,0,30.5,805,0,0
170,22,28,0,0,35.5,805,0,0
171,22,28,0,0,40.5,805,0,0
172,22,28,0,0,45.5,805,0,0
173,22,28,0,0,50.5,805,0,0
174,22,28,0,0,55.5,805,0,0
175,22,28,0,0,60.5,805,0,0
176,22,28,1,0,65.5,805,0,0
177,22,28,0,0,69.5,805,0,0
178,22,28,0,0,73.4,806,0,0
179,22,28,0,0,77.3,807,0,0
180,22,28,2,0,81.2,808,0,0
181,22,28,1,0,83.0,810,0,0
182,22,28,2,0,83.7,813,0,0
183,22,28,0,0,83.4,816,0,0
184,22,28,0,0,82.9,821,0,0
185,22,28,0,0,82.4,826,0,0
186,22,28,0,0,81.9,831,0,0
187,22,28,0,0,81.4,836,0,0
188,22,28,0,0,80.9,841,0,0
189,22,28,0,0,80.4,846,0,0
190,22,28,0,0,79.9,851,0,0
191,22,28,0,0,79.4,856,0,0
192,22,28,0,0,78.9,861,0,0
193,22,28,0,0,78.4,866,0,0
194,22,28,0,0,77.9,871,0,0
195,22,28,0,0,77.4,876,0,0
196,22,28,0,0,76.9,881,0,0
197,23,27,0,0,76.4,886,0,0
198,23,27,0,0,75.9,891,0,0
199,23,27,0,0,75.4,896,0,0
