,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,99.9,1,0,0
2,0,3,4,0,99.8,2,0,0
3,0,4,2,0,99.6,4,0,0
4,0,5,2,0,99.3,7,0,0
5,0,6,0,0,98.8,12,0,0
6,0,7,0,0,98.3,17,0,0
7,0,8,0,0,97.8,22,0,0
8,0,9,0,0,97.3,27,0,0
9,0,10,0,0,96.8,32,0,0
10,0,11,0,0,96.3,37,0,0
11,0,12,0,0,95.8,42,0,0
12,0,13,0,0,95.3,47,0,0
13,0,14,0,0,94.8,52,0,0
14,0,15,0,0,94.3,57,0,0
15,0,16,0,0,93.8,62,0,0
16,0,17,0,0,93.3,67,0,0
17,0,18,0,0,92.8,72,0,0
18,1,18,1,0,92.3,77,0,0
19,1,19,0,0,91.9,81,0,0
20,1,20,0,0,91.4,86,0,0
21,1,21,0,0,90.9,91,0,0
22,1,22,0,0,90.4,96,0,0
23,2,22,1,0,89.9,101,0,0
24,2,23,1,0,89.5,105,0,0
25,2,24,0,0,89.1,109,0,0
26,3,24,1,0,88.6,114,0,0
27,3,25,0,0,88.1,119,0,0
28,3,26,0,0,87.6,124,0,0
29,3,27,0,0,87.1,129,0,0
30,3,28,0,0,86.6,134,0,0
31,4,28,0,0,86.1,139,0,0
32,4,29,0,0,85.6,144,0,0
33,4,30,0,0,85.1,149,0,0
34,4,31,0,0,84.6,154,0,0
35,4,32,0,0,84.1,159,0,0
36,4,33,0,0,83.6,164,0,0
37,4,34,0,0,83.1,169,0,0
38,4,35,0,0,82.6,174,0,0
39,4,36,0,0,82.1,179,0,0
40,4,37,0,0,81.6,184,0,0
41,5,37,0,0,81.1,189,0,0
42,5,38,0,0,80.6,194,0,0
43,6,38,0,0,80.1,199,0,0
44,6,39,0,0,79.6,204,0,0
45,6,40,0,0,79.1,209,0,0
46,6,41,0,0,78.6,214,0,0
47,6,42,0,0,78.1,219,0,0
48,6,43,0,0,77.6,224,0,0
49,6,44,0,0,77.1,229,0,0
50,6,44,0,0,76.6,234,0,0
51,6,44,0,0,76.1,239,0,0
52,6,44,0,0,75.6,244,0,0
53,7,43,0,0,75.1,249,0,0
54,7,43,0,0,74.6,254,0,0
55,7,43,0,0,74.1,259,0,0
56,7,43,0,0,73.6,264,0,0
57,7,43,0,0,73.1,269,0,0
58,7,43,0,0,72.6,274,0,0
59,7,43,0,0,72.1,279,0,0
60,7,43,0,0,71.6,284,0,0
61,8,42,1,0,71.1,289,0,0
62,8,42,1,0,70.7,293,0,0
63,8,42,0,0,70.2,298,0,0
64,8,42,0,0,69.7,303,0,0
65,8,42,0,0,69.2,308,0,0
66,8,42,0,0,68.7,313,0,0
67,8,42,0,0,68.2,318,0,0
68,8,42,0,0,67.7,323,0,0
69,8,42,0,0,67.2,328,0,0
70,8,42,0,0,66.7,333,0,0
71,8,42,0,0,66.2,338,0,0
72,8,42,0,0,65.7,343,0,0
73,8,42,0,0,65.2,348,0,0
74,8,42,0,0,64.7,353,0,0
75,9,41,0,0,64.2,358,0,0
76,9,41,0,0,63.7,363,0,0
77,10,40,1,0,63.2,368,0,0
78,11,39,2,0,62.8,372,0,0
79,11,39,0,0,62.3,377,0,0
80,12,38,1,0,61.8,382,0,0
81,12,38,0,0,61.3,387,0,0
82,12,38,0,0,60.8,392,0,0
83,12,38,0,0,60.3,397,0,0
84,12,38,0,0,59.8,402,0,0
85,12,38,0,0,59.3,407,0,0
86,12,38,0,0,58.8,412,0,0
87,12,38,0,0,58.3,417,0,0
88,12,38,0,0,57.8,422,0,0
89,12,38,0,0,57.3,427,0,0
90,12,38,0,0,56.8,432,0,0
91,12,38,0,0,56.3,437,0,0
92,12,38,0,0,55.8,442,0,0
93,12,38,0,0,55.3,447,0,0
94,13,37,1,0,54.8,452,0,0
95,13,37,0,0,54.4,456,0,0
96,14,36,1,0,53.9,461,0,0
97,14,36,0,0,53.4,466,0,0
98,14,36,0,0,52.9,471,0,0
99,14,36,0,0,52.4,476,0,0
100,14,36,0,0,51.9,481,0,0
101,14,36,0,0,51.4,486,0,0
102,14,36,0,0,50.9,491,0,0
103,14,36,0,0,50.4,496,0,0
104,14,36,0,0,49.9,501,0,0
105,14,36,0,0,49.4,506,0,0
106,14,36,0,0,48.9,511,0,0
107,14,36,0,0,48.4,516,0,0
108,14,36,0,0,47.9,521,0,0
109,14,36,0,0,47.4,526,0,0
110,14,36,0,0,46.9,531,0,0
111,15,35,1,0,46.4,536,0,0
112,16,34,2,0,46.0,540,0,0
113,16,34,0,0,45.6,544,0,0
114,16,34,0,0,45.1,549,0,0
115,16,34,0,0,44.6,554,0,0
116,16,34,0,0,44.1,559,0,0
117,17,33,1,0,43.6,564,0,0
118,17,33,1,0,43.2,568,0,0
119,17,33,0,0,42.7,573,0,0
120,17,33,0,0,42.2,578,0,0
121,17,33,0,0,41.7,583,0,0
122,17,33,0,0,41.2,588,0,0
123,17,33,0,0,40.7,593,0,0
124,18,32,1,0,40.2,598,0,0
125,18,32,0,0,39.7,603,0,0
126,18,32,0,0,39.2,608,0,0
127,18,32,0,0,38.7,613,0,0
128,18,32,0,0,38.2,618,0,0
129,18,32,0,0,37.7,623,0,0
130,19,31,1,0,37.2,628,0,0
131,19,31,0,0,36.7,633,0,0
132,19,31,0,0,36.2,638,0,0
133,19,31,0,0,35.7,643,0,0
134,19,31,0,0,35.2,648,0,0
135,19,31,0,0,34.7,653,0,0
136,19,31,0,0,34.2,658,0,0
137,19,31,0,0,33.7,663,0,0
138,19,31,0,0,33.2,668,0,0
139,19,31,0,0,32.7,673,0,0
140,19,31,0,0,32.2,678,0,0
141,19,31,0,0,31.7,683,0,0
142,20,30,1,0,31.2,688,0,0
143,20,30,0,0,30.8,692,0,0
144,20,30,0,0,30.3,697,0,0
145,20,30,0,0,29.8,702,0,0
146,20,30,0,0,29.3,707,0,0
147,21,29,1,0,28.8,712,0,0
148,21,29,1,0,28.4,716,0,0
149,21,29,1,0,28.0,720,0,0
150,21,29,1,0,27.6,724,0,0
151,21,29,1,0,27.2,728,0,0
152,22,28,2,0,26.8,732,0,0
153,22,28,2,0,26.5,735,0,0
154,22,28,2,0,26.2,738,0,0
155,22,28,2,0,25.9,741,0,0
156,22,28,2,0,25.6,744,0,0
157,23,27,3,0,25.3,747,0,0
158,23,27,3,0,25.1,749,0,0
159,23,27,3,0,24.9,751,0,0
160,24,26,4,0,24.7,753,0,0
161,24,26,4,0,24.6,754,0,0
162,24,26,4,0,24.5,755,0,0
163,24,26,4,0,24.4,756,0,0
164,24,26,4,0,24.3,757,0,0
165,24,26,4,0,24.2,758,0,0
166,24,26,4,0,24.1,759,0,0
167,24,26,4,0,24.0,760,0,0
168,24,26,4,0,23.9,761,0,0
169,24,26,4,0,24.9,761,0,0
170,24,26,4,0,25.9,761,0,0
171,24,26,4,0,26.9,761,0,0
172,24,26,4,0,27.9,761,0,0
173,24,26,4,0,28.9,761,0,0
174,24,26,4,0,29.9,761,0,0
175,24,26,4,0,30.9,761,0,0
176,24,26,4,0,31.9,761,0,0
177,24,26,4,0,32.9,761,0,0
178,24,26,4,0,33.9,761,0,0
179,24,26,4,0,34.9,761,0,0
180,24,26,4,0,35.9,761,0,0
181,24,26,4,0,36.9,761,0,0
182,24,26,4,0,36.8,762,0,0
183,24,26,4,0,36.7,763,0,0
184,24,26,4,0,36.6,764,0,0
185,24,26,4,0,36.5,765,0,0
186,24,26,4,0,36.4,766,0,0
187,24,26,4,0,36.3,767,0,0
188,24,26,4,0,36.2,768,0,0
189,24,26,4,0,36.1,769,0,0
190,24,26,4,0,36.0,770,0,0
191,24,26,4,0,35.9,771,0,0
192,24,26,4,0,35.8,772,0,0
193,24,26,4,0,35.7,773,0,0
194,24,26,4,0,35.6,774,0,0
195,24,26,4,0,35.5,775,0,0
196,24,26,4,0,35.4,776,0,0
197,24,26,4,0,35.3,777,0,0
198,24,26,4,0,35.2,778,0,0
199,24,26,4,0,35.1,779,0,0
