,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,3,0,99.9,1,0,0
3,0,4,2,0,99.7,3,0,0
4,0,5,1,0,99.4,6,0,0
5,0,6,0,0,99.0,10,0,0
6,0,7,0,0,98.5,15,0,0
7,0,8,0,0,98.0,20,0,0
8,0,9,0,0,97.5,25,0,0
9,0,10,0,0,97.0,30,0,0
10,0,11,0,0,96.5,35,0,0
11,0,12,0,0,96.0,40,0,0
12,0,13,0,0,95.5,45,0,0
13,0,14,0,0,95.0,50,0,0
14,0,15,0,0,94.5,55,0,0
15,0,16,0,0,94.0,60,0,0
16,0,17,0,0,93.5,65,0,0
17,0,18,0,0,93.0,70,0,0
18,0,19,0,0,92.5,75,0,0
19,0,20,0,0,92.0,80,0,0
20,0,21,0,0,91.5,85,0,0
21,0,22,0,0,91.0,90,0,0
22,0,23,0,0,90.5,95,0,0
23,0,24,0,0,90.0,100,0,0
24,0,25,0,0,89.5,105,0,0
25,0,26,0,0,89.0,110,0,0
26,0,27,0,0,88.5,115,0,0
27,0,28,0,0,88.0,120,0,0
28,0,29,0,0,87.5,125,0,0
29,0,30,0,0,87.0,130,0,0
30,0,31,0,0,86.5,135,0,0
31,0,32,0,0,86.0,140,0,0
32,0,33,0,0,85.5,145,0,0
33,0,34,0,0,85.0,150,0,0
34,0,35,0,0,84.5,155,0,0
35,0,36,0,0,84.0,160,0,0
36,0,37,0,0,83.5,165,0,0
37,1,37,1,0,83.0,170,0,0
38,1,38,0,0,82.6,174,0,0
39,1,39,0,0,82.1,179,0,0
40,1,40,0,0,81.6,184,0,0
41,1,41,0,0,81.1,189,0,0
42,1,42,0,0,80.6,194,0,0
43,1,43,0,0,80.1,199,0,0
44,2,43,1,0,79.6,204,0,0
45,2,44,0,0,79.2,208,0,0
46,2,45,0,0,78.7,213,0,0
47,2,46,0,0,78.2,218,0,0
48,2,47,0,0,77.7,223,0,0
49,2,48,0,0,77.2,228,0,0
50,3,47,1,0,76.7,233,0,0
51,3,47,0,0,76.3,237,0,0
52,3,47,0,0,75.8,242,0,0
53,4,46,1,0,75.3,247,0,0
54,5,45,1,0,74.9,251,0,0
55,5,45,0,0,74.5,255,0,0
56,5,45,0,0,74.0,260,0,0
57,5,45,0,0,73.5,265,0,0
58,5,45,0,0,73.0,270,0,0
59,5,45,0,0,72.5,275,0,0
60,5,45,0,0,72.0,280,0,0
61,5,45,0,0,71.5,285,0,0
62,5,45,0,0,71.0,290,0,0
63,5,45,0,0,70.5,295,0,0
64,6,44,1,0,70.0,300,0,0
65,7,43,1,0,69.6,304,0,0
66,7,43,0,0,69.2,308,0,0
67,7,43,0,0,68.7,313,0,0
68,7,43,0,0,68.2,318,0,0
69,7,43,0,0,67.7,323,0,0
70,7,43,0,0,67.2,328,0,0
71,7,43,0,0,66.7,333,0,0
72,7,43,0,0,66.2,338,0,0
73,7,43,0,0,65.7,343,0,0
74,7,43,0,0,65.2,348,0,0
75,7,43,0,0,64.7,353,0,0
76,7,43,0,0,64.2,358,0,0
77,7,43,0,0,63.7,363,0,0
78,7,43,0,0,63.2,368,0,0
79,7,43,0,0,62.7,373,0,0
80,7,43,0,0,62.2,378,0,0
81,7,43,0,0,61.7,383,0,0
82,7,43,0,0,61.2,388,0,0
83,8,42,1,0,60.7,393,0,0
84,8,42,0,0,60.3,397,0,0
85,9,41,1,0,59.8,402,0,0
86,9,41,0,0,59.4,406,0,0
87,10,40,1,0,58.9,411,0,0
88,10,40,0,0,58.5,415,0,0
89,11,39,1,0,58.0,420,0,0
90,11,39,0,0,57.6,424,0,0
91,11,39,0,0,57.1,429,0,0
92,12,38,1,0,56.6,434,0,0
93,12,38,0,0,56.2,438,0,0
94,13,37,1,0,55.7,443,0,0
95,13,37,0,0,55.3,447,0,0
96,13,37,0,0,54.8,452,0,0
97,13,37,0,0,54.3,457,0,0
98,13,37,0,0,53.8,462,0,0
99,13,37,0,0,53.3,467,0,0
100,13,37,0,0,52.8,472,0,0
101,13,37,0,0,52.3,477,0,0
102,13,37,0,0,51.8,482,0,0
103,13,37,0,0,51.3,487,0,0
104,13,37,0,0,50.8,492,0,0
105,14,36,1,0,50.3,497,0,0
106,14,36,0,0,49.9,501,0,0
107,14,36,0,0,49.4,506,0,0
108,14,36,0,0,48.9,511,0,0
109,15,35,1,0,48.4,516,0,0
110,15,35,0,0,48.0,520,0,0
111,15,35,0,0,47.5,525,0,0
112,15,35,0,0,47.0,530,0,0
113,15,35,0,0,46.5,535,0,0
114,15,35,0,0,46.0,540,0,0
115,15,35,0,0,45.5,545,0,0
116,15,35,0,0,45.0,550,0,0
117,15,35,0,0,44.5,555,0,0
118,15,35,0,0,44.0,560,0,0
119,15,35,0,0,43.5,565,0,0
120,15,35,0,0,43.0,570,0,0
121,15,35,0,0,42.5,575,0,0
122,17,33,2,0,42.0,580,0,0
123,17,33,0,0,41.7,583,0,0
124,17,33,0,0,41.2,588,0,0
125,17,33,0,0,40.7,593,0,0
126,17,33,0,0,40.2,598,0,0
127,17,33,0,0,39.7,603,0,0
128,18,32,1,0,39.2,608,0,0
129,18,32,0,0,38.8,612,0,0
130,18,32,0,0,38.3,617,0,0
131,18,32,0,0,37.8,622,0,0
132,18,32,0,0,37.3,627,0,0
133,19,31,1,0,36.8,632,0,0
134,19,31,0,0,36.4,636,0,0
135,20,30,1,0,35.9,641,0,0
136,20,30,0,0,35.5,645,0,0
137,20,30,0,0,35.0,650,0,0
138,20,30,0,0,34.5,655,0,0
139,20,30,0,0,34.0,660,0,0
140,20,30,0,0,33.5,665,0,0
141,20,30,0,0,33.0,670,0,0
142,20,30,0,0,32.5,675,0,0
143,21,29,1,0,32.0,680,0,0
144,21,29,0,0,31.6,684,0,0
145,21,29,0,0,31.1,689,0,0
146,21,29,0,0,30.6,694,0,0
147,21,29,0,0,30.1,699,0,0
148,21,29,0,0,29.6,704,0,0
149,21,29,0,0,29.1,709,0,0
150,21,29,0,0,28.6,714,0,0
151,21,29,0,0,28.1,719,0,0
152,21,29,0,0,27.6,724,0,0
153,21,29,0,0,27.1,729,0,0
154,21,29,0,0,26.6,734,0,0
155,21,29,0,0,26.1,739,0,0
156,21,29,0,0,25.6,744,0,0
157,22,28,1,0,25.1,749,0,0
158,23,27,1,0,24.7,753,0,0
159,23,27,0,0,24.3,757,0,0
160,23,27,0,0,23.8,762,0,0
161,23,27,0,0,23.3,767,0,0
162,23,27,0,0,22.8,772,0,0
163,23,27,0,0,22.3,777,0,0
164,23,27,0,0,21.8,782,0,0
165,24,26,1,0,21.3,787,0,0
166,24,26,0,0,20.9,791,0,0
167,24,26,0,0,20.4,796,0,0
168,24,26,0,0,21.0,800,0,0
169,24,26,0,0,22.7,803,0,0
170,24,26,0,0,25.5,805,0,0
171,24,26,0,0,30.5,805,0,0
172,24,26,0,0,35.5,805,0,0
173,24,26,0,0,40.5,805,0,0
174,24,26,0,0,45.5,805,0,0
175,24,26,0,0,50.5,805,0,0
176,24,26,0,0,55.5,805,0,0
177,24,26,0,0,60.5,805,0,0
178,24,26,0,0,65.5,805,0,0
179,24,26,0,0,70.5,805,0,0
180,24,26,0,0,75.5,805,0,0
181,24,26,0,0,79.4,806,0,0
182,24,26,0,0,82.2,808,0,0
183,24,26,0,0,83.9,811,0,0
184,24,26,0,0,83.4,816,0,0
185,24,26,0,0,82.9,821,0,0
186,24,26,0,0,82.4,826,0,0
187,24,26,0,0,81.9,831,0,0
188,24,26,0,0,81.4,836,0,0
189,24,26,0,0,80.9,841,0,0
190,24,26,0,0,80.4,846,0,0
191,24,26,0,0,79.9,851,0,0
192,24,26,0,0,79.4,856,0,0
193,24,26,0,0,78.9,861,0,0
194,24,26,0,0,78.4,866,0,0
195,24,26,0,0,77.9,871,0,0
196,24,26,0,0,77.4,876,0,0
197,24,26,0,0,76.9,881,0,0
198,25,25,1,0,76.4,886,0,0
199,25,25,0,0,76.0,890,0,0
