,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,4,0,99.9,1,0,0
3,0,4,2,0,99.6,4,0,0
4,0,5,2,0,99.3,7,0,0
5,0,6,0,0,98.9,11,0,0
6,0,7,0,0,98.4,16,0,0
7,0,8,0,0,97.9,21,0,0
8,0,9,0,0,97.4,26,0,0
9,0,10,0,0,96.9,31,0,0
10,0,10,0,0,96.4,36,0,0
11,0,10,0,0,95.9,41,0,0
12,0,10,0,0,95.4,46,0,0
13,0,10,0,0,94.9,51,0,0
14,0,10,0,0,94.4,56,0,0
15,0,10,0,0,93.9,61,0,0
16,0,10,0,0,93.4,66,0,0
17,0,10,0,0,92.9,71,0,0
18,0,10,0,0,92.4,76,0,0
19,0,10,0,0,91.9,81,0,0
20,0,10,0,0,91.4,86,0,0
21,0,10,0,0,90.9,91,0,0
22,0,10,0,0,90.4,96,0,0
23,0,10,0,0,89.9,101,0,0
24,0,10,0,0,89.4,106,0,0
25,1,9,0,0,88.9,111,0,0
26,2,8,1,0,88.4,116,0,0
27,2,8,0,0,88.0,120,0,0
28,2,8,0,0,87.5,125,0,0
29,2,8,0,0,87.0,130,0,0
30,2,8,0,0,86.5,135,0,0
31,3,7,1,0,86.0,140,0,0
32,3,7,1,0,85.6,144,0,0
33,5,5,0,0,85.2,148,0,0
34,5,5,0,0,84.7,153,0,0
35,5,5,0,0,84.2,158,0,0
36,5,5,0,0,83.7,163,0,0
37,5,5,0,0,83.2,168,0,0
38,5,5,0,0,82.7,173,0,0
39,5,5,0,0,82.2,178,0,0
40,5,5,0,0,81.7,183,0,0
41,5,5,0,0,81.2,188,0,0
42,5,5,0,0,80.7,193,0,0
43,5,5,0,0,80.2,198,0,0
44,5,5,0,0,79.7,203,0,0
45,5,5,0,0,79.2,208,0,0
46,5,5,0,0,78.7,213,0,0
47,5,5,0,0,78.2,218,0,0
48,5,5,0,0,77.7,223,0,0
49,5,5,0,0,77.2,228,0,0
50,5,5,0,0,76.7,233,0,0
51,5,5,0,0,76.2,238,0,0
52,6,4,1,0,75.7,243,0,0
53,6,4,1,0,75.3,247,0,0
54,6,4,1,0,74.9,251,0,0
55,6,4,1,0,74.5,255,0,0
56,6,4,1,0,74.1,259,0,0
57,6,4,1,0,73.7,263,0,0
58,6,4,1,0,73.3,267,0,0
59,7,3,2,0,72.9,271,0,0
60,7,3,2,0,72.6,274,0,0
61,8,2,3,0,72.3,277,0,0
62,8,2,3,0,72.1,279,0,0
63,8,2,3,0,71.9,281,0,0
64,8,2,3,0,71.7,283,0,0
65,8,2,3,0,71.5,285,0,0
66,8,2,3,0,71.3,287,0,0
67,8,2,3,0,71.1,289,0,0
68,9,1,4,0,70.9,291,0,0
69,9,1,4,0,70.8,292,0,0
70,9,1,4,0,70.7,293,0,0
71,9,1,4,0,70.6,294,0,0
72,10,0,5,0,70.5,295,0,0
73,10,0,5,0,70.5,295,0,0
74,10,0,5,0,70.5,295,0,0
75,10,0,5,0,70.5,295,0,0
76,10,0,5,0,70.5,295,0,0
77,10,0,5,0,70.5,295,0,0
78,10,0,5,0,70.5,295,0,0
79,10,0,5,0,70.5,295,0,0
80,10,0,5,0,70.5,295,0,0
81,10,0,5,0,70.5,295,0,0
82,10,0,5,0,70.5,295,0,0
83,10,0,5,0,70.5,295,0,0
84,10,0,5,0,70.5,295,0,0
85,10,0,5,0,70.5,295,0,0
86,10,0,5,0,70.5,295,0,0
87,10,0,5,0,70.5,295,0,0
88,10,0,5,0,70.5,295,0,0
89,10,0,5,0,70.5,295,0,0
90,10,0,5,0,70.5,295,0,0
91,10,0,5,0,70.5,295,0,0
92,10,0,5,0,70.5,295,0,0
93,10,0,5,0,70.5,295,0,0
94,10,0,5,0,70.5,295,0,0
95,10,0,5,0,70.5,295,0,0
96,10,0,5,0,70.5,295,0,0
97,10,0,5,0,70.5,295,0,0
98,10,0,5,0,70.5,295,0,0
99,10,0,5,0,70.5,295,0,0
100,10,0,5,0,70.5,295,0,0
101,10,0,5,0,70.5,295,0,0
102,10,0,5,0,70.5,295,0,0
103,10,0,5,0,70.5,295,0,0
104,10,0,5,0,70.5,295,0,0
105,10,0,5,0,70.5,295,0,0
106,10,0,5,0,70.5,295,0,0
107,10,0,5,0,70.5,295,0,0
108,10,0,5,0,70.5,295,0,0
109,10,0,5,0,70.5,295,0,0
110,10,0,5,0,70.5,295,0,0
111,10,0,5,0,70.5,295,0,0
112,10,0,5,0,70.5,295,0,0
113,10,0,5,0,70.5,295,0,0
114,10,0,5,0,70.5,295,0,0
115,10,0,5,0,70.5,295,0,0
116,10,0,5,0,70.5,295,0,0
117,10,0,5,0,70.5,295,0,0
118,10,0,5,0,70.5,295,0,0
119,10,0,5,0,70.5,295,0,0
120,10,0,5,0,70.5,295,0,0
121,10,0,5,0,70.5,295,0,0
122,10,0,5,0,70.5,295,0,0
123,10,0,5,0,70.5,295,0,0
124,10,0,5,0,70.5,295,0,0
125,10,0,5,0,70.5,295,0,0
126,10,0,5,0,70.5,295,0,0
127,10,0,5,0,70.5,295,0,0
128,10,0,5,0,70.5,295,0,0
129,10,0,5,0,70.5,295,0,0
130,10,0,5,0,70.5,295,0,0
131,10,0,5,0,70.5,295,0,0
132,10,0,5,0,70.5,295,0,0
133,10,0,5,0,70.5,295,0,0
134,10,0,5,0,70.5,295,0,0
135,10,0,5,0,70.5,295,0,0
136,10,0,5,0,70.5,295,0,0
137,10,0,5,0,70.5,295,0,0
138,10,0,5,0,70.5,295,0,0
139,10,0,5,0,70.5,295,0,0
140,10,0,5,0,70.5,295,0,0
141,10,0,5,0,70.5,295,0,0
142,10,0,5,0,70.5,295,0,0
143,10,0,5,0,70.5,295,0,0
144,10,0,5,0,70.5,295,0,0
145,10,0,5,0,70.5,295,0,0
146,10,0,5,0,70.5,295,0,0
147,10,0,5,0,70.5,295,0,0
148,10,0,5,0,70.5,295,0,0
149,10,0,5,0,70.5,295,0,0
150,10,0,5,0,70.5,295,0,0
151,10,0,5,0,70.5,295,0,0
152,10,0,5,0,70.5,295,0,0
153,10,0,5,0,70.5,295,0,0
154,10,0,5,0,70.5,295,0,0
155,10,0,5,0,70.5,295,0,0
156,10,0,5,0,70.5,295,0,0
157,10,0,5,0,70.5,295,0,0
158,10,0,5,0,70.5,295,0,0
159,10,0,5,0,70.5,295,0,0
160,10,0,5,0,70.5,295,0,0
161,10,0,5,0,70.5,295,0,0
162,10,0,5,0,70.5,295,0,0
163,10,0,5,0,70.5,295,0,0
164,10,0,5,0,70.5,295,0,0
165,10,0,5,0,70.5,295,0,0
166,10,0,5,0,70.5,295,0,0
167,10,0,5,0,70.5,295,0,0
168,10,0,5,0,70.5,295,0,0
169,10,0,5,0,70.5,295,0,0
170,10,0,5,0,70.5,295,0,0
171,10,0,5,0,70.5,295,0,0
172,10,0,5,0,70.5,295,0,0
173,10,0,5,0,70.5,295,0,0
174,10,0,5,0,70.5,295,0,0
175,10,0,5,0,70.5,295,0,0
176,10,0,5,0,70.5,295,0,0
177,10,0,5,0,70.5,295,0,0
178,10,0,5,0,70.5,295,0,0
179,10,0,5,0,70.5,295,0,0
180,10,0,5,0,70.5,295,0,0
181,10,0,5,0,70.5,295,0,0
182,10,0,5,0,70.5,295,0,0
183,10,0,5,0,70.5,295,0,0
184,10,0,5,0,70.5,295,0,0
185,10,0,5,0,70.5,295,0,0
186,10,0,5,0,70.5,295,0,0
187,10,0,5,0,70.5,295,0,0
188,10,0,5,0,70.5,295,0,0
189,10,0,5,0,70.5,295,0,0
190,10,0,5,0,70.5,295,0,0
191,10,0,5,0,70.5,295,0,0
192,10,0,5,0,70.5,295,0,0
193,10,0,5,0,70.5,295,0,0
194,10,0,5,0,70.5,295,0,0
195,10,0,5,0,70.5,295,0,0
196,10,0,5,0,70.5,295,0,0
197,10,0,5,0,70.5,295,0,0
198,10,0,5,0,70.5,295,0,0
199,10,0,5,0,70.5,295,0,0
