,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,99.9,1,0,0
2,0,3,4,0,99.8,2,0,0
3,0,4,2,0,99.7,3,0,0
4,0,5,2,0,99.4,6,0,0
5,0,6,0,0,99.0,10,0,0
6,0,7,0,0,98.5,15,0,0
7,0,8,0,0,98.0,20,0,0
8,0,9,0,0,97.5,25,0,0
9,0,10,0,0,97.0,30,0,0
10,0,11,0,0,96.5,35,0,0
11,0,12,0,0,96.0,40,0,0
12,0,13,0,0,95.5,45,0,0
13,0,14,0,0,95.0,50,0,0
14,0,15,0,0,94.5,55,0,0
15,0,16,0,0,94.0,60,0,0
16,0,17,0,0,93.5,65,0,0
17,0,18,0,0,93.0,70,0,0
18,0,19,0,0,92.5,75,0,0
19,0,20,0,0,92.0,80,0,0
20,0,21,0,0,91.5,85,0,0
21,0,22,0,0,91.0,90,0,0
22,0,23,0,0,90.5,95,0,0
23,0,24,0,0,90.0,100,0,0
24,1,24,1,0,89.5,105,0,0
25,2,24,0,0,89.1,109,0,0
26,2,25,0,0,88.6,114,0,0
27,3,25,0,0,88.1,119,0,0
28,4,25,1,0,87.6,124,0,0
29,4,26,0,0,87.1,129,0,0
30,4,26,0,0,86.6,134,0,0
31,4,26,0,0,86.1,139,0,0
32,4,26,0,0,85.6,144,0,0
33,4,26,0,0,85.1,149,0,0
34,4,26,0,0,84.6,154,0,0
35,4,26,0,0,84.1,159,0,0
36,4,26,0,0,83.6,164,0,0
37,4,26,0,0,83.1,169,0,0
38,4,26,0,0,82.6,174,0,0
39,4,26,0,0,82.1,179,0,0
40,4,26,0,0,81.6,184,0,0
41,4,26,0,0,81.1,189,0,0
42,4,26,0,0,80.6,194,0,0
43,4,26,0,0,80.1,199,0,0
44,4,26,0,0,79.6,204,0,0
45,4,26,0,0,79.1,209,0,0
46,4,26,0,0,78.6,214,0,0
47,5,25,0,0,78.1,219,0,0
48,5,25,0,0,77.6,224,0,0
49,6,24,1,0,77.1,229,0,0
50,6,24,1,0,76.7,233,0,0
51,6,24,0,0,76.3,237,0,0
52,7,23,1,0,75.8,242,0,0
53,7,23,0,0,75.4,246,0,0
54,7,23,0,0,74.9,251,0,0
55,7,23,0,0,74.4,256,0,0
56,7,23,0,0,73.9,261,0,0
57,7,23,0,0,73.4,266,0,0
58,7,23,0,0,72.9,271,0,0
59,7,23,0,0,72.4,276,0,0
60,7,23,0,0,71.9,281,0,0
61,7,23,0,0,71.4,286,0,0
62,8,22,1,0,70.9,291,0,0
63,8,22,0,0,70.4,296,0,0
64,8,22,0,0,69.9,301,0,0
65,8,22,0,0,69.4,306,0,0
66,8,22,0,0,68.9,311,0,0
67,8,22,0,0,68.4,316,0,0
68,8,22,0,0,67.9,321,0,0
69,8,22,0,0,67.4,326,0,0
70,8,22,0,0,66.9,331,0,0
71,8,22,0,0,66.4,336,0,0
72,8,22,0,0,65.9,341,0,0
73,8,22,0,0,65.4,346,0,0
74,10,20,2,0,64.9,351,0,0
75,10,20,0,0,64.6,354,0,0
76,10,20,0,0,64.1,359,0,0
77,10,20,0,0,63.6,364,0,0
78,10,20,0,0,63.1,369,0,0
79,10,20,0,0,62.6,374,0,0
80,10,20,0,0,62.1,379,0,0
81,10,20,0,0,61.6,384,0,0
82,10,20,0,0,61.1,389,0,0
83,10,20,0,0,60.6,394,0,0
84,10,20,0,0,60.1,399,0,0
85,10,20,0,0,59.6,404,0,0
86,10,20,0,0,59.1,409,0,0
87,10,20,0,0,58.6,414,0,0
88,10,20,0,0,58.1,419,0,0
89,12,18,1,0,57.6,424,0,0
90,12,18,1,0,57.2,428,0,0
91,12,18,0,0,56.7,433,0,0
92,12,18,0,0,56.2,438,0,0
93,12,18,0,0,55.7,443,0,0
94,12,18,0,0,55.2,448,0,0
95,12,18,0,0,54.7,453,0,0
96,13,17,1,0,54.2,458,0,0
97,13,17,0,0,53.7,463,0,0
98,13,17,0,0,53.2,468,0,0
99,14,16,1,0,52.7,473,0,0
100,14,16,1,0,52.3,477,0,0
101,14,16,0,0,51.8,482,0,0
102,14,16,0,0,51.3,487,0,0
103,14,16,0,0,50.8,492,0,0
104,14,16,0,0,50.3,497,0,0
105,14,16,0,0,49.8,502,0,0
106,14,16,0,0,49.3,507,0,0
107,14,16,0,0,48.8,512,0,0
108,15,15,1,0,48.3,517,0,0
109,16,14,1,0,47.8,522,0,0
110,16,14,1,0,47.4,526,0,0
111,16,14,0,0,47.0,530,0,0
112,16,14,0,0,46.5,535,0,0
113,16,14,0,0,46.0,540,0,0
114,16,14,0,0,45.5,545,0,0
115,16,14,0,0,45.0,550,0,0
116,16,14,0,0,44.5,555,0,0
117,16,14,0,0,44.0,560,0,0
118,16,14,0,0,43.5,565,0,0
119,16,14,0,0,43.0,570,0,0
120,16,14,0,0,42.5,575,0,0
121,16,14,0,0,42.0,580,0,0
122,16,14,0,0,41.5,585,0,0
123,16,14,0,0,41.0,590,0,0
124,17,13,1,0,40.5,595,0,0
125,17,13,0,0,40.1,599,0,0
126,18,12,1,0,39.6,604,0,0
127,19,11,0,0,39.1,609,0,0
128,19,11,0,0,38.6,614,0,0
129,19,11,0,0,38.1,619,0,0
130,19,11,0,0,37.6,624,0,0
131,20,10,0,0,37.1,629,0,0
132,20,10,0,0,36.6,634,0,0
133,20,10,0,0,36.1,639,0,0
134,20,10,0,0,35.6,644,0,0
135,21,9,0,0,35.1,649,0,0
136,21,9,0,0,34.6,654,0,0
137,21,9,0,0,34.1,659,0,0
138,21,9,0,0,33.6,664,0,0
139,21,9,0,0,33.1,669,0,0
140,21,9,0,0,32.6,674,0,0
141,21,9,0,0,32.1,679,0,0
142,21,9,0,0,31.6,684,0,0
143,21,9,0,0,31.1,689,0,0
144,21,9,0,0,30.6,694,0,0
145,22,8,0,0,30.1,699,0,0
146,22,8,0,0,29.6,704,0,0
147,22,8,0,0,29.1,709,0,0
148,22,8,0,0,28.6,714,0,0
149,22,8,0,0,28.1,719,0,0
150,22,8,0,0,27.6,724,0,0
151,22,8,0,0,27.1,729,0,0
152,22,8,0,0,26.6,734,0,0
153,22,8,0,0,26.1,739,0,0
154,23,7,1,0,25.6,744,0,0
155,23,7,0,0,25.1,749,0,0
156,23,7,0,0,24.6,754,0,0
157,23,7,0,0,24.1,759,0,0
158,23,7,0,0,23.6,764,0,0
159,23,7,0,0,23.1,769,0,0
160,23,7,0,0,22.6,774,0,0
161,23,7,0,0,22.1,779,0,0
162,24,6,1,0,21.6,784,0,0
163,24,6,0,0,21.1,789,0,0
164,25,5,1,0,20.6,794,0,0
165,26,4,0,0,21.3,797,0,0
166,26,4,0,0,23.0,800,0,0
167,26,4,0,0,25.8,802,0,0
168,26,4,0,0,28.6,804,0,0
169,26,4,0,0,32.5,805,0,0
170,26,4,0,0,37.5,805,0,0
171,26,4,0,0,42.5,805,0,0
172,26,4,0,0,47.5,805,0,0
173,26,4,0,0,52.5,805,0,0
174,26,4,0,0,57.5,805,0,0
175,26,4,0,0,62.5,805,0,0
176,26,4,0,0,67.5,805,0,0
177,26,4,0,0,72.5,805,0,0
178,26,4,1,0,76.4,806,0,0
179,26,4,0,0,79.2,808,0,0
180,26,4,0,0,80.9,811,0,0
181,26,4,0,0,82.6,814,0,0
182,26,4,1,0,83.2,818,0,0
183,26,4,1,0,82.8,822,0,0
184,26,4,1,0,82.4,826,0,0
185,26,4,1,0,82.0,830,0,0
186,26,4,1,0,81.6,834,0,0
187,26,4,1,0,81.2,838,0,0
188,26,4,1,0,80.8,842,0,0
189,26,4,1,0,80.4,846,0,0
190,26,4,1,0,80.0,850,0,0
191,26,4,1,0,79.6,854,0,0
192,26,4,1,0,79.2,858,0,0
193,26,4,1,0,78.8,862,0,0
194,26,4,1,0,78.4,866,0,0
195,26,4,1,0,78.0,870,0,0
196,26,4,1,0,77.6,874,0,0
197,26,4,1,0,77.2,878,0,0
198,26,4,1,0,76.8,882,0,0
199,26,4,1,0,76.4,886,0,0
