,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,99.9,1,0,0
2,0,3,4,0,99.8,2,0,0
3,0,4,2,0,99.5,5,0,0
4,0,5,2,0,99.2,8,0,0
5,0,6,0,0,98.8,12,0,0
6,0,7,0,0,98.3,17,0,0
7,0,8,0,0,97.8,22,0,0
8,0,9,0,0,97.3,27,0,0
9,0,10,0,0,96.8,32,0,0
10,0,11,0,0,96.3,37,0,0
11,0,12,0,0,95.8,42,0,0
12,0,13,0,0,95.3,47,0,0
13,0,14,0,0,94.8,52,0,0
14,0,15,0,0,94.3,57,0,0
15,0,16,0,0,93.8,62,0,0
16,0,17,0,0,93.3,67,0,0
17,0,18,0,0,92.8,72,0,0
18,0,19,0,0,92.3,77,0,0
19,0,20,0,0,91.8,82,0,0
20,0,21,0,0,91.3,87,0,0
21,0,22,0,0,90.8,92,0,0
22,0,23,0,0,90.3,97,0,0
23,0,24,0,0,89.8,102,0,0
24,0,25,0,0,89.3,107,0,0
25,0,26,0,0,88.8,112,0,0
26,1,26,1,0,88.3,117,0,0
27,1,27,0,0,87.8,122,0,0
28,1,28,0,0,87.3,127,0,0
29,1,29,0,0,86.8,132,0,0
30,1,29,0,0,86.3,137,0,0
31,2,28,1,0,85.8,142,0,0
32,2,28,1,0,85.4,146,0,0
33,3,27,0,0,84.9,151,0,0
34,3,27,0,0,84.4,156,0,0
35,4,26,1,0,83.9,161,0,0
36,4,26,1,0,83.5,165,0,0
37,4,26,0,0,83.1,169,0,0
38,4,26,0,0,82.6,174,0,0
39,4,26,0,0,82.1,179,0,0
40,4,26,0,0,81.6,184,0,0
41,4,26,0,0,81.1,189,0,0
42,4,26,0,0,80.6,194,0,0
43,4,26,0,0,80.1,199,0,0
44,4,26,0,0,79.6,204,0,0
45,5,25,0,0,79.1,209,0,0
46,5,25,0,0,78.6,214,0,0
47,5,25,0,0,78.1,219,0,0
48,5,25,0,0,77.6,224,0,0
49,5,25,0,0,77.1,229,0,0
50,5,25,0,0,76.6,234,0,0
51,5,25,0,0,76.1,239,0,0
52,5,25,0,0,75.6,244,0,0
53,5,25,0,0,75.1,249,0,0
54,5,25,0,0,74.6,254,0,0
55,5,25,0,0,74.1,259,0,0
56,5,25,0,0,73.6,264,0,0
57,5,25,0,0,73.1,269,0,0
58,6,24,1,0,72.6,274,0,0
59,6,24,0,0,72.2,278,0,0
60,7,23,1,0,71.7,283,0,0
61,7,23,0,0,71.2,288,0,0
62,7,23,0,0,70.7,293,0,0
63,7,23,0,0,70.2,298,0,0
64,7,23,0,0,69.7,303,0,0
65,7,23,0,0,69.2,308,0,0
66,8,22,1,0,68.7,313,0,0
67,8,22,0,0,68.3,317,0,0
68,8,22,0,0,67.8,322,0,0
69,8,22,0,0,67.3,327,0,0
70,8,22,0,0,66.8,332,0,0
71,8,22,0,0,66.3,337,0,0
72,8,22,0,0,65.8,342,0,0
73,8,22,0,0,65.3,347,0,0
74,8,22,0,0,64.8,352,0,0
75,8,22,0,0,64.3,357,0,0
76,8,22,0,0,63.8,362,0,0
77,8,22,0,0,63.3,367,0,0
78,8,22,0,0,62.8,372,0,0
79,8,22,0,0,62.3,377,0,0
80,8,22,0,0,61.8,382,0,0
81,8,22,0,0,61.3,387,0,0
82,9,21,1,0,60.8,392,0,0
83,9,21,0,0,60.3,397,0,0
84,9,21,0,0,59.8,402,0,0
85,9,21,0,0,59.3,407,0,0
86,10,20,1,0,58.8,412,0,0
87,10,20,0,0,58.4,416,0,0
88,10,20,0,0,57.9,421,0,0
89,10,20,0,0,57.4,426,0,0
90,10,20,0,0,56.9,431,0,0
91,10,20,0,0,56.4,436,0,0
92,10,20,0,0,55.9,441,0,0
93,11,19,1,0,55.4,446,0,0
94,11,19,1,0,55.0,450,0,0
95,11,19,0,0,54.5,455,0,0
96,11,19,0,0,54.0,460,0,0
97,11,19,0,0,53.5,465,0,0
98,11,19,0,0,53.0,470,0,0
99,11,19,0,0,52.5,475,0,0
100,11,19,0,0,52.0,480,0,0
101,12,18,1,0,51.5,485,0,0
102,12,18,1,0,51.1,489,0,0
103,13,17,1,0,50.6,494,0,0
104,13,17,1,0,50.2,498,0,0
105,13,17,0,0,49.8,502,0,0
106,13,17,0,0,49.3,507,0,0
107,13,17,0,0,48.8,512,0,0
108,13,17,0,0,48.3,517,0,0
109,13,17,0,0,47.8,522,0,0
110,13,17,0,0,47.3,527,0,0
111,13,17,0,0,46.8,532,0,0
112,13,17,0,0,46.3,537,0,0
113,14,16,0,0,45.8,542,0,0
114,14,16,0,0,45.3,547,0,0
115,14,16,0,0,44.8,552,0,0
116,15,15,1,0,44.3,557,0,0
117,15,15,0,0,43.9,561,0,0
118,15,15,0,0,43.4,566,0,0
119,15,15,0,0,42.9,571,0,0
120,15,15,0,0,42.4,576,0,0
121,15,15,0,0,41.9,581,0,0
122,15,15,0,0,41.4,586,0,0
123,15,15,0,0,40.9,591,0,0
124,15,15,0,0,40.4,596,0,0
125,15,15,0,0,39.9,601,0,0
126,15,15,0,0,39.4,606,0,0
127,15,15,0,0,38.9,611,0,0
128,15,15,0,0,38.4,616,0,0
129,16,14,0,0,37.9,621,0,0
130,16,14,0,0,37.4,626,0,0
131,16,14,0,0,36.9,631,0,0
132,16,14,0,0,36.4,636,0,0
133,16,14,0,0,35.9,641,0,0
134,16,14,0,0,35.4,646,0,0
135,16,14,0,0,34.9,651,0,0
136,17,13,1,0,34.4,656,0,0
137,17,13,0,0,34.0,660,0,0
138,17,13,0,0,33.5,665,0,0
139,18,12,1,0,33.0,670,0,0
140,18,12,1,0,32.6,674,0,0
141,18,12,0,0,32.2,678,0,0
142,18,12,0,0,31.7,683,0,0
143,18,12,0,0,31.2,688,0,0
144,18,12,0,0,30.7,693,0,0
145,18,12,0,0,30.2,698,0,0
146,18,12,0,0,29.7,703,0,0
147,19,11,1,0,29.2,708,0,0
148,19,11,1,0,28.8,712,0,0
149,19,11,1,0,28.4,716,0,0
150,19,11,1,0,28.0,720,0,0
151,19,11,1,0,27.6,724,0,0
152,19,11,1,0,27.2,728,0,0
153,19,11,1,0,26.8,732,0,0
154,19,11,1,0,26.4,736,0,0
155,19,11,1,0,26.0,740,0,0
156,19,11,1,0,25.6,744,0,0
157,19,11,1,0,25.2,748,0,0
158,19,11,1,0,24.8,752,0,0
159,19,11,1,0,24.4,756,0,0
160,19,11,1,0,24.0,760,0,0
161,19,11,1,0,23.6,764,0,0
162,19,11,1,0,23.2,768,0,0
163,20,10,2,0,22.8,772,0,0
164,20,10,1,0,23.5,775,0,0
165,20,10,1,0,24.2,778,0,0
166,21,9,2,0,24.9,781,0,0
167,21,9,2,0,25.7,783,0,0
168,21,9,2,0,27.6,784,0,0
169,21,9,2,0,29.5,785,0,0
170,21,9,2,0,32.5,785,0,0
171,21,9,2,0,35.5,785,0,0
172,21,9,2,0,38.5,785,0,0
173,21,9,2,0,41.5,785,0,0
174,21,9,2,0,44.5,785,0,0
175,21,9,2,0,47.5,785,0,0
176,21,9,3,0,50.5,785,0,0
177,21,9,2,0,52.4,786,0,0
178,21,9,2,0,54.3,787,0,0
179,21,9,2,0,56.2,788,0,0
180,21,9,3,0,58.1,789,0,0
181,21,9,2,0,59.0,790,0,0
182,21,9,3,0,59.8,792,0,0
183,21,9,2,0,59.5,795,0,0
184,21,9,2,0,59.2,798,0,0
185,21,9,2,0,58.9,801,0,0
186,21,9,2,0,58.6,804,0,0
187,21,9,2,0,58.3,807,0,0
188,21,9,2,0,58.0,810,0,0
189,21,9,2,0,57.7,813,0,0
190,21,9,2,0,57.4,816,0,0
191,21,9,2,0,57.1,819,0,0
192,21,9,2,0,56.8,822,0,0
193,21,9,2,0,56.5,825,0,0
194,21,9,2,0,56.2,828,0,0
195,21,9,2,0,55.9,831,0,0
196,21,9,2,0,55.6,834,0,0
197,21,9,2,0,55.3,837,0,0
198,21,9,2,0,55.0,840,0,0
199,21,9,2,0,54.7,843,0,0
