,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,3,0,99.9,1,0,0
3,0,4,2,0,99.7,3,0,0
4,0,5,1,0,99.4,6,0,0
5,0,6,0,0,99.0,10,0,0
6,0,7,0,0,98.5,15,0,0
7,0,8,0,0,98.0,20,0,0
8,0,9,0,0,97.5,25,0,0
9,0,10,0,0,97.0,30,0,0
10,0,11,0,0,96.5,35,0,0
11,0,12,0,0,96.0,40,0,0
12,0,13,0,0,95.5,45,0,0
13,0,14,0,0,95.0,50,0,0
14,0,15,0,0,94.5,55,0,0
15,0,16,0,0,94.0,60,0,0
16,0,17,0,0,93.5,65,0,0
17,0,18,0,0,93.0,70,0,0
18,0,19,0,0,92.5,75,0,0
19,0,20,0,0,92.0,80,0,0
20,0,21,0,0,91.5,85,0,0
21,0,22,0,0,91.0,90,0,0
22,0,23,0,0,90.5,95,0,0
23,0,24,0,0,90.0,100,0,0
24,0,25,0,0,89.5,105,0,0
25,0,26,0,0,89.0,110,0,0
26,0,27,0,0,88.5,115,0,0
27,0,28,0,0,88.0,120,0,0
28,0,29,0,0,87.5,125,0,0
29,2,28,2,0,87.0,130,0,0
30,2,28,0,0,86.7,133,0,0
31,2,28,0,0,86.2,138,0,0
32,2,28,0,0,85.7,143,0,0
33,2,28,0,0,85.2,148,0,0
34,2,28,0,0,84.7,153,0,0
35,2,28,0,0,84.2,158,0,0
36,3,27,1,0,83.7,163,0,0
37,3,27,0,0,83.3,167,0,0
38,3,27,0,0,82.8,172,0,0
39,3,27,0,0,82.3,177,0,0
40,3,27,0,0,81.8,182,0,0
41,3,27,0,0,81.3,187,0,0
42,4,26,1,0,80.8,192,0,0
43,4,26,0,0,80.4,196,0,0
44,5,25,1,0,79.9,201,0,0
45,5,25,0,0,79.5,205,0,0
46,5,25,0,0,79.0,210,0,0
47,6,24,1,0,78.5,215,0,0
48,6,24,0,0,78.1,219,0,0
49,7,23,1,0,77.6,224,0,0
50,7,23,0,0,77.2,228,0,0
51,7,23,0,0,76.7,233,0,0
52,7,23,0,0,76.2,238,0,0
53,7,23,0,0,75.7,243,0,0
54,7,23,0,0,75.2,248,0,0
55,7,23,0,0,74.7,253,0,0
56,7,23,0,0,74.2,258,0,0
57,7,23,0,0,73.7,263,0,0
58,7,23,0,0,73.2,268,0,0
59,7,23,0,0,72.7,273,0,0
60,7,23,0,0,72.2,278,0,0
61,7,23,0,0,71.7,283,0,0
62,7,23,0,0,71.2,288,0,0
63,7,23,0,0,70.7,293,0,0
64,8,22,1,0,70.2,298,0,0
65,8,22,0,0,69.8,302,0,0
66,8,22,0,0,69.3,307,0,0
67,8,22,0,0,68.8,312,0,0
68,8,22,0,0,68.3,317,0,0
69,8,22,0,0,67.8,322,0,0
70,8,22,0,0,67.3,327,0,0
71,9,21,1,0,66.8,332,0,0
72,9,21,0,0,66.4,336,0,0
73,10,20,1,0,65.9,341,0,0
74,10,20,0,0,65.5,345,0,0
75,11,19,1,0,65.0,350,0,0
76,11,19,0,0,64.6,354,0,0
77,11,19,0,0,64.1,359,0,0
78,11,19,0,0,63.6,364,0,0
79,12,18,1,0,63.1,369,0,0
80,12,18,0,0,62.7,373,0,0
81,12,18,0,0,62.2,378,0,0
82,12,18,0,0,61.7,383,0,0
83,12,18,0,0,61.2,388,0,0
84,12,18,0,0,60.7,393,0,0
85,12,18,0,0,60.2,398,0,0
86,13,17,1,0,59.7,403,0,0
87,13,17,0,0,59.3,407,0,0
88,14,16,1,0,58.8,412,0,0
89,14,16,0,0,58.4,416,0,0
90,14,16,0,0,57.9,421,0,0
91,14,16,0,0,57.4,426,0,0
92,14,16,0,0,56.9,431,0,0
93,14,16,0,0,56.4,436,0,0
94,14,16,0,0,55.9,441,0,0
95,14,16,0,0,55.4,446,0,0
96,14,16,0,0,54.9,451,0,0
97,14,16,0,0,54.4,456,0,0
98,15,15,1,0,53.9,461,0,0
99,16,14,1,0,53.5,465,0,0
100,16,14,0,0,53.1,469,0,0
101,16,14,0,0,52.6,474,0,0
102,16,14,0,0,52.1,479,0,0
103,16,14,0,0,51.6,484,0,0
104,16,14,0,0,51.1,489,0,0
105,16,14,0,0,50.6,494,0,0
106,16,14,0,0,50.1,499,0,0
107,16,14,0,0,49.6,504,0,0
108,17,13,1,0,49.1,509,0,0
109,17,13,0,0,48.7,513,0,0
110,17,13,0,0,48.2,518,0,0
111,17,13,0,0,47.7,523,0,0
112,17,13,0,0,47.2,528,0,0
113,17,13,0,0,46.7,533,0,0
114,17,13,0,0,46.2,538,0,0
115,17,13,0,0,45.7,543,0,0
116,17,13,0,0,45.2,548,0,0
117,17,13,0,0,44.7,553,0,0
118,17,13,0,0,44.2,558,0,0
119,17,13,0,0,43.7,563,0,0
120,17,13,0,0,43.2,568,0,0
121,17,13,0,0,42.7,573,0,0
122,17,13,0,0,42.2,578,0,0
123,18,12,1,0,41.7,583,0,0
124,18,12,0,0,41.3,587,0,0
125,19,11,1,0,40.8,592,0,0
126,19,11,0,0,40.4,596,0,0
127,19,11,0,0,39.9,601,0,0
128,19,11,0,0,39.4,606,0,0
129,20,10,1,0,38.9,611,0,0
130,20,10,0,0,38.5,615,0,0
131,20,10,0,0,38.0,620,0,0
132,20,10,0,0,37.5,625,0,0
133,21,9,1,0,37.0,630,0,0
134,21,9,0,0,36.6,634,0,0
135,21,9,0,0,36.1,639,0,0
136,21,9,0,0,35.6,644,0,0
137,21,9,0,0,35.1,649,0,0
138,21,9,0,0,34.6,654,0,0
139,21,9,0,0,34.1,659,0,0
140,22,8,1,0,33.6,664,0,0
141,22,8,0,0,33.2,668,0,0
142,22,8,0,0,32.7,673,0,0
143,22,8,0,0,32.2,678,0,0
144,22,8,0,0,31.7,683,0,0
145,22,8,0,0,31.2,688,0,0
146,22,8,0,0,30.7,693,0,0
147,22,8,0,0,30.2,698,0,0
148,22,8,0,0,29.7,703,0,0
149,22,8,0,0,29.2,708,0,0
150,22,8,0,0,28.7,713,0,0
151,22,8,0,0,28.2,718,0,0
152,22,8,0,0,27.7,723,0,0
153,23,7,1,0,27.2,728,0,0
154,23,7,0,0,26.8,732,0,0
155,23,7,0,0,26.3,737,0,0
156,23,7,0,0,25.8,742,0,0
157,23,7,0,0,25.3,747,0,0
158,23,7,0,0,24.8,752,0,0
159,24,6,1,0,24.3,757,0,0
160,25,5,1,0,23.9,761,0,0
161,26,4,1,0,23.5,765,0,0
162,26,4,1,0,23.1,769,0,0
163,26,4,1,0,22.7,773,0,0
164,26,4,1,0,22.3,777,0,0
165,26,4,1,0,21.9,781,0,0
166,26,4,1,0,21.5,785,0,0
167,26,4,1,0,21.1,789,0,0
168,26,4,1,0,21.8,792,0,0
169,26,4,0,0,23.6,794,0,0
170,26,4,0,0,25.3,797,0,0
171,26,4,0,0,29.2,798,0,0
172,26,4,0,0,33.1,799,0,0
173,26,4,0,0,37.0,800,0,0
174,26,4,0,0,40.9,801,0,0
175,26,4,0,0,44.8,802,0,0
176,26,4,0,0,48.7,803,0,0
177,26,4,0,0,52.6,804,0,0
178,26,4,0,0,56.5,805,0,0
179,26,4,0,0,61.5,805,0,0
180,26,4,0,0,66.5,805,0,0
181,26,4,0,0,70.4,806,0,0
182,26,4,0,0,73.2,808,0,0
183,26,4,0,0,76.0,810,0,0
184,26,4,0,0,76.6,814,0,0
185,26,4,0,0,77.2,818,0,0
186,26,4,0,0,77.8,822,0,0
187,26,4,0,0,78.4,826,0,0
188,26,4,0,0,79.0,830,0,0
189,26,4,0,0,79.6,834,0,0
190,26,4,0,0,80.2,838,0,0
191,26,4,1,0,80.8,842,0,0
192,26,4,1,0,80.4,846,0,0
193,26,4,1,0,80.0,850,0,0
194,27,3,2,0,79.6,854,0,0
195,27,3,2,0,79.3,857,0,0
196,27,3,2,0,79.0,860,0,0
197,27,3,2,0,78.7,863,0,0
198,27,3,2,0,78.4,866,0,0
199,28,2,3,0,78.1,869,0,0
