,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,99.9,1,0,0
2,0,3,4,0,99.8,2,0,0
3,0,4,2,0,99.5,5,0,0
4,0,5,2,0,99.2,8,0,0
5,0,6,0,0,98.8,12,0,0
6,0,7,0,0,98.3,17,0,0
7,0,8,0,0,97.8,22,0,0
8,0,9,0,0,97.3,27,0,0
9,0,10,0,0,96.8,32,0,0
10,0,11,0,0,96.3,37,0,0
11,0,12,0,0,95.8,42,0,0
12,0,13,0,0,95.3,47,0,0
13,0,14,0,0,94.8,52,0,0
14,0,15,0,0,94.3,57,0,0
15,1,15,1,0,93.8,62,0,0
16,1,16,1,0,93.4,66,0,0
17,2,16,1,0,92.9,71,0,0
18,2,17,1,0,92.5,75,0,0
19,2,18,0,0,92.1,79,0,0
20,2,19,0,0,91.6,84,0,0
21,2,20,0,0,91.1,89,0,0
22,2,21,0,0,90.6,94,0,0
23,2,22,0,0,90.1,99,0,0
24,3,22,1,0,89.6,104,0,0
25,3,23,0,0,89.2,108,0,0
26,3,24,0,0,88.7,113,0,0
27,3,25,0,0,88.2,118,0,0
28,3,26,0,0,87.7,123,0,0
29,3,27,0,0,87.2,128,0,0
30,3,27,0,0,86.7,133,0,0
31,3,27,0,0,86.2,138,0,0
32,3,27,0,0,85.7,143,0,0
33,3,27,0,0,85.2,148,0,0
34,3,27,0,0,84.7,153,0,0
35,3,27,0,0,84.2,158,0,0
36,3,27,0,0,83.7,163,0,0
37,3,27,0,0,83.2,168,0,0
38,4,26,1,0,82.7,173,0,0
39,4,26,0,0,82.2,178,0,0
40,5,25,1,0,81.7,183,0,0
41,6,24,0,0,81.3,187,0,0
42,6,24,0,0,80.8,192,0,0
43,6,24,0,0,80.3,197,0,0
44,6,24,0,0,79.8,202,0,0
45,6,24,0,0,79.3,207,0,0
46,6,24,0,0,78.8,212,0,0
47,6,24,0,0,78.3,217,0,0
48,6,24,0,0,77.8,222,0,0
49,6,24,0,0,77.3,227,0,0
50,6,24,0,0,76.8,232,0,0
51,6,24,0,0,76.3,237,0,0
52,6,24,0,0,75.8,242,0,0
53,6,24,0,0,75.3,247,0,0
54,7,23,1,0,74.8,252,0,0
55,7,23,0,0,74.4,256,0,0
56,7,23,0,0,73.9,261,0,0
57,7,23,0,0,73.4,266,0,0
58,7,23,0,0,72.9,271,0,0
59,8,22,0,0,72.4,276,0,0
60,8,22,0,0,71.9,281,0,0
61,8,22,0,0,71.4,286,0,0
62,9,21,1,0,70.9,291,0,0
63,10,20,0,0,70.4,296,0,0
64,10,20,0,0,69.9,301,0,0
65,10,20,0,0,69.4,306,0,0
66,10,20,0,0,68.9,311,0,0
67,10,20,0,0,68.4,316,0,0
68,11,19,1,0,67.9,321,0,0
69,12,18,0,0,67.5,325,0,0
70,12,18,0,0,67.0,330,0,0
71,12,18,0,0,66.5,335,0,0
72,12,18,0,0,66.0,340,0,0
73,12,18,0,0,65.5,345,0,0
74,12,18,0,0,65.0,350,0,0
75,12,18,0,0,64.5,355,0,0
76,12,18,0,0,64.0,360,0,0
77,12,18,0,0,63.5,365,0,0
78,12,18,0,0,63.0,370,0,0
79,12,18,0,0,62.5,375,0,0
80,13,17,1,1,62.0,380,0,0
81,13,17,0,1,61.6,384,0,0
82,13,17,0,1,61.2,388,0,0
83,13,17,0,1,60.8,392,0,0
84,13,17,0,1,60.4,396,0,0
85,13,17,0,1,60.0,400,0,0
86,13,17,0,1,59.6,404,0,0
87,13,17,0,1,59.2,408,0,0
88,13,17,0,1,58.8,412,0,0
89,13,17,0,1,58.4,416,0,0
90,13,17,0,1,58.0,420,0,0
91,13,17,0,1,57.6,424,0,0
92,13,17,0,1,57.2,428,0,0
93,13,17,0,1,56.8,432,0,0
94,14,16,1,1,56.4,436,0,0
95,14,16,0,1,56.0,440,0,0
96,15,15,1,1,55.6,444,0,0
97,15,15,0,1,55.2,448,0,0
98,15,15,0,1,54.8,452,0,0
99,15,15,0,1,54.4,456,0,0
100,15,15,0,1,54.0,460,0,0
101,15,15,0,1,53.6,464,0,0
102,15,15,0,1,53.2,468,0,0
103,16,14,0,1,52.8,472,0,0
104,16,14,0,1,52.4,476,0,0
105,17,13,0,1,52.0,480,0,0
106,17,13,0,1,51.6,484,0,0
107,17,13,0,1,51.2,488,0,0
108,17,13,0,1,50.8,492,0,0
109,17,13,0,1,50.4,496,0,0
110,17,13,0,1,50.0,500,0,0
111,17,13,0,1,49.6,504,0,0
112,17,13,0,1,49.2,508,0,0
113,17,13,0,1,48.8,512,0,0
114,17,13,0,1,48.4,516,0,0
115,17,13,0,1,48.0,520,0,0
116,17,13,0,1,47.6,524,0,0
117,17,13,0,1,47.2,528,0,0
118,17,13,0,1,46.8,532,0,0
119,17,13,0,1,46.4,536,0,0
120,17,13,0,1,46.0,540,0,0
121,17,13,0,1,45.6,544,0,0
122,17,13,0,1,45.2,548,0,0
123,17,13,0,1,44.8,552,0,0
124,17,13,0,1,44.4,556,0,0
125,17,13,0,1,44.0,560,0,0
126,17,13,0,1,43.6,564,0,0
127,17,13,0,1,43.2,568,0,0
128,18,12,1,1,42.8,572,0,0
129,18,12,0,1,42.5,575,0,0
130,18,12,0,1,42.1,579,0,0
131,18,12,0,1,41.7,583,0,0
132,18,12,0,1,41.3,587,0,0
133,18,12,0,1,40.9,591,0,0
134,19,11,1,1,40.5,595,0,0
135,19,11,0,1,40.2,598,0,0
136,19,11,0,1,39.8,602,0,0
137,19,11,0,1,39.4,606,0,0
138,19,11,0,1,39.0,610,0,0
139,20,10,0,1,38.6,614,0,0
140,20,10,0,1,38.2,618,0,0
141,20,10,0,1,37.8,622,0,0
142,21,9,1,1,37.4,626,0,0
143,21,9,0,1,37.0,630,0,0
144,21,9,0,1,36.6,634,0,0
145,21,9,0,1,36.2,638,0,0
146,21,9,0,1,35.8,642,0,0
147,21,9,0,1,35.4,646,0,0
148,21,9,0,1,35.0,650,0,0
149,21,9,0,1,34.6,654,0,0
150,21,9,0,1,34.2,658,0,0
151,21,9,0,1,33.8,662,0,0
152,21,9,0,1,33.4,666,0,0
153,21,9,0,1,33.0,670,0,0
154,22,8,1,1,32.6,674,0,0
155,22,8,0,1,32.3,677,0,0
156,22,8,0,1,31.9,681,0,0
157,22,8,0,1,31.5,685,0,0
158,22,8,0,1,31.1,689,0,0
159,22,8,0,1,30.7,693,0,0
160,22,8,0,1,30.3,697,0,0
161,23,7,0,1,29.9,701,0,0
162,23,7,0,1,29.5,705,0,0
163,23,7,0,1,29.1,709,0,0
164,24,6,1,1,28.7,713,0,0
165,24,6,0,1,29.5,715,0,0
166,24,6,0,1,31.3,717,0,0
167,24,6,0,1,34.2,718,0,0
168,24,6,0,1,38.2,718,0,0
169,24,6,0,1,42.2,718,0,0
170,24,6,0,1,46.2,718,0,0
171,24,6,0,1,50.2,718,0,0
172,24,6,0,1,54.2,718,0,0
173,24,6,0,1,58.2,718,0,0
174,24,6,0,1,62.2,718,0,0
175,24,6,0,1,66.2,718,0,0
176,24,6,0,1,70.2,718,0,0
177,24,6,1,1,74.2,718,0,0
178,24,6,2,1,77.2,718,0,0
179,24,6,0,1,79.0,720,0,0
180,24,6,1,1,79.7,723,0,0
181,24,6,0,1,79.3,727,0,0
182,24,6,0,1,78.9,731,0,0
183,24,6,0,1,78.5,735,0,0
184,24,6,0,1,78.1,739,0,0
185,24,6,0,1,77.7,743,0,0
186,24,6,0,1,77.3,747,0,0
187,24,6,0,1,76.9,751,0,0
188,24,6,0,1,76.5,755,0,0
189,24,6,0,1,76.1,759,0,0
190,24,6,0,1,75.7,763,0,0
191,24,6,0,1,75.3,767,0,0
192,24,6,0,1,74.9,771,0,0
193,25,5,0,1,74.5,775,0,0
194,25,5,0,1,74.1,779,0,0
195,25,5,0,1,73.7,783,0,0
196,25,5,0,1,73.3,787,0,0
197,25,5,0,1,72.9,791,0,0
198,25,5,0,1,72.5,795,0,0
199,25,5,0,1,72.1,799,0,0
