,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,4,0,99.9,1,0,0
3,0,4,2,0,99.7,3,0,0
4,0,5,2,0,99.4,6,0,0
5,0,6,0,0,99.0,10,0,0
6,0,7,0,0,98.5,15,0,0
7,0,8,0,0,98.0,20,0,0
8,0,9,0,0,97.5,25,0,0
9,0,10,0,0,97.0,30,0,0
10,0,11,0,0,96.5,35,0,0
11,0,12,0,0,96.0,40,0,0
12,0,13,0,0,95.5,45,0,0
13,0,14,0,0,95.0,50,0,0
14,0,15,0,0,94.5,55,0,0
15,0,16,0,0,94.0,60,0,0
16,0,17,0,0,93.5,65,0,0
17,0,18,0,0,93.0,70,0,0
18,0,19,0,0,92.5,75,0,0
19,0,20,0,0,92.0,80,0,0
20,0,21,0,0,91.5,85,0,0
21,0,22,0,0,91.0,90,0,0
22,0,23,0,0,90.5,95,0,0
23,0,24,0,0,90.0,100,0,0
24,0,25,0,0,89.5,105,0,0
25,0,26,0,0,89.0,110,0,0
26,0,27,0,0,88.5,115,0,0
27,0,28,0,0,88.0,120,0,0
28,0,29,0,0,87.5,125,0,0
29,1,29,0,0,87.0,130,0,0
30,1,29,0,0,86.5,135,0,0
31,1,29,0,0,86.0,140,0,0
32,1,29,0,0,85.5,145,0,0
33,1,29,0,0,85.0,150,0,0
34,3,27,2,0,84.5,155,0,0
35,3,27,0,0,84.1,159,0,0
36,3,27,0,0,83.6,164,0,0
37,3,27,0,0,83.1,169,0,0
38,4,26,1,0,82.6,174,0,0
39,4,26,0,0,82.2,178,0,0
40,5,25,1,0,81.7,183,0,0
41,5,25,0,0,81.2,188,0,0
42,5,25,0,0,80.7,193,0,0
43,5,25,0,0,80.2,198,0,0
44,5,25,0,0,79.7,203,0,0
45,5,25,0,0,79.2,208,0,0
46,5,25,0,0,78.7,213,0,0
47,5,25,0,0,78.2,218,0,0
48,5,25,0,0,77.7,223,0,0
49,5,25,0,0,77.2,228,0,0
50,6,24,1,0,76.7,233,0,0
51,6,24,0,0,76.2,238,0,0
52,6,24,0,0,75.7,243,0,0
53,6,24,0,0,75.2,248,0,0
54,6,24,0,0,74.7,253,0,0
55,6,24,0,0,74.2,258,0,0
56,6,24,0,0,73.7,263,0,0
57,6,24,0,0,73.2,268,0,0
58,6,24,0,0,72.7,273,0,0
59,6,24,0,0,72.2,278,0,0
60,7,23,1,0,71.7,283,0,0
61,7,23,0,0,71.2,288,0,0
62,7,23,0,0,70.7,293,0,0
63,7,23,0,0,70.2,298,0,0
64,7,23,0,0,69.7,303,0,0
65,7,23,0,0,69.2,308,0,0
66,8,22,1,0,68.7,313,0,0
67,9,21,1,0,68.2,318,0,0
68,9,21,1,0,67.8,322,0,0
69,9,21,0,0,67.3,327,0,0
70,9,21,0,0,66.8,332,0,0
71,9,21,0,0,66.3,337,0,0
72,9,21,0,0,65.8,342,0,0
73,9,21,0,0,65.3,347,0,0
74,10,20,1,0,64.8,352,0,0
75,10,20,0,0,64.4,356,0,0
76,10,20,0,0,63.9,361,0,0
77,10,20,0,0,63.4,366,0,0
78,10,20,0,0,62.9,371,0,0
79,10,20,0,0,62.4,376,0,0
80,10,20,0,1,61.9,381,0,0
81,10,20,0,1,61.5,385,0,0
82,10,20,0,1,61.1,389,0,0
83,10,20,0,1,60.7,393,0,0
84,11,19,1,1,60.3,397,0,0
85,11,19,0,1,59.9,401,0,0
86,11,19,0,1,59.5,405,0,0
87,11,19,0,1,59.1,409,0,0
88,11,19,0,1,58.7,413,0,0
89,11,19,0,1,58.3,417,0,0
90,11,19,0,1,57.9,421,0,0
91,11,19,0,1,57.5,425,0,0
92,11,19,0,1,57.1,429,0,0
93,11,19,0,1,56.7,433,0,0
94,11,19,0,1,56.3,437,0,0
95,11,19,0,1,55.9,441,0,0
96,11,19,0,1,55.5,445,0,0
97,11,19,0,1,55.1,449,0,0
98,11,19,0,1,54.7,453,0,0
99,11,19,0,1,54.3,457,0,0
100,11,19,0,1,53.9,461,0,0
101,11,19,0,1,53.5,465,0,0
102,12,18,1,1,53.1,469,0,0
103,12,18,0,1,52.8,472,0,0
104,12,18,0,1,52.4,476,0,0
105,12,18,0,1,52.0,480,0,0
106,12,18,0,1,51.6,484,0,0
107,12,18,0,1,51.2,488,0,0
108,12,18,0,1,50.8,492,0,0
109,12,18,0,1,50.4,496,0,0
110,12,18,0,1,50.0,500,0,0
111,12,18,0,1,49.6,504,0,0
112,12,18,0,1,49.2,508,0,0
113,12,18,0,1,48.8,512,0,0
114,13,17,1,1,48.4,516,0,0
115,14,16,1,1,48.0,520,0,0
116,14,16,1,1,47.7,523,0,0
117,14,16,0,1,47.3,527,0,0
118,14,16,0,1,46.9,531,0,0
119,14,16,0,1,46.5,535,0,0
120,14,16,0,1,46.1,539,0,0
121,14,16,0,1,45.7,543,0,0
122,14,16,0,1,45.3,547,0,0
123,14,16,0,1,44.9,551,0,0
124,14,16,0,1,44.5,555,0,0
125,14,16,0,1,44.1,559,0,0
126,14,16,0,1,43.7,563,0,0
127,14,16,0,1,43.3,567,0,0
128,14,16,0,1,42.9,571,0,0
129,14,16,0,1,42.5,575,0,0
130,14,16,0,1,42.1,579,0,0
131,14,16,0,1,41.7,583,0,0
132,14,16,0,1,41.3,587,0,0
133,14,16,0,1,40.9,591,0,0
134,14,16,0,1,40.5,595,0,0
135,14,16,0,1,40.1,599,0,0
136,14,16,0,1,39.7,603,0,0
137,15,15,1,1,39.3,607,0,0
138,15,15,1,1,39.0,610,0,0
139,15,15,0,1,38.6,614,0,0
140,15,15,0,1,38.2,618,0,0
141,15,15,0,1,37.8,622,0,0
142,15,15,0,1,37.4,626,0,0
143,15,15,0,1,37.0,630,0,0
144,15,15,0,1,36.6,634,0,0
145,15,15,0,1,36.2,638,0,0
146,15,15,0,1,35.8,642,0,0
147,15,15,0,1,35.4,646,0,0
148,16,14,1,1,35.0,650,0,0
149,16,14,1,1,34.7,653,0,0
150,16,14,1,1,34.4,656,0,0
151,16,14,1,1,34.1,659,0,0
152,17,13,2,1,33.8,662,0,0
153,17,13,2,1,33.6,664,0,0
154,17,13,2,1,33.4,666,0,0
155,17,13,2,1,33.2,668,0,0
156,17,13,2,1,33.0,670,0,0
157,17,13,2,1,32.8,672,0,0
158,17,13,2,1,32.6,674,0,0
159,17,13,2,1,32.4,676,0,0
160,17,13,2,1,32.2,678,0,0
161,17,13,2,1,32.0,680,0,0
162,17,13,2,1,31.8,682,0,0
163,18,12,3,1,31.6,684,0,0
164,18,12,3,1,32.6,684,0,0
165,18,12,3,1,33.6,684,0,0
166,18,12,3,1,34.6,684,0,0
167,18,12,3,1,35.6,684,0,0
168,18,12,3,1,36.6,684,0,0
169,18,12,3,1,37.6,684,0,0
170,18,12,3,1,38.6,684,0,0
171,18,12,3,1,39.6,684,0,0
172,18,12,3,1,40.6,684,0,0
173,18,12,3,1,41.6,684,0,0
174,18,12,3,1,42.6,684,0,0
175,18,12,3,1,43.6,684,0,0
176,18,12,4,1,44.6,684,0,0
177,18,12,3,1,44.5,685,0,0
178,18,12,3,1,44.4,686,0,0
179,18,12,3,1,44.3,687,0,0
180,18,12,3,1,44.2,688,0,0
181,18,12,3,1,44.1,689,0,0
182,18,12,3,1,44.0,690,0,0
183,18,12,3,1,43.9,691,0,0
184,18,12,3,1,43.8,692,0,0
185,18,12,3,1,43.7,693,0,0
186,18,12,3,1,43.6,694,0,0
187,18,12,3,1,43.5,695,0,0
188,18,12,3,1,43.4,696,0,0
189,18,12,3,1,43.3,697,0,0
190,18,12,3,1,43.2,698,0,0
191,18,12,3,1,43.1,699,0,0
192,18,12,3,1,43.0,700,0,0
193,18,12,3,1,42.9,701,0,0
194,18,12,3,1,42.8,702,0,0
195,18,12,3,1,42.7,703,0,0
196,18,12,3,1,42.6,704,0,0
197,18,12,3,1,42.5,705,0,0
198,18,12,3,1,42.4,706,0,0
199,18,12,3,1,42.3,707,0,0
