,Throughput,Active_Orders,Idle_Robots,Broken_Robots,Avg_Battery,Total_Distance,Total_Conflicts,Total_Hard_Blocks
0,0,1,5,0,100.0,0,0,0
1,0,2,4,0,100.0,0,0,0
2,0,3,3,0,99.9,1,0,0
3,0,4,2,0,99.7,3,0,0
4,0,5,1,0,99.4,6,0,0
5,0,6,0,0,99.0,10,0,0
6,0,7,0,0,98.5,15,0,0
7,0,8,0,0,98.0,20,0,0
8,0,9,0,0,97.5,25,0,0
9,0,10,0,0,97.0,30,0,0
10,1,10,1,0,96.5,35,0,0
11,1,11,0,0,96.1,39,0,0
12,1,12,0,0,95.6,44,0,0
13,1,13,0,0,95.1,49,0,0
14,1,14,0,0,94.6,54,0,0
15,1,15,0,0,94.1,59,0,0
16,1,16,0,0,93.6,64,0,0
17,1,17,0,0,93.1,69,0,0
18,1,18,0,0,92.6,74,0,0
19,1,19,0,0,92.1,79,0,0
20,1,20,0,0,91.6,84,0,0
21,1,21,0,0,91.1,89,0,0
22,1,22,0,0,90.6,94,0,0
23,1,23,0,0,90.1,99,0,0
24,1,24,0,0,89.6,104,0,0
25,1,25,0,0,89.1,109,0,0
26,1,26,0,0,88.6,114,0,0
27,1,27,0,0,88.1,119,0,0
28,1,28,0,0,87.6,124,0,0
29,1,29,0,0,87.1,129,0,0
30,1,29,0,0,86.6,134,0,0
31,1,29,0,0,86.1,139,0,0
32,2,28,1,0,85.6,144,0,0
33,2,28,0,0,85.2,148,0,0
34,2,28,0,0,84.7,153,0,0
35,4,26,2,0,84.2,158,0,0
36,4,26,0,0,83.9,161,0,0
37,4,26,0,0,83.4,166,0,0
38,5,25,1,0,82.9,171,0,0
39,5,25,0,0,82.5,175,0,0
40,5,25,0,0,82.0,180,0,0
41,5,25,0,0,81.5,185,0,0
42,5,25,0,0,81.0,190,0,0
43,5,25,0,0,80.5,195,0,0
44,5,25,0,0,80.0,200,0,0
45,5,25,0,0,79.5,205,0,0
46,5,25,0,0,79.0,210,0,0
47,6,24,1,0,78.5,215,0,0
48,6,24,0,0,78.1,219,0,0
49,6,24,0,0,77.6,224,0,0
50,6,24,0,0,77.1,229,0,0
51,6,24,0,0,76.6,234,0,0
52,6,24,0,0,76.1,239,0,0
53,6,24,0,0,75.6,244,0,0
54,6,24,0,0,75.1,249,0,0
55,7,23,1,0,74.6,254,0,0
56,7,23,0,0,74.2,258,0,0
57,7,23,0,0,73.7,263,0,0
58,8,22,1,0,73.2,268,0,0
59,8,22,0,0,72.8,272,0,0
60,8,22,0,0,72.3,277,0,0
61,8,22,0,0,71.8,282,0,0
62,8,22,0,0,71.3,287,0,0
63,8,22,0,0,70.8,292,0,0
64,8,22,0,0,70.3,297,0,0
65,8,22,0,0,69.8,302,0,0
66,8,22,0,0,69.3,307,0,0
67,9,21,1,0,68.8,312,0,0
68,9,21,0,0,68.4,316,0,0
69,9,21,0,0,67.9,321,0,0
70,10,20,1,0,67.4,326,0,0
71,10,20,0,0,67.0,330,0,0
72,10,20,0,0,66.5,335,0,0
73,10,20,0,0,66.0,340,0,0
74,10,20,0,0,65.5,345,0,0
75,10,20,0,0,65.0,350,0,0
76,10,20,0,0,64.5,355,0,0
77,10,20,0,0,64.0,360,0,0
78,11,19,1,0,63.5,365,0,0
79,11,19,0,0,63.1,369,0,0
80,11,19,0,1,62.6,374,0,0
81,11,19,0,1,62.2,378,0,0
82,12,18,1,1,61.8,382,0,0
83,12,18,0,1,61.5,385,0,0
84,12,18,0,1,61.1,389,0,0
85,12,18,0,1,60.7,393,0,0
86,12,18,0,1,60.3,397,0,0
87,13,17,1,1,59.9,401,0,0
88,13,17,0,1,59.6,404,0,0
89,13,17,0,1,59.2,408,0,0
90,14,16,1,1,58.8,412,0,0
91,14,16,0,1,58.5,415,0,0
92,14,16,0,1,58.1,419,0,0
93,14,16,0,1,57.7,423,0,0
94,14,16,0,1,57.3,427,0,0
95,14,16,0,1,56.9,431,0,0
96,14,16,0,1,56.5,435,0,0
97,14,16,0,1,56.1,439,0,0
98,15,15,1,1,55.7,443,0,0
99,15,15,0,1,55.4,446,0,0
100,16,14,1,1,55.0,450,0,0
101,16,14,0,1,54.7,453,0,0
102,16,14,0,1,54.3,457,0,0
103,16,14,0,1,53.9,461,0,0
104,16,14,0,1,53.5,465,0,0
105,17,13,1,1,53.1,469,0,0
106,17,13,0,1,52.8,472,0,0
107,17,13,0,1,52.4,476,0,0
108,17,13,0,1,52.0,480,0,0
109,17,13,0,1,51.6,484,0,0
110,17,13,0,1,51.2,488,0,0
111,17,13,0,1,50.8,492,0,0
112,17,13,0,1,50.4,496,0,0
113,17,13,0,1,50.0,500,0,0
114,17,13,0,1,49.6,504,0,0
115,17,13,0,1,49.2,508,0,0
116,17,13,0,1,48.8,512,0,0
117,18,12,1,1,48.4,516,0,0
118,18,12,0,1,48.1,519,0,0
119,18,12,0,1,47.7,523,0,0
120,18,12,0,1,47.3,527,0,0
121,18,12,0,1,46.9,531,0,0
122,18,12,0,1,46.5,535,0,0
123,18,12,0,1,46.1,539,0,0
124,18,12,0,1,45.7,543,0,0
125,19,11,1,1,45.3,547,0,0
126,19,11,0,1,45.0,550,0,0
127,19,11,0,1,44.6,554,0,0
128,19,11,0,1,44.2,558,0,0
129,19,11,0,1,43.8,562,0,0
130,19,11,0,1,43.4,566,0,0
131,19,11,0,1,43.0,570,0,0
132,19,11,0,1,42.6,574,0,0
133,19,11,0,1,42.2,578,0,0
134,20,10,1,1,41.8,582,0,0
135,20,10,0,1,41.5,585,0,0
136,20,10,0,1,41.1,589,0,0
137,20,10,0,1,40.7,593,0,0
138,20,10,0,1,40.3,597,0,0
139,20,10,0,1,39.9,601,0,0
140,20,10,0,1,39.5,605,0,0
141,21,9,1,1,39.1,609,0,0
142,21,9,0,1,38.8,612,0,0
143,21,9,0,1,38.4,616,0,0
144,21,9,0,1,38.0,620,0,0
145,22,8,1,1,37.6,624,0,0
146,22,8,0,1,37.3,627,0,0
147,22,8,0,1,36.9,631,0,0
148,22,8,0,1,36.5,635,0,0
149,22,8,0,1,36.1,639,0,0
150,22,8,0,1,35.7,643,0,0
151,22,8,0,1,35.3,647,0,0
152,22,8,0,1,34.9,651,0,0
153,22,8,0,1,34.5,655,0,0
154,22,8,0,1,34.1,659,0,0
155,22,8,0,1,33.7,663,0,0
156,22,8,0,1,33.3,667,0,0
157,22,8,0,1,32.9,671,0,0
158,22,8,0,1,32.5,675,0,0
159,23,7,1,1,32.1,679,0,0
160,24,6,1,1,31.8,682,0,0
161,24,6,0,1,31.5,685,0,0
162,24,6,0,1,31.1,689,0,0
163,24,6,0,1,30.7,693,0,0
164,24,6,0,1,30.3,697,0,0
165,24,6,0,1,29.9,701,0,0
166,24,6,0,1,29.5,705,0,0
167,24,6,0,1,29.1,709,0,0
168,24,6,0,1,28.7,713,0,0
169,24,6,0,1,28.3,717,0,0
170,24,6,0,1,30.1,719,0,0
171,24,6,0,1,33.0,720,0,0
172,24,6,0,1,37.0,720,0,0
173,24,6,0,1,41.0,720,0,0
174,24,6,0,1,45.0,720,0,0
175,24,6,0,1,49.0,720,0,0
176,24,6,0,1,53.0,720,0,0
177,24,6,0,1,57.0,720,0,0
178,24,6,0,1,61.0,720,0,0
179,24,6,0,1,65.0,720,0,0
180,24,6,0,1,69.0,720,0,0
181,24,6,0,1,73.0,720,0,0
182,24,6,0,1,77.0,720,0,0
183,24,6,0,1,78.8,722,0,0
184,24,6,0,1,79.5,725,0,0
185,24,6,0,1,79.1,729,0,0
186,24,6,0,1,78.7,733,0,0
187,24,6,0,1,78.3,737,0,0
188,24,6,0,1,77.9,741,0,0
189,24,6,0,1,77.5,745,0,0
190,24,6,0,1,77.1,749,0,0
191,24,6,0,1,76.7,753,0,0
192,24,6,0,1,76.3,757,0,0
193,24,6,0,1,75.9,761,0,0
194,24,6,0,1,75.5,765,0,0
195,24,6,0,1,75.1,769,0,0
196,24,6,0,1,74.7,773,0,0
197,24,6,0,1,74.3,777,0,0
198,24,6,0,1,73.9,781,0,0
199,24,6,0,1,73.5,785,0,0
