Scenario,Mechanism,Generated,Completed,Throughput,Efficiency,Distance,Fairness_Var,Idle_Time,Attempted_Conflicts,Hard_Blocks,Total_Conflicts,Avg_Completion_Delay,Avg_Battery_End
Light Load,CNP,10,10,0.0500,0.0339,295.00,0.00,705,0,0,0,40.50,70.50
Light Load,GREEDY,10,10,0.0500,0.0364,275.00,0.40,725,0,0,0,40.30,72.50
Light Load,CENTRALIZED,10,10,0.0500,0.0375,267.00,0.00,733,0,0,0,34.60,73.30
Medium Load,CNP,30,21,0.1050,0.0248,846.00,0.16,115,0,0,0,80.81,54.40
Medium Load,GREEDY,30,28,0.1400,0.0321,871.00,0.64,64,0,0,0,84.39,77.90
Medium Load,CENTRALIZED,30,26,0.1300,0.0292,890.00,2.16,45,0,0,0,82.00,76.00
Heavy Load,CNP,50,24,0.1200,0.0308,780.00,0.56,207,0,0,0,77.00,35.00
Heavy Load,GREEDY,50,25,0.1250,0.0279,895.00,0.80,40,0,0,0,77.44,75.50
Heavy Load,CENTRALIZED,50,23,0.1150,0.0255,901.00,0.24,33,0,0,0,82.74,74.90
Robot Failure,CNP,30,18,0.0900,0.0254,708.00,1.84,159,0,0,0,74.00,42.20
Robot Failure,GREEDY,30,24,0.1200,0.0304,789.00,1.76,39,0,0,0,70.96,73.10
Robot Failure,CENTRALIZED,30,26,0.1300,0.0324,803.00,3.76,25,0,0,0,80.23,71.70
Clustered Orders,CNP,30,22,0.1100,0.0266,828.00,0.24,146,0,0,0,79.82,43.20
Clustered Orders,GREEDY,30,27,0.1350,0.0310,870.00,0.24,64,0,0,0,78.78,78.00
Clustered Orders,CENTRALIZED,30,20,0.1000,0.0220,908.00,0.40,27,0,0,0,77.75,74.20
Dynamic Orders,CNP,84,24,0.1200,0.0299,803.00,0.16,184,0,0,0,65.96,32.70
Dynamic Orders,GREEDY,73,30,0.1500,0.0350,856.00,0.80,79,0,0,0,43.73,79.40
Dynamic Orders,CENTRALIZED,78,23,0.1150,0.0264,872.00,0.64,63,0,0,0,67.83,77.80
Congestion Test,CNP,80,80,0.3200,0.0376,2127.00,1.50,2775,98,4,102,35.79,46.83
Congestion Test,GREEDY,80,80,0.3200,0.0351,2278.00,1.90,2609,113,8,121,45.60,43.05
Congestion Test,CENTRALIZED,80,80,0.3200,0.0332,2412.00,1.10,2474,101,7,108,45.20,42.95
